Place,CarNum,Team,Status,Score
1,1,Oregon State Univ,Final,150
2,14,Karlsruhe Institute of Technology,Final,135
3,3,Universitat Stuttgart,Final,130
4,11,Ecole De Technologie Superieure,Final,125
5,2,Technical Univ of Munich,Final,115
5,4,Graz Univ of Technology,Final,115
7,5,Univ of Wisconsin - Madison,Final,110
7,94,Rochester Institute of Technology,Final,110
7,118,Metropolia University of Applied Science,Final,110
10,49,Friedrich Alexander Univ of Erlangen,Final,105
11,6,Univ of Michigan - Ann Arbor,,100
11,8,Univ of Akron,,100
11,9,Univ of Kansas - Lawrence,,100
11,27,Michigan State Univ,,100
11,30,South Dakota Sch of Mines & Tech,,100
11,36,Univ of Waterloo,,100
11,39,Auburn Univ,,100
11,64,Univ of Manitoba,,100
11,67,Georgia Institute of Technology,,100
11,73,Universite Laval,,100
11,78,McGill Univ,,100
11,80,Cornell Univ,,100
11,107,Univ of Missouri,,100
11,109,Oxford Brookes Univ,,100
11,119,UAS Esslingen,,100
11,120,Virginia Tech,,100
27,29,Univ of Florida,,90
28,13,Univ of South Florida,,80
28,16,Universidad Simon Bolivar,,80
28,20,Univ of Central Florida,,80
28,25,Univ of Toronto,,80
28,34,National Univ of Singapore,,80
28,35,Oakland University,,80
28,42,Kookmin Univ,,80
28,43,Brown Univ,,80
28,45,Missouri University of Science and Tech,,80
28,50,San Jose State University,,80
28,58,Rutgers Univ,,80
28,62,Univ of Toledo,,80
28,65,Western Washington Univ,,80
28,66,Massachusetts Inst of Tech,,80
28,111,Univ of Western Ontario,,80
28,123,Kettering Univ,,80
44,15,US Naval Academy,,70
44,17,US Air Force Academy,,70
44,19,Rensselaer Polytechnic Inst,,70
44,21,Rose Hulman Inst of Tech,,70
44,22,Purdue Univ - W Lafayette,,70
44,33,Univ of Victoria,,70
44,40,Lehigh Univ,,70
44,44,Washington Univ - St Louis,,70
44,47,Dalhousie Univ,,70
44,48,Concordia University,,70
44,51,Univ of Illinois - Urbana Champaign,,70
44,52,Univ of New Hampshire,,70
44,54,Univ of Michigan - Dearborn,,70
44,59,North Carolina State Univ - Raleigh,,70
44,60,Ferris State University,,70
44,63,Ecole Polytechnique De Montreal,,70
44,71,Clemson Univ,,70
44,75,Northwestern Univ,,70
44,76,Penn State Univ - University Park,,70
44,77,Kansas State Univ,,70
44,79,Univ of Cincinnati,,70
44,86,Cooper Union,,70
44,89,Duke Univ,,70
44,97,Villanova Univ,,70
44,99,Oklahoma State Univ,,70
44,105,Queen's Univ - Ontario Canada,,70
44,108,Univ of Minnesota - Twin Cities,,70
44,115,Georgia Southern Univ,,70
44,116,Univ of Pittsburgh - Pittsburgh,,70
44,122,Lawrence Technological Univ,,70
44,127,Univ of Connecticut,,70
75,24,Universite de Sherbrooke,,60
75,26,Lafayette College,,60
75,31,Lakehead Univ,,60
75,37,Univ of Hartford,,60
75,38,Universidad Central de Venezuela,,60
75,46,Columbia Univ,,60
75,57,Carnegie Mellon Univ,,60
75,61,York College of Pa,,60
75,81,St Cloud State Univ,,60
75,82,Kumoh National Institute of Technology,,60
75,84,Univ of Maine,,60
75,87,Univ of Windsor,,60
75,88,Mississippi State Univ,,60
75,90,Univ of North Florida,,60
75,92,Washington State Univ,,60
75,93,Universite Du Quebec a Trois-Rivieres,,60
75,102,Bradley Univ,,60
75,106,Old Dominion Univ,,60
93,74,Texas Tech Univ,,55
93,100,North Carolina A & T State Univ,,55
93,114,Univ of Evansville,,55
93,121,Florida International Univ,,55
93,129,Vanderbilt Univ,,55
98,56,Ryerson Univ,,50
98,96,Univ of Guelph,,50
100,32,Univ of St Thomas,,45
101,117,Southern Illinois Univ - Carbondale,,40
102,41,Louisiana State Univ,,10
102,68,Southern Polytechnic State Univ,,10
,23,Hudson Valley Comm College,,
,53,Universidad de Oriente,,
,55,Western Michigan Univ,,
,69,Univ of Ontario Institute of Tech,,
,70,Cegep du Vieux - Montreal,,
,83,Worcester Polytechnic Inst,,
,85,Sheridan College,,
,91,Univ of Kentucky,,
,95,Univ of California-Merced,,
,101,Northern Illinois Univ,,
,103,Univ of Alabama - Tuscaloosa,,
,104,Middle Tennessee State Univ,,
,110,Florida Atlantic Univ,,
,112,Temple Univ,,
,124,Central Connecticut State Univ,,
