Place,CarNum,Team,Penalty,CostScore,PresentationScore,DesignScore,AccelerationScore,SkidPadScore,AutocrossScore,EnduranceScore,EfficiencyScore,TotalScore
1,1,Oregon State Univ,,68.2,69.1,150,52.0,45.5,148.8,300.0,91.3,924.9
2,14,Karlsruhe Institute of Technology,,60.5,74.4,135,62.8,38.6,150.0,258.8,76.9,857.0
3,3,Universitat Stuttgart,,71.5,73.9,130,62.7,35.5,99.0,239.9,83.6,796.1
4,2,Technical Univ of Munich,,55.9,65.6,115,65.6,41.8,130.1,236.7,72.3,782.9
5,6,Univ of Michigan - Ann Arbor,,83.3,64.5,100,75.0,38.4,86.5,254.2,52.9,754.8
6,4,Graz Univ of Technology,,58.6,73.3,115,69.7,37.0,97.2,229.4,71.2,751.4
7,118,Metropolia University of Applied Science,,55.5,57.6,110,63.1,32.7,110.8,244.3,62.3,736.3
8,11,Ecole De Technologie Superieure,,74.4,57.9,125,66.6,14.9,73.8,210.0,84.2,706.8
9,49,Friedrich Alexander Univ of Erlangen,,60.6,51.0,105,57.0,24.5,78.3,201.4,92.1,670.1
10,5,Univ of Wisconsin - Madison,,80.8,63.0,110,36.5,36.3,68.5,174.7,100.0,669.7
11,62,Univ of Toledo,,75.3,49.6,80,59.1,31.2,72.4,223.1,62.9,653.7
12,89,Duke Univ,,82.5,49.8,70,57.3,35.7,81.2,185.4,52.6,614.3
13,8,Univ of Akron,,79.8,65.8,100,50.0,26.6,16.6,203.0,72.5,614.2
14,107,Univ of Missouri,,70.3,63.2,100,43.9,36.8,67.2,166.4,36.0,583.6
15,21,Rose Hulman Inst of Tech,,73.2,53.9,70,49.3,32.5,57.4,179.6,64.2,579.9
16,66,Massachusetts Inst of Tech,,79.5,31.5,80,44.9,28.5,51.8,171.0,86.7,573.9
17,73,Universite Laval,,70.9,58.4,100,53.1,20.2,37.4,168.5,53.4,562.0
18,58,Rutgers Univ,,69.0,38.4,80,54.2,23.0,69.8,163.1,61.3,558.8
19,29,Univ of Florida,,70.8,68.7,90,44.4,30.6,53.5,177.9,22.5,558.4
20,71,Clemson Univ,,71.8,58.2,70,48.6,22.9,56.3,164.8,49.6,542.0
21,35,Oakland University,,77.5,47.1,80,57.4,13.6,43.9,181.4,34.6,535.3
22,67,Georgia Institute of Technology,,72.2,42.5,100,33.3,11.3,36.5,167.4,72.0,535.2
23,119,UAS Esslingen,,64.5,62.0,100,56.0,27.5,80.1,84.5,55.1,529.7
24,54,Univ of Michigan - Dearborn,,89.9,43.3,70,51.9,8.0,40.0,146.8,71.0,520.9
25,59,North Carolina State Univ - Raleigh,,60.0,42.1,70,66.5,30.6,19.3,154.7,57.6,500.7
26,16,Universidad Simon Bolivar,,75.4,61.0,80,48.1,22.9,50.5,135.3,20.1,493.2
27,45,Missouri University of Science and Tech,,74.9,69.9,80,49.4,45.0,147.0,18.0,,484.2
28,93,Universite Du Quebec a Trois-Rivieres,,66.7,33.9,60,47.3,17.4,44.6,129.8,83.4,483.0
29,34,National Univ of Singapore,,66.5,69.8,80,42.2,26.9,7.5,102.5,85.5,480.9
30,50,San Jose State University,,74.6,33.6,80,53.5,24.8,29.6,133.5,49.1,478.8
31,78,McGill Univ,,76.9,39.3,100,15.6,24.2,36.9,116.0,69.2,478.1
32,52,Univ of New Hampshire,,69.5,54.2,70,25.9,27.7,28.6,116.9,79.5,472.3
33,79,Univ of Cincinnati,,76.9,40.9,70,41.4,,26.0,102.2,91.4,448.8
34,88,Mississippi State Univ,,73.1,50.1,60,40.5,15.1,16.9,130.1,57.1,443.0
35,30,South Dakota Sch of Mines & Tech,,56.1,57.3,100,45.4,43.9,119.8,10.0,,432.5
36,43,Brown Univ,,69.8,39.5,80,50.7,29.7,7.5,95.8,59.1,432.1
37,109,Oxford Brookes Univ,,64.5,55.8,100,39.2,50.0,116.3,5.0,,430.8
38,17,US Air Force Academy,,69.8,54.3,70,31.7,21.9,7.5,70.1,95.2,420.4
39,97,Villanova Univ,,75.6,47.8,70,54.2,34.4,17.1,79.2,37.5,415.7
40,87,Univ of Windsor,,67.0,48.5,60,31.7,15.4,7.5,115.5,54.2,399.8
41,57,Carnegie Mellon Univ,,57.5,33.0,60,46.2,16.5,7.5,135.8,41.6,398.1
42,15,US Naval Academy,,60.8,61.6,70,16.4,17.3,7.5,66.7,93.8,394.1
43,120,Virginia Tech,,66.7,57.3,100,62.7,38.0,57.3,10.0,,391.9
44,42,Kookmin Univ,,92.1,64.3,80,53.4,34.3,51.4,4.0,,379.5
