Place,CarNum,Team,Run1_Time,Run1_Cones,Run1_OffCourse,Run1_AdjTime,Run2_Time,Run2_Cones,Run2_OffCourse,Run2_AdjTime,Run3_Time,Run3_Cones,Run3_OffCourse,Run3_AdjTime,Run4_Time,Run4_Cones,Run4_OffCourse,Run4_AdjTime,BestTime,Score
1,14,Karlsruhe Institute of Technology,55.986,1,,57.986,55.042,,,55.042,53.578,,,53.578,51.607,,,51.607,51.607,150
2,1,Oregon State Univ,54.560,,,54.560,53.480,,,53.480,52.361,,,52.361,51.697,,,51.697,51.697,148.76
3,45,Missouri University of Science and Tech,54.190,,1,74.190,52.989,,,52.989,59.027,1,,61.027,51.823,,,51.823,51.823,147.03
4,2,Technical Univ of Munich,53.621,1,,55.621,54.269,4,,62.269,54.279,,,54.279,53.090,,,53.090,53.090,130.1
5,30,South Dakota Sch of Mines & Tech,58.571,,,58.571,63.726,1,1,85.726,54.559,,,54.559,53.889,,,53.889,53.889,119.83
6,109,Oxford Brookes Univ,65.794,,,65.794,61.988,,,61.988,55.517,,,55.517,54.173,,,54.173,54.173,116.25
7,118,Metropolia University of Applied Science,59.009,,,59.009,56.295,,,56.295,55.936,,,55.936,54.610,,,54.610,54.610,110.82
8,3,Universitat Stuttgart,57.532,,,57.532,56.347,2,,60.347,57.075,,,57.075,55.583,,,55.583,55.583,99.03
9,4,Graz Univ of Technology,60.270,,,60.270,57.532,,,57.532,59.330,,,59.330,55.737,,,55.737,55.737,97.21
10,6,Univ of Michigan - Ann Arbor,58.448,,,58.448,57.006,,,57.006,59.352,,,59.352,56.659,,,56.659,56.659,86.47
11,9,Univ of Kansas - Lawrence,52.939,2,,56.939,53.293,3,,59.293,95.431,1,,97.431,54.687,1,,56.687,56.687,86.15
12,89,Duke Univ,59.997,,,59.997,57.126,,,57.126,66.606,1,,68.606,57.733,,,57.733,57.126,81.17
13,119,UAS Esslingen,59.103,,,59.103,57.219,,,57.219,72.088,,,72.088,69.290,,,69.290,57.219,80.12
