Place,CarNum,Team,D1R1_Right,D1R1_Left,D1R1_Cones,D1R1_AdjTime,D1R2_Right,D1R2_Left,D1R2_Cones,D1R2_AdjTime,D2R1_Right,D2R1_Left,D2R1_Cones,D2R1_AdjTime,D2R2_Right,D2R2_Left,D2R2_Cones,D2R2_AdjTime,BestTime,Score
1,109,Oxford Brookes Univ,5.695,6.057,1,6.001,5.511,5.570,,5.540,5.427,5.410,,5.418,5.362,5.243,,5.302,5.302,50
2,1,Oregon State Univ,5.493,5.389,,5.441,5.414,5.375,,5.394,,,,DNA,,,,DNA,5.394,45.54
3,45,Missouri University of Science and Tech,6.199,5.490,2,6.094,5.470,5.542,,5.506,5.397,5.336,1,5.491,5.465,5.346,,5.405,5.405,45.02
4,30,South Dakota Sch of Mines & Tech,5.552,5.855,3,6.078,5.449,5.420,,5.434,5.992,5.629,,5.810,5.511,5.349,,5.430,5.430,43.85
5,2,Technical Univ of Munich,5.963,5.624,1,5.918,5.804,5.729,,5.766,5.646,5.408,,5.527,5.642,5.310,,5.476,5.476,41.75
6,14,Karlsruhe Institute of Technology,5.934,5.696,,5.815,5.725,5.514,,5.619,5.679,5.417,,5.548,5.671,5.476,,5.573,5.548,38.56
7,6,Univ of Michigan - Ann Arbor,5.701,5.615,,5.658,5.637,5.467,,5.552,6.092,5.694,,5.893,5.853,5.768,,5.810,5.552,38.39
8,120,Virginia Tech,,,,,6.300,6.159,,6.229,5.748,5.375,,5.561,5.799,5.468,1,5.758,5.561,38.0
9,4,Graz Univ of Technology,5.725,5.444,,5.584,5.785,5.449,,5.617,5.665,5.508,,5.586,5.744,5.757,1,5.875,5.584,37.01
10,107,Univ of Missouri,6.135,5.781,,5.958,6.218,5.561,,5.889,6.747,,,,5.796,5.384,,5.590,5.590,36.76
11,5,Univ of Wisconsin - Madison,5.635,5.568,,5.601,5.552,6.018,,5.785,,,,DNA,,,,DNA,5.601,36.29
12,89,Duke Univ,6.024,5.481,,5.752,5.724,5.506,,5.615,6.667,6.894,,6.780,6.556,6.669,,6.612,5.615,35.7
13,3,Universitat Stuttgart,5.715,5.702,,5.708,5.696,5.579,,5.637,5.768,5.653,,5.710,5.699,5.544,,5.621,5.621,35.45
14,97,Villanova Univ,5.970,5.769,1,5.994,5.817,5.908,,5.862,5.541,5.754,,5.647,5.769,5.755,,5.762,5.647,34.38
15,42,Kookmin Univ,6.106,6.084,1,6.220,5.820,5.701,,5.760,5.982,6.045,,6.013,5.711,5.590,,5.650,5.650,34.25
16,118,Metropolia University of Applied Science,5.821,5.948,,5.884,5.731,5.646,,5.688,5.881,5.499,,5.690,5.888,5.602,,5.745,5.688,32.7
17,21,Rose Hulman Inst of Tech,5.868,6.159,,6.013,5.751,5.635,,5.693,6.300,12.365,1,9.457,5.976,6.297,3,6.511,5.693,32.5
18,111,Univ of Western Ontario,5.848,5.803,,5.825,5.849,5.578,,5.713,6.258,5.999,,6.128,6.300,6.203,,6.251,5.713,31.7
19,62,Univ of Toledo,5.864,5.748,,5.806,5.694,5.756,,5.725,,,,,5.940,5.934,,5.937,5.725,31.23
20,29,Univ of Florida,6.104,6.005,,6.054,5.947,5.944,,5.945,5.826,5.655,,5.740,5.860,5.843,,5.851,5.740,30.64
21,59,North Carolina State Univ - Raleigh,5.840,5.647,,5.743,5.769,5.716,,5.742,10.673,,,,6.125,6.098,2,6.361,5.742,30.56
