Place,CarNum,Team,Score
1,94,Rochester Institute of Technology,75
2,14,Karlsruhe Institute of Technology,74.4
3,3,Universitat Stuttgart,73.9
4,4,Graz Univ of Technology,73.3
5,45,Missouri University of Science and Tech,69.9
6,34,National Univ of Singapore,69.8
7,1,Oregon State Univ,69.0
8,29,Univ of Florida,68.7
9,8,Univ of Akron,65.8
10,2,Technical Univ of Munich,65.6
11,64,Univ of Manitoba,64.5
12,6,Univ of Michigan - Ann Arbor,64.4
13,42,Kookmin Univ,64.3
14,107,Univ of Missouri,63.2
15,5,Univ of Wisconsin - Madison,63.0
16,119,UAS Esslingen,62.0
17,80,Cornell Univ,62.0
18,123,Kettering Univ,61.8
19,15,US Naval Academy,61.6
20,16,Universidad Simon Bolivar,61.0
21,99,Oklahoma State Univ,59.5
22,73,Universite Laval,58.4
23,71,Clemson Univ,58.2
24,11,Ecole De Technologie Superieure,57.9
25,27,Michigan State Univ,57.6
25,118,Metropolia University of Applied Science,57.6
27,120,Virginia Tech,57.3
28,30,South Dakota Sch of Mines & Tech,57.3
29,19,Rensselaer Polytechnic Inst,56.5
30,47,Dalhousie Univ,56.3
31,109,Oxford Brookes Univ,55.8
32,36,Univ of Waterloo,55.3
33,17,US Air Force Academy,54.3
33,105,Queen's Univ - Ontario Canada,54.3
35,52,Univ of New Hampshire,54.2
36,74,Texas Tech Univ,54.1
37,21,Rose Hulman Inst of Tech,53.9
38,39,Auburn Univ,53.5
39,60,Ferris State University,51.7
40,49,Friedrich Alexander Univ of Erlangen,51.0
41,88,Mississippi State Univ,50.1
42,89,Duke Univ,49.7
43,62,Univ of Toledo,49.6
44,87,Univ of Windsor,48.5
45,97,Villanova Univ,47.8
46,35,Oakland University,47.1
47,61,York College of Pa,46.9
48,122,Lawrence Technological Univ,46.7
49,22,Purdue Univ - W Lafayette,46.4
50,65,Western Washington Univ,45.9
51,20,Univ of Central Florida,45.5
52,33,Univ of Victoria,44.7
53,76,Penn State Univ - University Park,44.7
54,75,Northwestern Univ,43.5
55,54,Univ of Michigan - Dearborn,43.3
56,77,Kansas State Univ,43.1
57,67,Georgia Institute of Technology,42.5
58,59,North Carolina State Univ - Raleigh,42.1
59,32,Univ of St Thomas,41.6
60,44,Washington Univ - St Louis,41.3
61,111,Univ of Western Ontario,41.2
62,9,Univ of Kansas - Lawrence,41.1
63,79,Univ of Cincinnati,40.9
64,48,Concordia University,40.3
65,31,Lakehead Univ,39.6
66,43,Brown Univ,39.5
67,78,McGill Univ,39.3
68,58,Rutgers Univ,38.4
69,90,Univ of North Florida,37.9
70,115,Georgia Southern Univ,37.4
71,26,Lafayette College,37.3
72,108,Univ of Minnesota - Twin Cities,37.0
73,40,Lehigh Univ,36.7
74,127,Univ of Connecticut,36.3
75,46,Columbia Univ,36.3
76,25,Univ of Toronto,36.0
76,38,Universidad Central de Venezuela,36.0
78,96,Univ of Guelph,35.3
79,116,Univ of Pittsburgh - Pittsburgh,34.1
80,93,Universite Du Quebec a Trois-Rivieres,33.9
81,51,Univ of Illinois - Urbana Champaign,33.7
82,50,San Jose State University,33.6
83,68,Southern Polytechnic State Univ,33.4
84,117,Southern Illinois Univ - Carbondale,33.4
85,63,Ecole Polytechnique De Montreal,33.3
86,57,Carnegie Mellon Univ,33.0
87,86,Cooper Union,33.0
88,129,Vanderbilt Univ,31.7
89,66,Massachusetts Inst of Tech,31.5
90,82,Kumoh National Institute of Technology,31.2
91,24,Universite de Sherbrooke,30.8
92,84,Univ of Maine,30.7
93,95,Univ of California-Merced,30.1
94,92,Washington State Univ,29.6
95,56,Ryerson Univ,29.4
96,102,Bradley Univ,26.4
97,37,Univ of Hartford,25.2
98,106,Old Dominion Univ,24.8
99,13,Univ of South Florida,22.9
100,100,North Carolina A & T State Univ,22.5
101,81,St Cloud State Univ,20.0
102,121,Florida International Univ,9.0
,23,Hudson Valley Comm College,
,41,Louisiana State Univ,
,53,Universidad de Oriente,
,55,Western Michigan Univ,
,69,Univ of Ontario Institute of Tech,
,70,Cegep du Vieux - Montreal,
,83,Worcester Polytechnic Inst,
,85,Sheridan College,
,91,Univ of Kentucky,
,101,Northern Illinois Univ,
,103,Univ of Alabama - Tuscaloosa,
,104,Middle Tennessee State Univ,
,110,Florida Atlantic Univ,
,112,Temple Univ,
,114,Univ of Evansville,
,124,Central Connecticut State Univ,
