Place,CarNum,Team,Run1_Time,Run1_Cones,Run1_AdjTime,Run2_Time,Run2_Cones,Run2_AdjTime,Run3_Time,Run3_Cones,Run3_AdjTime,Run4_Time,Run4_Cones,Run4_AdjTime,BestTime,Score
66,84,Univ of Maine,5.245,,5.245,5.204,,5.204,5.687,,5.687,5.908,,5.908,5.204,23.45
67,24,Universite de Sherbrooke,5.465,,5.465,5.381,,5.381,,,DNA,,,DNA,5.381,17.06
68,15,US Naval Academy,5.399,,5.399,6.163,,6.163,5.983,,5.983,,,DNA,5.399,16.44
69,46,Columbia Univ,5.411,,5.411,5.658,,5.658,,,DNA,,,DNA,5.411,16.02
70,78,McGill Univ,6.265,,6.265,6.411,,6.411,5.424,,5.424,5.422,,5.422,5.422,15.64
71,99,Oklahoma State Univ,23.225,,23.225,5.678,,5.678,5.473,,5.473,5.634,,5.634,5.473,13.91
72,127,Univ of Connecticut,5.610,,5.610,5.588,,5.588,7.129,,7.129,5.564,,5.564,5.564,10.89
73,129,Vanderbilt Univ,5.900,,5.900,5.657,,5.657,,,DNA,,,DNA,5.657,7.9
74,116,Univ of Pittsburgh - Pittsburgh,6.119,,6.119,5.781,,5.781,6.779,,6.779,,,DNA,5.781,4.07
75,75,Northwestern Univ,6.089,,6.089,6.199,,6.199,,,DNA,,,DNA,6.089,3.5
75,114,Univ of Evansville,6.414,,6.414,6.415,,6.415,,,DNA,,,DNA,6.414,3.5
75,90,Univ of North Florida,6.585,,6.585,7.379,,7.379,,,DNA,,,DNA,6.585,3.5
,9,Univ of Kansas - Lawrence,,,DNA,,,DNA,,,DNA,,,DNA,DNA,
,22,Purdue Univ - W Lafayette,,,DNA,,,DNA,,,DNA,,,DNA,DNA,
,23,Hudson Valley Comm College,,,DNA,,,DNA,,,DNA,,,DNA,DNA,
,25,Univ of Toronto,,,DNA,,,DNA,,,DNA,,,DNA,DNA,
,37,Univ of Hartford,,,DNA,,,DNA,,,DNA,,,DNA,DNA,
,38,Universidad Central de Venezuela,,,DNA,,,DNA,,,DNA,,,DNA,DNA,
,41,Louisiana State Univ,,,DNA,,,DNA,,,DNA,,,DNA,DNA,
,44,Washington Univ - St Louis,,,DNA,,,DNA,,,DNA,,,DNA,DNA,
,51,Univ of Illinois - Urbana Champaign,,,DNA,,,DNA,,,DNA,,,DNA,DNA,
,53,Universidad de Oriente,,,DNA,,,DNA,,,DNA,,,DNA,DNA,
,55,Western Michigan Univ,,,DNA,,,DNA,,,DNA,,,DNA,DNA,
,56,Ryerson Univ,,,DNA,,,DNA,,,DNA,,,DNA,DNA,
,60,Ferris State University,,,DNA,,,DNA,,,DNA,,,DNA,DNA,
,63,Ecole Polytechnique De Montreal,,,DNA,,,DNA,,,DNA,,,DNA,DNA,
,64,Univ of Manitoba,,,DNA,,,DNA,,,DNA,,,DNA,DNA,
,65,Western Washington Univ,,,DNA,,,DNA,,,DNA,,,DNA,DNA,
,69,Univ of Ontario Institute of Tech,,,DNA,,,DNA,,,DNA,,,DNA,DNA,
,70,Cegep du Vieux - Montreal,,,DNA,,,DNA,,,DNA,,,DNA,DNA,
,74,Texas Tech Univ,,,DNA,,,DNA,,,DNA,,,DNA,DNA,
,76,Penn State Univ - University Park,,,DNA,,,DNA,,,DNA,,,DNA,DNA,
,77,Kansas State Univ,,,DNA,,,DNA,,,DNA,,,DNA,DNA,
,81,St Cloud State Univ,,,DNA,,,DNA,,,DNA,,,DNA,DNA,
,82,Kumoh National Institute of Technology,,,DNA,,,DNA,,,DNA,,,DNA,DNA,
,83,Worcester Polytechnic Inst,,,DNA,,,DNA,,,DNA,,,DNA,DNA,
,85,Sheridan College,,,DNA,,,DNA,,,DNA,,,DNA,DNA,
,91,Univ of Kentucky,,,DNA,,,DNA,,,DNA,,,DNA,DNA,
,92,Washington State Univ,,,DNA,,,DNA,,,DNA,,,DNA,DNA,
,94,Rochester Institute of Technology,,,DNA,,,DNA,,,DNA,,,DNA,DNA,
,95,Univ of California-Merced,,,DNA,,,DNA,,,DNA,,,DNA,DNA,
,100,North Carolina A & T State Univ,,,DNA,,,DNA,,,DNA,,,DNA,DNA,
,101,Northern Illinois Univ,,,DNA,,,DNA,,,DNA,,,DNA,DNA,
,103,Univ of Alabama - Tuscaloosa,,,DNA,,,DNA,,,DNA,,,DNA,DNA,
,104,Middle Tennessee State Univ,,,DNA,,,DNA,,,DNA,,,DNA,DNA,
,105,Queen's Univ - Ontario Canada,,,DNA,,,DNA,,,DNA,,,DNA,DNA,
,110,Florida Atlantic Univ,,,DNA,,,DNA,,,DNA,,,DNA,DNA,
,112,Temple Univ,,,DNA,,,DNA,,,DNA,,,DNA,DNA,
,117,Southern Illinois Univ - Carbondale,,,DNA,,,DNA,,,DNA,,,DNA,DNA,
,121,Florida International Univ,,,DNA,,,DNA,,,DNA,,,DNA,DNA,
,122,Lawrence Technological Univ,,,DNA,,,DNA,,,DNA,,,DNA,DNA,
,123,Kettering Univ,,,DNA,,,DNA,,,DNA,,,DNA,DNA,
,124,Central Connecticut State Univ,,,DNA,,,DNA,,,DNA,,,DNA,DNA,
