Place,CarNum,Team,Penalty,CostScore,PresentationScore,DesignScore,AccelerationScore,SkidPadScore,AutocrossScore,EnduranceScore,EfficiencyScore,TotalScore
1,1,Universitat Stuttgart,,62.5,75.0,140,81.5,56.7,125.0,273.8,88.1,902.5
2,4,Oregon State Univ,,57.6,62.2,121,87.5,75.0,111.4,247.2,99.9,861.8
3,2,Graz Technical Univ,,55.7,50.5,122,73.9,62.4,115.6,275.0,100.0,855.1
4,3,U A S Graz,,58.2,49.1,142,80.2,57.3,113.5,266.0,76.4,842.7
5,111,Univ of Michigan - Ann Arbor,,68.1,64.9,115,97.8,44.3,99.1,205.2,63.3,757.9
6,16,San Jose State University,,66.0,43.1,117,97.7,54.4,76.3,195.0,80.2,729.7
7,105,Univ of Minnesota - Twin Cities,,64.4,48.6,100,69.3,56.8,92.2,218.8,70.4,720.6
8,99,Cornell Univ,,61.4,67.4,127,100.0,40.7,68.7,188.9,58.4,712.4
9,67,Rochester Institute of Technology,,61.3,43.4,100,74.7,60.8,87.2,205.1,77.9,710.3
10,6,Univ of Wisconsin - Madison,,66.8,47.5,115,70.6,46.1,78.5,189.9,82.7,697.1
11,83,Kookmin Univ,,68.2,57.1,115,85.5,56.9,80.7,171.0,61.6,695.9
12,13,Technical Univ of Munich,,70.7,68.7,150,71.5,63.0,110.0,19,96.2,649.1
13,60,The Ohio State University,,56.6,54.1,100,80.0,54.4,79.0,147.5,75.9,647.5
14,47,National Univ of Singapore,,61.2,71.1,118,96.0,47.1,62.9,107.1,83.9,647.2
15,49,Univ of Illinois - Urbana Champaign,,71.1,72.0,115,92.0,54.3,65.9,129.6,43.3,643.0
16,57,Univ of Victoria,,67.4,53.9,115,67.8,39.7,75.9,153.0,69.9,642.6
17,15,Univ of Alabama - Tuscaloosa,,65.8,63.8,115,91.6,16.5,48.4,123.7,82.5,607.3
18,11,Universidade de Sao Paulo,,57.7,56.3,123,44.9,46.0,60.2,124.0,87.1,599.1
19,78,Polytechnique Montréal,,68.0,55.0,85,59.9,40.0,58.1,148.1,84.3,598.4
20,97,Kettering Univ,,71.7,47.2,60,74.8,39.3,71.6,143.4,89.4,597.4
21,14,Florida Atlantic Univ,,64.9,59.7,85,74.3,15.2,64.4,159.5,72.6,595.5
22,48,Univ of Connecticut,,62.0,47.6,55,83.0,32.3,86.1,154.9,70.7,591.6
23,37,Univ of British Columbia,,57.9,43.9,100,87.1,45.7,76.2,103.6,76.2,590.5
24,22,Villanova Univ,,76.8,61.3,70,91.5,33.5,52.0,139.7,51.9,576.7
25,80,Ryerson Univ,,67.1,62.7,45,62.9,24.1,77.5,144.9,76.8,561.1
26,81,Virginia Tech,-20,61.9,61.9,115,60.9,50.7,67.4,62.2,88.1,548.1
27,32,Louisiana State Univ,,66.3,58.3,100,69.8,35.1,50.7,128.2,38.8,547.2
28,58,Universite de Sherbrooke,,64.2,44.4,100,69.2,20.5,63.3,118.4,66.5,546.4
29,7,Missouri University of Science and Tech,,61.7,65.9,100,83.9,63.0,87.5,19,62.3,543.2
30,77,Rose Hulman Inst of Tech,,67.2,50.2,15,57.1,19.7,71.6,158.9,88.7,528.3
31,54,Univ of Kansas - Lawrence,,69.1,42.9,100,77.9,22.9,72.2,67.1,69.5,521.7
32,82,Univ of Cincinnati,,66.3,53.5,100,61.7,40.3,87.8,13,93.6,516.2
33,126,Univ of Waterloo,,65.9,37.3,100,98.7,25.4,18.0,91.9,69.3,506.3
