Place,CarNum,Team,AvgLapAdjTime,CompletedLaps,FuelUsed_L,CO2_kg,CO2PerLap,FuelType,FuelEfficiency,Score
1,2,Graz Technical Univ,55.760,22,2.581,5.962,0.2710,100,0.812,100
2,4,Oregon State Univ,57.755,22,2.497,5.768,0.2622,93,0.811,99.9
3,13,Technical Univ of Munich,60.073,19,3.140,5.181,0.2727,E85,0.749,96.2
4,79,Univ of New Hampshire,76.773,22,2.097,4.844,0.2202,100,0.726,94.6
5,82,Univ of Cincinnati,64.432,13,1.506,3.478,0.2675,93,0.712,93.6
6,97,Kettering Univ,66.652,22,3.899,6.433,0.2797,E85,0.659,89.4
7,77,Rose Hulman Inst of Tech,65.146,22,2.762,6.380,0.2900,100,0.650,88.7
8,81,Virginia Tech,75.779,22,2.399,5.541,0.2519,93,0.643,88.1
9,1,Universitat Stuttgart,55.842,22,4.560,7.524,0.3420,E85,0.643,88.1
10,11,Universidade de Sao Paulo,68.619,22,2.698,6.232,0.2833,100,0.632,87.1
11,78,Polytechnique Montréal,66.186,22,2.930,6.768,0.3076,100,0.603,84.3
12,47,National Univ of Singapore,70.443,22,2.771,6.401,0.2910,93,0.599,83.9
13,6,Univ of Wisconsin - Madison,62.347,22,4.466,7.368,0.3349,E85,0.588,82.7
14,15,Univ of Alabama - Tuscaloosa,68.650,22,2.908,6.717,0.3053,93,0.586,82.5
15,16,San Jose State University,61.907,22,4.679,7.720,0.3509,E85,0.565,80.2
16,67,Rochester Institute of Technology,61.061,22,3.510,8.108,0.3685,100,0.546,77.9
17,104,Univ of Evansville,74.273,22,3.049,7.043,0.3062,93,0.540,77.2
18,80,Ryerson Univ,66.496,22,3.274,7.562,0.3437,93,0.537,76.8
19,3,U A S Graz,56.392,22,3.883,8.969,0.4077,93,0.534,76.4
20,37,Univ of British Columbia,70.833,22,3.103,7.167,0.3258,100,0.532,76.2
21,60,The Ohio State University,66.245,22,4.662,7.692,0.3496,E85,0.530,75.9
22,108,Washington State Univ,78.273,22,2.928,6.763,0.3074,93,0.510,73.2
23,62,Cooper Union,78.347,22,2.929,6.765,0.3075,93,0.510,73.1
24,14,Florida Atlantic Univ,65.096,22,3.552,8.205,0.3730,100,0.506,72.6
25,48,Univ of Connecticut,65.527,22,3.618,8.357,0.3799,93,0.493,70.7
26,105,Univ of Minnesota - Twin Cities,59.939,22,3.973,9.177,0.4171,93,0.491,70.4
27,55,Tennessee Tech Univ,70.327,22,3.390,7.830,0.3559,100,0.491,70.3
28,57,Univ of Victoria,65.710,22,3.646,8.422,0.3828,100,0.488,69.9
29,54,Univ of Kansas - Lawrence,75.156,22,4.488,7.405,0.3366,E85,0.485,69.5
30,126,Univ of Waterloo,72.164,22,3.350,7.738,0.3517,93,0.484,69.3
31,113,Central Michigan Univ,73.969,22,3.300,7.623,0.3465,93,0.479,68.5
32,72,Saginaw Valley State Univ,70.806,15,2.396,5.534,0.3689,100,0.470,67.0
33,58,Universite de Sherbrooke,69.218,22,3.621,8.364,0.3802,93,0.467,66.5
34,84,Univ of Toronto,64.410,11,1.994,4.606,0.4187,93,0.455,64.5
35,38,Rensselaer Polytechnic Inst,72.471,22,3.593,8.299,0.3772,93,0.449,63.4
36,111,Univ of Michigan - Ann Arbor,61.047,22,5.978,9.863,0.4483,E85,0.449,63.3
37,7,Missouri University of Science and Tech,63.338,19,3.600,8.316,0.4377,100,0.443,62.3
38,83,Kookmin Univ,64.025,22,4.159,9.607,0.4367,100,0.439,61.6
39,98,Univ of Puerto Rico-Mayaquez,77.632,12,1.936,4.472,0.3727,93,0.424,58.6
40,99,Cornell Univ,62.433,22,6.197,10.225,0.4648,E85,0.423,58.4
41,110,Univ of Manitoba,71.281,22,5.829,9.617,0.4371,E85,0.394,52.0
42,22,Villanova Univ,67.020,22,4.431,10.235,0.4652,100,0.394,51.9
43,25,Michigan Tech Univ,80.437,22,3.698,8.542,0.3883,93,0.393,51.8
44,21,Brown Univ,77.627,22,3.940,9.101,0.4137,100,0.382,49.1
45,115,Universidad Simon Bolivar,73.766,22,4.191,9.681,0.4400,93,0.378,48.1
46,49,Univ of Illinois - Urbana Champaign,68.042,22,4.769,11.016,0.5007,93,0.360,43.3
47,32,Louisiana State Univ,68.181,22,4.967,11.473,0.5215,93,0.345,38.8
48,102,Duke Univ,67.701,22,5.583,12.896,0.5862,100,0.309,26.5
,35,York College of Pennsylvania,81.537,22,2.018,4.661,0.2119,93,,0
,76,Univ of Hartford,84.169,22,2.325,5.370,0.2441,100,,0
,30,Lehigh Univ,82.548,11,1.331,3.074,0.2795,93,,0
,93,US Air Force Academy,86.678,22,2.689,6.211,0.2823,93,,0
