Place,CarNum,Team,AvgLapAdjTime,CompletedLaps,FuelUsed_L,CO2_kg,CO2PerLap,FuelType,FuelEfficiency,Score
,29,Washington Univ - St Louis,99.608,22,2.924,6.754,0.3070,93,,0
,24,Purdue Univ - Northwest,107.969,22,3.425,7.911,0.3596,93,,0
,85,Univ of Kentucky,84.668,22,3.454,7.978,0.3626,93,,0
,112,Ferris State University,109.007,22,3.510,8.108,0.3685,93,,0
,23,Univ of Missouri,81.259,22,3.530,8.154,0.3706,93,,0
,70,Universidad Metropolitana,96.183,22,3.627,8.378,0.3808,93,,0
,71,Temple Univ,82.572,22,3.744,8.648,0.3931,100,,0
,120,Oakland University,85.086,22,3.926,9.069,0.4122,93,,0
,114,Florida Inst of Tech,85.739,22,4.603,10.632,0.4833,93,,0
,100,Univ of British Columbia - Okangan,96.057,20,4.521,10.443,0.5222,93,,0
,94,Stevens Inst of Tech,81.557,22,5.035,11.630,0.5286,93,,0
,123,Queen's Univ - Ontario Canada,71.319,22,5.757,13.298,0.6045,93,,0
,19,Mississippi State Univ,90.178,22,6.020,13.906,0.6046,93,,0
,103,Univ of Central Florida,70.857,18,5.100,11.781,0.6545,93,,0
,40,Univ of North Florida,69.245,22,6.509,15.035,0.6834,93,,0
,41,Lawrence Technological Univ,78.864,22,6.821,15.756,0.7162,93,,0
,96,Universite Du Quebec a Trois-Rivieres,65.711,18,5.884,13.592,0.7551,93,,0
,91,Saint Louis Univ,117.895,14,6.679,15.428,1.1020,93,,0
