Place,CarNum,Team,AdjustedCost,PriceScore,CostAccuracy,EngineeringDesign,ScenarioScore,Penalty,Score
1,55,Tennessee Tech Univ,"$6,538",40,16.7,20,17,,93.7
2,113,Central Michigan Univ,"$7,867",30.54,15.05,20,15,,80.59
3,106,Universidad Autonoma Estado Mexico,"$8,287",28.18,18.35,20,14,,80.53
4,91,Saint Louis Univ,"$8,741",25.89,17.53,20,14,,77.41
5,115,Universidad Simon Bolivar,"$9,535",22.4,16.7,20,18,,77.1
6,22,Villanova Univ,"$9,100",24.23,19.59,20,13,,76.82
7,76,Univ of Hartford,"$9,207",23.77,19.18,20,12,,74.94
8,96,Universite Du Quebec a Trois-Rivieres,"$11,300",16.4,17.53,20,19,,72.93
9,97,Kettering Univ,"$10,763",18.02,16.7,20,17,,71.72
10,122,Penn State Univ - University Park,"$13,319",11.49,20,20,20,,71.49
11,124,North Carolina State Univ - Raleigh,"$11,530",15.76,15.46,20,20,,71.22
12,49,Univ of Illinois - Urbana Champaign,"$12,832",12.53,19.59,20,19,,71.12
13,112,Ferris State University,"$11,048",17.14,15.88,20,18,,71.02
14,84,Univ of Toronto,"$12,652",12.94,17.94,20,20,,70.88
15,87,West Virginia Univ,"$9,059",24.42,18.35,20,8,,70.77
16,13,Technical Univ of Munich,"$11,922",14.71,17.94,20,18,,70.65
17,18,Univ of Illinois - Chicago,"$12,583",13.1,17.53,20,20,,70.62
18,31,Univ of Louisiana - Lafayette,"$10,635",18.43,17.11,20,15,,70.54
19,38,Rensselaer Polytechnic Inst,"$11,892",14.79,17.11,20,18,,69.9
20,44,Univ of Guelph,"$12,728",12.77,17.11,20,20,,69.88
21,51,Carleton Univ,"$12,063",14.35,17.53,20,18,,69.88
22,5,Michigan State Univ,"$13,938",10.27,20,20,19,,69.27
23,71,Temple Univ,"$11,577",15.63,17.53,20,16,,69.15
24,54,Univ of Kansas - Lawrence,"$13,464",11.19,17.94,20,20,,69.13
25,19,Mississippi State Univ,"$12,382",13.57,15.46,20,20,,69.03
26,65,Univ of Akron,"$14,334",9.55,19.18,20,20,,68.72
27,39,Western Michigan Univ,"$13,891",10.36,20,20,18,,68.36
28,23,Univ of Missouri,"$14,864",8.63,19.59,20,20,,68.22
29,83,Kookmin Univ,"$10,906",17.57,14.64,20,16,,68.21
30,36,Colorado Mesa University,"$13,281",11.57,19.59,17,20,,68.16
31,111,Univ of Michigan - Ann Arbor,"$13,973",10.2,17.94,20,20,,68.14
32,78,Polytechnique Montréal,"$14,201",9.78,19.18,19,20,,67.96
33,57,Univ of Victoria,"$13,968",10.21,19.18,20,18,,67.39
34,77,Rose Hulman Inst of Tech,"$13,025",12.11,15.05,20,20,,67.16
35,80,Ryerson Univ,"$14,440",9.36,18.76,20,19,,67.12
36,69,Univ of Pittsburgh - Pittsburgh,"$14,338",9.54,17.53,20,20,,67.06
37,79,Univ of New Hampshire,"$12,399",13.53,17.53,20,16,,67.05
38,123,Queen's Univ - Ontario Canada,"$13,217",11.7,18.35,20,17,,67.05
39,35,York College of Pennsylvania,"$10,849",17.75,16.29,19,14,,67.04
40,108,Washington State Univ,"$11,107",16.97,15.05,18,17,,67.02
41,6,Univ of Wisconsin - Madison,"$16,069",6.79,20,20,20,,66.79
42,53,Univ of Toledo,"$14,067",10.03,16.7,20,20,,66.73
43,24,Purdue Univ - Northwest,"$15,775",7.21,19.18,20,20,,66.39
44,42,Western University,"$15,792",7.19,19.18,20,20,,66.36
45,94,Stevens Inst of Tech,"$11,883",14.81,17.53,20,14,,66.34
46,21,Brown Univ,"$13,849",10.44,15.88,20,20,,66.31
47,82,Univ of Cincinnati,"$12,089",14.29,15.03,20,17,,66.31
48,32,Louisiana State Univ,"$14,820",8.71,19.59,20,18,,66.3
49,16,San Jose State University,"$13,356",11.42,14.61,20,20,,66.03
50,126,Univ of Waterloo,"$15,312",7.91,17.94,20,20,,65.85
51,15,Univ of Alabama - Tuscaloosa,"$14,141",9.89,17.94,20,18,,65.83
52,93,US Air Force Academy,"$12,379",13.58,15.88,19,17,,65.45
53,50,Rutgers Univ,"$15,661",7.38,19.59,20,18,,64.97
54,14,Florida Atlantic Univ,"$13,358",11.41,17.53,20,16,,64.94
55,46,US Naval Academy,"$17,792",4.58,20,20,20,,64.58
56,105,Univ of Minnesota - Twin Cities,"$14,008",10.14,16.29,20,18,,64.43
57,101,North Dakota State Univ,"$13,165",11.81,15.46,20,17,,64.28
58,45,St Cloud State Univ,"$10,743",18.08,17.11,19,10,,64.2
59,58,Universite de Sherbrooke,"$11,884",14.81,18.35,20,11,,64.16
60,85,Univ of Kentucky,"$15,614",7.45,17.94,20,18,,63.39
61,40,Univ of North Florida,"$16,455",6.25,17.11,20,20,,63.37
62,9,Univ of Florida,"$17,169",5.33,20,20,18,,63.33
63,29,Washington Univ - St Louis,"$13,299",11.53,11.4,20,20,,62.93
64,110,Univ of Manitoba,"$18,749",3.53,19.18,20,20,,62.71
