Place,CarNum,Team,Run1_Time,Run1_Cones,Run1_OffCourse,Run1_AdjTime,Run2_Time,Run2_Cones,Run2_OffCourse,Run2_AdjTime,Run3_Time,Run3_Cones,Run3_OffCourse,Run3_AdjTime,Run4_Time,Run4_Cones,Run4_OffCourse,Run4_AdjTime,BestTime,Score
1,1,Universitat Stuttgart,44.945,,,44.945,43.749,,,43.749,41.991,,,41.991,41.276,,,41.276,41.276,125
2,2,Graz Technical Univ,43.692,,,43.692,44.236,,,44.236,43.239,1,,45.239,42.313,,,42.313,42.313,115.65
3,3,U A S Graz,43.998,,,43.998,44.635,2,,48.635,42.792,,,42.792,42.563,,,42.563,42.563,113.46
4,4,Oregon State Univ,44.451,,,44.451,42.804,,,42.804,44.100,,,44.100,43.522,1,,45.522,42.804,111.38
5,13,Technical Univ of Munich,47.287,,,47.287,45.354,,,45.354,42.977,,,42.977,42.970,,,42.970,42.970,109.95
6,88,Ecole De Technologie Superieure,44.608,,,44.608,44.057,,,44.057,,,,DNA,,,,DNA,44.057,100.9
7,111,Univ of Michigan - Ann Arbor,49.945,1,,51.945,48.112,,,48.112,44.034,1,,46.034,44.283,,,44.283,44.283,99.08
8,9,Univ of Florida,50.140,,,50.140,48.702,1,,50.702,45.706,,,45.706,44.426,,,44.426,44.426,97.93
9,5,Michigan State Univ,45.238,,,45.238,45.085,,,45.085,44.465,,,44.465,44.998,1,,46.998,44.465,97.62
10,105,Univ of Minnesota - Twin Cities,48.251,1,,50.251,46.455,1,1,68.455,45.151,,,45.151,,,,,45.151,92.23
11,82,Univ of Cincinnati,49.325,2,1,73.325,49.331,,,49.331,45.731,,,45.731,,1,,,45.731,87.81
12,7,Missouri University of Science and Tech,47.138,,,47.138,45.778,,,45.778,46.499,1,,48.499,45.532,1,,47.532,45.778,87.45
13,67,Rochester Institute of Technology,48.506,1,,50.506,48.336,,,48.336,46.204,,,46.204,45.814,,,45.814,45.814,87.18
14,48,Univ of Connecticut,45.957,,,45.957,47.070,,,47.070,54.822,4,,62.822,53.528,1,,55.528,45.957,86.11
15,42,Western University,57.031,,,57.031,58.898,,,58.898,48.383,,,48.383,46.692,,,46.692,46.692,80.71
16,83,Kookmin Univ,47.837,,,47.837,46.700,,,46.700,48.332,1,,50.332,48.519,,,48.519,46.700,80.66
17,65,Univ of Akron,48.244,,,48.244,46.717,,,46.717,50.503,,1,70.503,48.730,,,48.730,46.717,80.54
18,84,Univ of Toronto,46.806,1,,48.806,46.883,,,46.883,50.022,,,50.022,50.148,,,50.148,46.883,79.34
19,60,The Ohio State University,49.619,,,49.619,46.937,,,46.937,49.259,,,49.259,47.007,,,47.007,46.937,78.95
20,6,Univ of Wisconsin - Madison,50.279,,,50.279,49.970,,,49.970,48.249,,,48.249,46.999,,,46.999,46.999,78.51
21,80,Ryerson Univ,48.975,,1,68.975,47.135,,,47.135,51.588,,,51.588,50.987,,,50.987,47.135,77.54
22,16,San Jose State University,47.317,,,47.317,48.628,,,48.628,48.433,,,48.433,48.256,,,48.256,47.317,76.26
23,37,Univ of British Columbia,53.079,2,1,77.079,50.341,3,,56.341,47.322,,,47.322,52.916,2,1,76.916,47.322,76.22
24,57,Univ of Victoria,,,,,49.677,,2,89.677,47.367,,,47.367,49.479,,,49.479,47.367,75.91
25,23,Univ of Missouri,51.623,,,51.623,49.943,,1,69.943,51.142,,,51.142,47.706,,,47.706,47.706,73.54
26,96,Universite Du Quebec a Trois-Rivieres,53.170,,,53.170,47.744,,,47.744,49.314,,,49.314,54.995,,1,74.995,47.744,73.28
27,54,Univ of Kansas - Lawrence,47.894,,,47.894,46.776,1,,48.776,49.060,,,49.060,139.041,1,,141.041,47.894,72.24
28,97,Kettering Univ,47.991,,,47.991,49.079,1,,51.079,51.384,,,51.384,,,,,47.991,71.58
29,77,Rose Hulman Inst of Tech,50.071,2,,54.071,47.991,,,47.991,52.693,,,52.693,50.247,,,50.247,47.991,71.57
30,99,Cornell Univ,49.925,,,49.925,46.766,1,,48.766,49.129,,,49.129,48.420,,,48.420,48.420,68.67
31,81,Virginia Tech,52.752,,,52.752,50.727,,,50.727,50.034,,,50.034,48.605,,,48.605,48.605,67.43
32,73,Embry-Riddle Aero Univ - Daytona Beach,56.767,3,,62.767,53.619,,,53.619,50.727,,,50.727,48.615,,,48.615,48.615,67.36
33,50,Rutgers Univ,58.756,2,1,82.756,56.620,1,,58.620,51.093,,,51.093,48.797,,,48.797,48.797,66.15
34,49,Univ of Illinois - Urbana Champaign,49.833,,,49.833,48.836,,,48.836,50.823,,,50.823,50.308,1,,52.308,48.836,65.9
35,39,Western Michigan Univ,49.054,,3,109.054,52.754,,1,72.754,50.428,,,50.428,48.910,,,48.910,48.910,65.41
36,14,Florida Atlantic Univ,50.443,,,50.443,50.711,5,,60.711,48.841,1,,50.841,49.068,,,49.068,49.068,64.37
37,58,Universite de Sherbrooke,54.138,,,54.138,51.308,,,51.308,50.288,3,,56.288,49.231,,,49.231,49.231,63.31
38,47,National Univ of Singapore,50.966,1,,52.966,49.716,1,,51.716,50.981,,,50.981,49.295,,,49.295,49.295,62.89
39,86,Indiana Univ Purdue Univ Indianapolis,50.568,2,1,74.568,84.879,1,5,186.879,54.789,,,54.789,49.358,,,49.358,49.358,62.48
