Place,CarNum,Team,Time,Laps,Cones,OffCourse,OtherPenalty,AdjTime,EnduranceScore
1,2,Graz Technical Univ,1226.717,22,,,,1226.717,275
2,1,Universitat Stuttgart,1226.528,22,1,,,1228.528,273.8
3,3,U A S Graz,1234.620,22,3,,,1240.620,266.0
4,4,Oregon State Univ,1270.610,22,,,,1270.610,247.2
5,105,Univ of Minnesota - Twin Cities,1308.655,22,5,,,1318.655,218.8
6,111,Univ of Michigan - Ann Arbor,1335.024,22,4,,,1343.024,205.2
7,67,Rochester Institute of Technology,1321.332,22,1,1,,1343.332,205.1
8,16,San Jose State University,1359.943,22,1,,,1361.943,195.0
9,6,Univ of Wisconsin - Madison,1369.631,22,1,,,1371.631,189.9
10,99,Cornell Univ,1371.534,22,1,,,1373.534,188.9
11,83,Kookmin Univ,1406.560,22,1,,,1408.560,171.0
12,14,Florida Atlantic Univ,1420.118,22,6,,,1432.118,159.5
13,77,Rose Hulman Inst of Tech,1433.202,22,,,,1433.202,158.9
14,48,Univ of Connecticut,1431.588,22,5,,,1441.588,154.9
15,57,Univ of Victoria,1443.611,22,1,,,1445.611,153.0
16,78,Polytechnique Montréal,1448.100,22,4,,,1456.100,148.1
17,60,The Ohio State University,1435.382,22,1,1,,1457.382,147.5
18,80,Ryerson Univ,1440.919,22,1,1,,1462.919,144.9
19,97,Kettering Univ,1446.345,22,,1,,1466.345,143.4
20,22,Villanova Univ,1472.430,22,1,,,1474.430,139.7
21,102,Duke Univ,1459.419,22,5,1,,1489.419,132.9
22,49,Univ of Illinois - Urbana Champaign,1450.934,22,3,2,,1496.934,129.6
23,32,Louisiana State Univ,1491.990,22,4,,,1499.990,128.2
24,11,Universidade de Sao Paulo,1505.623,22,2,,,1509.623,124.0
25,15,Univ of Alabama - Tuscaloosa,1500.303,22,5,,,1510.303,123.7
26,58,Universite de Sherbrooke,1506.793,22,8,,,1522.793,118.4
27,40,Univ of North Florida,1469.398,22,7,2,,1523.398,118.1
28,55,Tennessee Tech Univ,1529.204,22,9,,,1547.204,108.1
29,47,National Univ of Singapore,1549.747,22,,,,1549.747,107.1
30,37,Univ of British Columbia,1556.322,22,1,,,1558.322,103.6
31,110,Univ of Manitoba,1558.184,22,5,,,1568.184,99.6
