Place,CarNum,Team,Run1_Time,Run1_Cones,Run1_AdjTime,Run2_Time,Run2_Cones,Run2_AdjTime,Run3_Time,Run3_Cones,Run3_AdjTime,Run4_Time,Run4_Cones,Run4_AdjTime,BestTime,Penalty,Score
,37,Old Dominion Univ,,,DNA,,,DNA,,,DNA,,,DNA,DNA,,
,39,Univ of Central Florida,,,DNA,,,DNA,,,DNA,,,DNA,DNA,,
,40,Montana State Univ - Bozeman,,,DNA,,,DNA,,,DNA,,,DNA,DNA,,
,41,Pellissippi State Community College,,,DNA,,,DNA,,,DNA,,,DNA,DNA,,
,42,Universidad Metropolitana,,,DNA,,,DNA,,,DNA,,,DNA,DNA,,
,47,Oregon Inst of Tech,,,DNA,,,DNA,,,DNA,,,DNA,DNA,,
,49,Arizona State Univ - Tempe,,,DNA,,,DNA,,,DNA,,,DNA,DNA,,
,53,Univ of Houston - Houston,,,DNA,,,DNA,,,DNA,,,DNA,DNA,,
,55,Carleton Univ,,,DNA,,,DNA,,,DNA,,,DNA,DNA,,
,62,York College of Pennsylvania,,,DNA,,,DNA,,,DNA,,,DNA,DNA,,
,63,Drexel Univ,,,DNA,,,DNA,,,DNA,,,DNA,DNA,,
,67,California State Univ - Fullerton,,,DNA,,,DNA,,,DNA,,,DNA,DNA,,
,72,Northern Arizona Univ,,,DNA,,,DNA,,,DNA,,,DNA,DNA,,
,78,Missouri State University,,,DNA,,,DNA,,,DNA,,,DNA,DNA,,
,82,South Dakota State Univ,,,DNA,,,DNA,,,DNA,,,DNA,DNA,,
,83,Penn State Univ - Harrisburg,,,DNA,,,DNA,,,DNA,,,DNA,DNA,,
,87,Univ of Ottawa,,,DNA,,,DNA,,,DNA,,,DNA,DNA,,
,91,Univ of the Pacific,,,DNA,,,DNA,,,DNA,,,DNA,DNA,,
,95,Purdue Univ - Northwest,,,DNA,,,DNA,,,DNA,,,DNA,DNA,,
,105,Northern Illinois Univ,,,DNA,,,DNA,,,DNA,,,DNA,DNA,,
,109,UP Aguascalientes,,,DNA,,,DNA,,,DNA,,,DNA,DNA,,
,111,Universidad Panamericana Sede Guadalajar,,,DNA,,,DNA,,,DNA,,,DNA,DNA,,
,112,Universidad Autonoma Estado Mexico,,,DNA,,,DNA,,,DNA,,,DNA,DNA,,
,113,Grand Canyon University,,,DNA,,,DNA,,,DNA,,,DNA,DNA,,
,114,Southern Illinois Univ - Edwardville,,,DNA,,,DNA,,,DNA,,,DNA,DNA,,
,120,Univ of Saskatchewan,,,DNA,,,DNA,,,DNA,,,DNA,DNA,,
,121,Univ of Colorado - Colorado Springs,,,DNA,,,DNA,,,DNA,,,DNA,DNA,,
,122,Trinity Univ,,,DNA,,,DNA,,,DNA,,,DNA,DNA,,
,123,Univ of Massachusetts - Lowell,,,DNA,,,DNA,,,DNA,,,DNA,DNA,,
,126,ITESM - Campus Cuernavaca,,,DNA,,,DNA,,,DNA,,,DNA,DNA,,
,127,Univ of Minnesota-Duluth,,,DNA,,,DNA,,,DNA,,,DNA,DNA,,
,129,California State Univ - Chico,,,DNA,,,DNA,,,DNA,,,DNA,DNA,,
,130,Vanderbilt Univ,,,DNA,,,DNA,,,DNA,,,DNA,DNA,,
,133,New York University,,,DNA,,,DNA,,,DNA,,,DNA,DNA,,
,134,Instituto Tecnologico de Estudios Superi,,,DNA,,,DNA,,,DNA,,,DNA,DNA,,
,135,Alabama A & M Univ,,,DNA,,,DNA,,,DNA,,,DNA,DNA,,
,136,Syracuse Univ,,,DNA,,,DNA,,,DNA,,,DNA,DNA,,
,141,St Cloud State Univ,,,DNA,,,DNA,,,DNA,,,DNA,DNA,,
,142,Univ of Maine,,,DNA,,,DNA,,,DNA,,,DNA,DNA,,
,144,Calvin College,,,DNA,,,DNA,,,DNA,,,DNA,DNA,,
