Team,CarNum,Lap1,Lap2,Lap3,Lap4,Lap5,Lap6,Lap7,Lap8,Lap9,Lap10,Lap11
Univ of North Carolina - Charlotte,2,147.446,139.217,135.544,135.126,135.224,,140.433,135.519,132.932,137.214,134.429
Univ of Calif - Berkeley,3,171.737,148.611,134.282,138.323,138.761,,147.368,140.495,138.054,135.623,134.691
Univ of Connecticut,4,137.332,132.378,131.058,133.135,130.330,,135.716,,,,
Texas A & M Univ - College Station,5,134.569,131.183,133.383,131.928,128.209,,128.442,128.398,129.925,126.922,127.376
Instituto Maua de Tecnologia,7,149.857,146.079,143.282,142.358,151.868,,148.910,148.418,163.950,167.488,149.001
Purdue Univ - W Lafayette,8,150.187,142.839,138.946,145.977,134.655,,132.256,130.636,145.136,130.738,130.592
Villanova Univ,9,145.752,138.159,141.377,142.623,143.450,,177.765,149.362,144.444,139.585,160.960
Kansas State Univ,10,135.029,131.689,132.060,131.956,128.265,127.983,,135.213,140.895,131.028,131.281
Univ of Missouri,22,133.440,135.101,146.014,176.181,138.585,,142.363,140.134,137.086,146.000,137.732
Colorado School of Mines,23,147.680,154.345,152.888,135.263,133.339,,147.217,152.682,155.404,153.676,155.283
Univ of British Columbia,24,209.969,181.790,181.035,202.325,182.166,,187.727,196.137,,,
Univ of Victoria,29,137.802,131.531,129.747,130.225,,152.237,144.653,144.165,142.190,142.617,151.873
Brown Univ,30,153.086,145.419,140.972,139.381,137.909,,136.750,138.258,134.416,136.772,134.228
Lehigh Univ,31,159.478,147.216,145.725,146.341,142.529,,154.965,151.804,148.453,167.371,156.421
Embry-Riddle Aero Univ - Daytona Beach,32,141.785,139.556,143.290,138.145,150.452,136.172,,138.677,138.894,136.831,139.544
Duke Univ,34,143.358,139.615,146.174,139.180,144.380,141.808,,142.909,142.000,143.680,140.795
Univ of Calif - Irvine,35,625.865,,,,,,,,,,
Georgia Institute of Technology,38,131.975,130.037,129.559,129.801,130.111,,131.374,129.926,126.119,125.788,124.607
Universidad Metropolitana,42,184.704,210.112,210.299,189.069,200.119,203.989,,,,,
Univ of Nebraska - Lincoln,43,140.048,136.511,132.116,131.855,129.686,,150.412,138.403,141.909,135.274,139.869
Colorado State University,44,165.147,159.263,159.261,154.854,154.411,,,,,,
Minnesota State University - Mankato,45,144.523,139.189,137.423,135.997,139.204,,459.749,136.337,135.089,145.984,
Univ of Oklahoma,46,164.322,160.580,155.191,158.348,157.587,,,,,,
Univ of Alabama - Tuscaloosa,48,137.218,136.798,133.524,130.431,130.310,,131.628,145.652,117.844,156.628,139.038
Clarkson University,50,159.881,158.355,151.448,153.522,,,,,,,
Universite de Sherbrooke,51,150.328,143.847,140.432,141.719,136.444,,139.617,141.391,132.915,131.995,134.649
Sacramento State Univ,52,143.891,140.738,144.795,147.251,143.186,,144.871,147.115,147.613,148.963,147.961
Tennessee Tech Univ,54,181.087,168.380,160.627,171.543,162.368,,179.550,176.106,,,
Univ of Maryland - College Park,56,152.255,146.739,145.057,145.031,148.019,,174.034,177.289,175.903,167.354,164.030
Florida International Univ,57,163.806,170.215,180.579,193.717,189.521,,192.178,,,,
Clemson Univ,58,152.752,136.962,134.947,137.211,135.549,,,,,,
Univ of Georgia,59,150.679,162.184,170.094,171.120,168.085,,157.724,156.645,148.446,150.654,166.926
Univ of Cincinnati,60,152.967,142.949,142.778,143.255,182.256,,,,,,
Univ of Wisconsin - Platteville,61,153.796,145.807,146.612,135.816,135.403,,158.895,148.951,148.437,148.090,152.451
Grand Valley State Univ,64,186.516,181.890,194.322,177.012,167.904,,209.709,196.391,183.949,178.567,165.581
Universidad Politecnica de Valencia,65,133.303,124.550,124.091,126.369,124.839,,133.906,130.990,130.730,131.182,132.904
US Naval Academy,70,184.899,175.984,186.555,248.802,,,,,,,
Washington State Univ,73,173.519,171.482,,,,,,,,,
Virginia Tech,74,141.189,132.763,155.504,135.709,132.353,,140.384,144.445,137.204,139.438,137.809
Mississippi State Univ,75,137.946,136.947,147.295,,,,,,,,
Washington Univ - St Louis,76,152.142,143.360,145.502,151.092,146.686,,155.741,145.234,153.811,157.085,
Univ of North Florida,77,157.847,150.273,185.181,141.545,140.223,,165.480,154.046,151.185,183.519,159.040
Florida Atlantic Univ,79,183.229,173.676,298.019,168.872,175.909,,160.354,224.844,200.464,241.904,206.697
South Dakota School of Mines & Tech,80,144.884,144.863,148.086,148.937,156.525,,145.806,150.691,156.639,143.964,147.074
Univ of Texas - Arlington,81,144.285,141.607,152.592,150.264,151.047,,133.492,132.559,131.569,129.331,131.812
South Dakota State Univ,82,172.366,150.957,158.489,162.593,163.114,,,,,,
California State Univ - Northridge,84,141.390,138.569,131.807,136.670,137.524,,144.558,138.437,138.484,138.447,136.907
Univ of Delaware,86,166.394,166.164,158.299,168.489,180.826,,178.052,187.391,224.577,173.822,165.880
California State Poly Univ - Pomona,89,160.160,143.983,161.540,147.781,149.485,,145.753,140.881,142.176,176.567,178.027
Univ of Michigan - Dearborn,92,145.054,145.885,140.346,147.698,147.322,,155.835,145.657,148.827,144.838,147.668
Michigan Tech Univ,93,162.662,143.160,166.467,144.873,165.195,,,,,,
Univ of Toledo,96,147.278,146.342,147.989,156.344,177.004,,170.289,155.341,166.125,171.288,172.196
Wayne State Univ,97,305.764,173.654,166.891,185.198,165.436,,180.097,166.244,163.164,161.195,
Missouri University of Science and Tech,98,142.459,151.818,146.269,157.382,147.640,,146.372,154.673,149.159,146.225,148.865
Colorado Mesa University,99,206.138,178.134,181.736,161.153,182.628,,265.103,200.533,165.006,,
Univ of Arizona,100,245.801,208.575,214.682,206.975,204.733,,,,,,
Univ of Manitoba,101,141.458,136.680,139.230,138.499,139.081,,155.960,156.053,149.637,150.956,176.376
Univ of Colorado - Boulder,103,151.420,148.699,145.227,155.815,146.363,,156.875,153.944,140.848,144.392,141.418
Iowa State Univ,106,133.028,129.770,130.639,133.135,129.590,,135.883,133.166,136.408,134.078,131.655
Univ of Hartford,107,165.005,155.515,159.448,163.337,174.272,,158.457,149.582,151.939,182.498,157.605
Temple Univ,108,145.129,143.939,142.464,146.434,138.448,,,,,,
Univ of Illinois - Chicago,115,204.314,194.394,173.891,173.791,171.743,,166.437,167.748,166.426,158.051,157.205
North Dakota State Univ,116,276.980,208.545,206.090,210.169,220.484,,221.548,285.438,284.442,289.118,
Oklahoma State Univ,117,170.562,158.522,163.396,151.423,148.920,,164.142,149.029,148.030,147.143,152.547
Liberty Univ,118,164.260,160.392,158.864,154.661,161.220,,149.027,143.039,146.239,148.295,139.638
Kennesaw State University,119,147.679,139.810,140.248,148.262,159.112,,,,,,
Univ of Saskatchewan,120,232.364,181.051,179.488,187.887,188.699,,185.735,170.088,169.045,174.238,223.656
Univ of Wisconsin - Madison,124,143.124,134.856,137.211,140.397,139.961,,141.575,142.483,164.842,142.088,143.062
Southern Illinois Univ - Carbondale,125,174.860,163.248,161.176,160.143,161.295,,157.344,150.214,157.780,153.362,161.166
North Carolina State Univ - Raleigh,128,170.688,156.921,156.548,155.951,150.606,,,,,,
Univ of Southern California,131,139.191,137.315,136.528,142.388,136.208,,149.351,140.037,137.836,134.925,137.144
