Place,CarNum,Team,AdjustedCost,PriceScore,CostAccuracy,EngineeringDesign,ScenarioScore,Penalty,Score
1,119,Kennesaw State University,"$11,767",27.8,13,13,40,,93.78
2,7,Instituto Maua de Tecnologia,"$16,758",20.8,15,15,38,,88.77
3,104,Univ of Texas - Austin,"$16,901",20.6,14,14,40,,88.57
4,30,Brown Univ,"$14,999",23.2,12,14,38,,87.24
5,84,California State Univ - Northridge,"$14,551",23.9,15,15,32,,85.87
6,106,Iowa State Univ,"$12,043",27.4,10,14,34,,85.39
7,81,Univ of Texas - Arlington,"$14,536",23.9,13,13,34.5,,84.39
8,65,Universidad Politecnica de Valencia,"$21,408",14.2,15,15,39,,83.24
9,118,Liberty Univ,"$15,719",22.2,14,13,34,,83.23
10,38,Georgia Institute of Technology,"$18,342",18.5,13,13,38.5,,83.05
11,148,CEFET-MG,"$14,834",23.5,14,15,30,,82.47
12,56,Univ of Maryland - College Park,"$21,590",14,13,15,39.5,,81.48
13,9,Villanova Univ,"$18,502",18.3,11,14,38,,81.32
14,115,Univ of Illinois - Chicago,"$13,248",25.7,14,10,31.5,,81.2
15,3,Univ of Calif - Berkeley,"$19,249",17.3,14,14,35,,80.27
16,42,Universidad Metropolitana,"$13,363",25.5,12,10,32.5,,80.04
17,2,Univ of North Carolina - Charlotte,"$20,311",15.8,10,14,40,,79.78
18,124,Univ of Wisconsin - Madison,"$17,941",19.1,14,15,31,,79.11
19,45,Minnesota State University - Mankato,"$15,591",22.4,14.5,13,29,,78.91
20,5,Texas A & M Univ - College Station,"$16,242",21.5,12,8,37,,78.5
21,49,Arizona State Univ - Tempe,"$18,687",18.1,14,14,32,,78.06
22,75,Mississippi State Univ,"$20,610",15.4,15,15,32,,77.36
23,93,Michigan Tech Univ,"$16,281",21.4,13,14,28,,76.44
24,34,Duke Univ,"$20,317",15.8,8,14,38,,75.77
25,111,Universidad Panamericana Sede Guadalajar,"$16,099",21.7,10,12,31,,74.7
26,132,Wichita State Univ,"$23,405",11.4,11,12,40,,74.43
27,24,Univ of British Columbia,"$26,175",7.5,14,12,40,,73.54
28,92,Univ of Michigan - Dearborn,"$16,679",20.9,13,13,25.5,,72.38
29,55,Carleton Univ,"$16,382",21.3,12,12,27,,72.3
30,89,California State Poly Univ - Pomona,"$20,188",16,12,10,34,,71.95
31,123,Univ of Massachusetts - Lowell,"$21,933",13.5,14,6,38,,71.5
32,97,Wayne State Univ,"$18,539",18.3,10,14,29,,71.27
33,29,Univ of Victoria,"$17,904",19.2,13,11,28,,71.16
34,54,Tennessee Tech Univ,"$10,188",30,8,9,24,,71
35,128,North Carolina State Univ - Raleigh,"$21,821",13.7,10,11,36,,70.66
36,98,Missouri University of Science and Tech,"$18,760",18,11.5,12,29,,70.46
37,74,Virginia Tech,"$16,473",21.2,13,19,16.5,,69.67
38,101,Univ of Manitoba,"$18,960",17.7,11,10,30,,68.68
39,138,Oakland University,"$17,939",19.1,8,13,28,,68.11
40,108,Temple Univ,"$13,774",25,15,13,15,,67.96
41,120,Univ of Saskatchewan,"$17,963",19.1,14,10,24.5,,67.58
42,31,Lehigh Univ,"$15,858",22,8,13,24.5,,67.53
43,103,Univ of Colorado - Boulder,"$20,061",16.1,8,14,29,,67.13
44,52,Sacramento State Univ,"$15,892",22,14,13,18,,66.99
45,10,Kansas State Univ,"$20,978",14.8,11,8,33,,66.84
46,8,Purdue Univ - W Lafayette,"$27,415",5.8,14,12,35,,66.8
47,4,Univ of Connecticut,"$21,015",14.8,12,13,27,,66.79
48,51,Universite de Sherbrooke,"$16,777",20.7,12,15,19,,66.74
49,64,Grand Valley State Univ,"$26,886",6.5,10,12,37,,65.54
50,43,Univ of Nebraska - Lincoln,"$15,472",22.6,7,11,24,,64.58
51,76,Washington Univ - St Louis,"$23,185",11.7,9,15,28,,63.74
52,22,Univ of Missouri,"$18,207",18.7,11,10,23.5,,63.24
53,27,Kettering Univ,"$17,972",19.1,14,5,25,,63.07
54,36,Saginaw Valley State Univ,"$13,128",25.9,11,9,17,,62.87
55,23,Colorado School of Mines,"$22,618",12.5,10,14,26,,62.54
56,59,Univ of Georgia,"$14,099",24.5,14,15,9,,62.51
57,69,Lawrence Technological Univ,"$15,641",22.3,13,9,18,,62.34
58,57,Florida International Univ,"$16,391",21.3,10,8,23,,62.29
59,95,Purdue Univ - Northwest,"$15,717",22.2,11,7,21,,61.23
60,77,Univ of North Florida,"$20,141",16,15,13,17,,61.02
61,48,Univ of Alabama - Tuscaloosa,"$25,449",8.6,13,13,25,,59.56
62,100,Univ of Arizona,"$16,501",21.1,15,1,22,,59.13
63,53,Univ of Houston - Houston,"$14,636",23.8,14,7,13.5,,58.25
64,99,Colorado Mesa University,"$20,461",15.6,7,14,21.5,,58.07
65,46,Univ of Oklahoma,"$25,183",8.9,11,7,31,,57.94
66,50,Clarkson University,"$17,464",19.8,12,11,15,,57.78
67,131,Univ of Southern California,"$24,307",10.2,11,12,24.5,,57.67
68,66,West Virginia Univ,"$23,741",11,9,1,36,,56.96
69,109,UP Aguascalientes,"$24,026",10.6,5,1,40,,56.56
70,87,Univ of Ottawa,"$17,732",19.4,11,12,14,,56.4
71,78,Missouri State University,"$18,486",18.3,7,9,22,,56.34
72,88,Univ of Kentucky,"$29,390",3,9,9,34,,55.03
73,44,Colorado State University,"$26,097",7.7,10,11,26,,54.65
74,58,Clemson Univ,"$28,287",4.6,12,14,24,,54.58
75,79,Florida Atlantic Univ,"$18,631",18.1,15,14,7,,54.14
76,39,Univ of Central Florida,"$22,778",12.3,11,11,19.5,,53.81
77,61,Univ of Wisconsin - Platteville,"$19,249",17.3,9,15,11.5,,52.77
78,73,Washington State Univ,"$23,695",11,12,9,20.5,,52.53
79,62,York College of Pennsylvania,"$20,757",15.2,11,2,24,,52.15
80,71,Univ of South Florida,"$30,122",2,4,11,35,,52
81,82,South Dakota State Univ,"$20,427",15.6,12,10,13,,50.62
82,60,Univ of Cincinnati,"$16,988",20.4,14,8,8,,50.45
83,67,California State Univ - Fullerton,"$26,432",7.2,12,14,14.5,,47.68
84,33,Lakehead Univ,"$18,733",18,3,10,16,,47
85,41,Pellissippi State Community College,"$16,915",20.5,12,,14,,46.55
86,80,South Dakota School of Mines & Tech,"$19,939",16.3,6,8,16,,46.3
87,96,Univ of Toledo,"$15,156",23,10,,21,-10,44.02
88,142,Univ of Maine,"$13,145",25.8,9,7,2,,43.85
89,40,Montana State Univ - Bozeman,"$12,182",27.2,7,11,17,-20,42.2
90,35,Univ of Calif - Irvine,"$19,532",16.9,11,13,,,40.87
91,107,Univ of Hartford,"$22,987",12,10,10,8,,40.02
92,72,Northern Arizona Univ,"$18,531",18.3,5,,16,,39.28
93,86,Univ of Delaware,"$22,215",13.1,12,,13,,38.11
94,47,Oregon Inst of Tech,"$20,770",15.1,13,2,5,,35.13
95,105,Northern Illinois Univ,"$24,620",9.7,11,7,7,,34.73
96,122,Trinity Univ,"$10,972",28.9,5,,8,-10,31.9
97,32,Embry-Riddle Aero Univ - Daytona Beach,"$30,554",1.4,13,11,6.5,,31.89
98,70,US Naval Academy,"$24,955",9.3,1,,17,,27.26
99,141,St Cloud State Univ,"$20,316",15.8,11,,,,26.77
100,125,Southern Illinois Univ - Carbondale,"$20,614",15.4,4,,5.5,,24.85
101,113,Grand Canyon University,"$19,530",16.9,2,,,,18.88
102,126,ITESM - Campus Cuernavaca,"$18,392",18.5,2,,5,-10,15.48
103,134,Instituto Tecnologico de Estudios Superi,,,,,14,,14
118,117,Oklahoma State Univ,,,,,39,-50,-11
119,114,Southern Illinois Univ - Edwardville,,,,,,-50,-50
119,116,North Dakota State Univ,,,,,,-50,-50
119,129,California State Univ - Chico,,,,,,-50,-50
,25,Instituto Tecnologico de Chihuahua,,,,,,,
,26,Univ of Texas - Dallas,,,,,,,
,37,Old Dominion Univ,,,,,,,
,63,Drexel Univ,,,,,,,
,83,Penn State Univ - Harrisburg,,,,,,,
,91,Univ of the Pacific,,,,,,,
,112,Universidad Autonoma Estado Mexico,,,,,,,
,121,Univ of Colorado - Colorado Springs,,,,,,,
,127,Univ of Minnesota-Duluth,,,,,,,
,130,Vanderbilt Univ,,,,,,,
,133,New York University,,,,,,,
,135,Alabama A & M Univ,,,,,,,
,136,Syracuse Univ,,,,,,,
,144,Calvin College,,,,,,,
