Place,CarNum,Team,D1R1_Right,D1R1_Left,D1R1_Cones,D1R1_AdjTime,D1R2_Right,D1R2_Left,D1R2_Cones,D1R2_AdjTime,D2R1_Right,D2R1_Left,D2R1_Cones,D2R1_AdjTime,D2R2_Right,D2R2_Left,D2R2_Cones,D2R2_AdjTime,BestTime,Penalty,Score
1,117,Missouri University of Science and Tech,,,,,5.530,5.150,2,5.590,5.263,5.174,,5.218,4.750,5.066,,4.908,4.908,,75
2,18,Univ of Missouri,5.106,5.027,,5.066,4.997,4.944,,4.970,5.563,5.393,8,6.478,5.590,5.593,,5.591,4.970,,70.08
3,99,Univ of Akron,5.400,5.490,5,6.070,5.463,5.573,,5.518,5.176,5.016,,5.096,5.063,4.963,,5.013,5.013,,66.77
4,131,Wroclaw University of Technology,5.120,5.224,,5.172,5.407,5.360,,5.383,5.250,5.190,,5.220,5.143,5.047,,5.095,5.095,,60.69
5,88,The Ohio State University,5.680,,,,5.313,5.993,,5.653,5.410,5.220,,5.315,5.147,5.093,,5.120,5.120,,58.89
6,19,Univ of Illinois - Urbana Champaign,5.283,5.153,1,5.343,5.237,5.036,,5.136,,,,DNA,,,,DNA,5.136,,57.76
7,44,Univ of Waterloo,5.334,,,,5.080,5.683,,5.381,5.200,5.177,,5.188,5.160,5.130,,5.145,5.145,,57.12
8,80,Univ of Calif - San Diego,5.483,6.136,,5.809,5.170,5.160,,5.165,5.190,5.210,,5.200,5.363,5.130,,5.246,5.165,,55.73
9,140,Texas A&M Univ - College Station,5.273,5.070,,5.171,5.166,5.276,,5.221,5.307,5.183,,5.245,5.270,5.213,,5.241,5.171,,55.31
10,33,Purdue Univ - W Lafayette,5.383,5.637,,5.510,5.206,5.402,,5.304,5.293,5.500,,5.396,5.003,5.403,,5.203,5.203,,53.12
10,97,Univ of South Florida,6.123,5.784,1,6.078,5.413,5.617,,5.515,5.227,5.180,,5.203,5.290,5.183,,5.236,5.203,,53.12
12,124,Univ of Connecticut,5.350,5.264,,5.307,5.270,5.146,,5.208,5.337,5.200,,5.268,5.306,5.323,,5.314,5.208,,52.78
13,36,North Carolina State Univ - Raleigh,5.703,5.390,,5.546,5.427,5.086,,5.256,5.830,5.487,1,5.783,5.820,,,,5.256,,49.57
14,61,Kennesaw State University,5.926,5.707,,5.816,5.713,5.487,,5.600,5.254,5.286,,5.270,5.527,5.350,,5.438,5.270,,48.65
15,103,Univ of Calif - Berkeley,5.353,5.277,,5.315,5.390,5.183,,5.286,5.483,5.313,,5.398,5.390,5.193,,5.291,5.286,,47.61
16,73,Carleton Univ,5.867,5.163,,,5.453,5.267,,5.360,5.463,5.377,,5.420,5.447,5.130,,5.288,5.288,,47.48
17,96,Univ of British Columbia - Okanagan,5.467,5.260,,5.363,5.307,5.290,,5.298,5.714,5.493,,5.603,5.493,5.393,1,5.568,5.298,,46.84
18,162,CEFET-MG,5.616,5.500,,5.558,5.380,5.283,,5.331,,,,DNA,,,,DNA,5.331,,44.73
19,106,Old Dominion Univ,5.670,5.890,,5.780,5.470,15.977,,,5.313,5.373,,5.343,5.480,,,,5.343,,43.98
20,35,California Baptist University,5.477,5.544,,5.510,5.460,5.483,2,5.721,5.337,5.503,,5.420,5.264,5.430,,5.347,5.347,,43.73
21,110,Univ of Illinois - Chicago,5.860,5.680,,5.770,5.430,5.283,,5.356,,,,DNA,,,,DNA,5.356,,43.16
22,32,Univ of Calif - Los Angeles,5.567,5.173,,5.370,5.367,5.387,,5.377,6.047,5.690,,5.868,5.504,5.493,2,5.748,5.370,,42.3
23,81,California State Poly Univ - Pomona,5.900,5.746,,5.823,5.587,5.410,1,5.623,5.670,5.500,,5.585,5.457,5.290,,5.373,5.373,,42.11
24,101,Arizona State Univ - Tempe,5.377,5.373,,5.375,5.370,5.623,2,5.746,6.176,6.110,3,6.518,6.396,5.860,,6.128,5.375,,41.99
25,105,Rose Hulman Inst of Tech,6.090,6.120,1,6.230,5.484,5.270,,5.377,,,,DNA,,,,DNA,5.377,,41.86
26,86,Villanova Univ,5.480,6.187,,,5.667,5.350,,5.508,5.496,5.297,,5.396,5.590,5.407,,5.498,5.396,,40.7
27,144,Kansas State Univ,5.360,,,,5.600,5.266,,5.433,17.650,,,,5.413,5.396,,5.404,5.404,,40.22
28,94,Temple Univ,6.393,6.377,,6.385,5.466,5.364,,5.415,6.676,6.640,1,6.783,6.796,6.413,,6.604,5.415,,39.55
29,126,Univ of Puerto Rico-Mayaquez,5.490,5.787,2,5.888,5.416,5.417,,5.416,5.433,5.410,,5.421,5.690,5.430,2,5.810,5.416,,39.49
30,83,Western Michigan Univ,5.870,5.470,,5.670,5.600,5.393,,5.496,5.826,5.293,,5.559,5.497,5.397,,5.447,5.447,,37.64
31,23,Embry-Riddle Aero Univ - Daytona Beach,6.190,5.340,,5.765,5.530,5.371,,5.450,,,,DNA,,,,DNA,5.450,,37.46
32,51,Minnesota State University - Mankato,5.547,5.367,,5.457,5.330,5.313,3,5.696,5.683,5.497,,5.590,5.397,5.413,,,5.457,,37.05
33,43,Univ of Calgary,5.794,5.786,,5.790,5.720,5.680,,5.700,5.713,5.646,,5.679,5.553,5.367,,5.460,5.460,,36.87
