Place,CarNum,Team,Run1_Time,Run1_Cones,Run1_AdjTime,Run2_Time,Run2_Cones,Run2_AdjTime,Run3_Time,Run3_Cones,Run3_AdjTime,Run4_Time,Run4_Cones,Run4_AdjTime,BestTime,Penalty,Score
1,124,Univ of Connecticut,4.912,,4.912,4.474,,4.474,4.260,,4.260,4.174,,4.174,4.174,,100
2,131,Wroclaw University of Technology,4.318,,4.318,4.259,,4.259,4.432,,4.432,4.338,,4.338,4.259,,94.34
3,19,Univ of Illinois - Urbana Champaign,4.273,,4.273,4.560,,4.560,4.450,,4.450,,,DNA,4.273,,93.41
4,36,North Carolina State Univ - Raleigh,10.124,,10.124,4.430,,4.430,4.285,,4.285,4.718,,4.718,4.285,,92.59
5,51,Minnesota State University - Mankato,4.432,,4.432,4.354,,4.354,4.322,,4.322,4.291,,4.291,4.291,,92.25
6,61,Kennesaw State University,4.533,,4.533,4.460,,4.460,4.395,,4.395,4.309,,4.309,4.309,,91.05
7,97,Univ of South Florida,4.524,,4.524,4.756,,4.756,4.582,,4.582,4.356,,4.356,4.356,,88.06
8,113,Univ of Oklahoma,4.486,,4.486,4.568,,4.568,4.445,,4.445,4.384,,4.384,4.384,,86.3
9,94,Temple Univ,4.591,,4.591,4.557,,4.557,4.490,,4.490,4.401,,4.401,4.401,,85.27
10,117,Missouri University of Science and Tech,4.592,,4.592,4.546,,4.546,4.544,,4.544,4.414,,4.414,4.414,,84.46
11,137,Iowa State Univ,4.625,,4.625,5.002,,5.002,4.942,,4.942,4.417,,4.417,4.417,,84.25
12,88,The Ohio State University,4.469,,4.469,4.456,,4.456,4.457,,4.457,4.557,,4.557,4.456,,81.93
13,81,California State Poly Univ - Pomona,4.562,,4.562,4.529,,4.529,4.570,,4.570,4.459,,4.459,4.459,,81.7
14,82,Georgia Institute of Technology,4.560,,4.560,4.497,,4.497,4.472,,4.472,,,DNA,4.472,,80.94
15,21,Univ of Colorado - Boulder,4.687,,4.687,4.616,,4.616,4.478,,4.478,4.504,,4.504,4.478,,80.58
16,80,Univ of Calif - San Diego,4.669,,4.669,4.566,,4.566,4.499,,4.499,4.494,,4.494,4.494,,79.63
17,13,Univ of Kansas - Lawrence,4.702,,4.702,4.526,,4.526,5.351,,5.351,4.497,,4.497,4.497,,79.43
18,134,Univ of Minnesota - Twin Cities,4.500,,4.500,4.572,,4.572,,,DNA,,,DNA,4.500,,79.26
19,114,Saginaw Valley State Univ,4.640,,4.640,4.512,,4.512,4.697,,4.697,4.761,,4.761,4.512,,78.56
20,115,Univ of Texas - Arlington,4.884,,4.884,4.522,,4.522,4.546,,4.546,4.632,,4.632,4.522,,78.0
21,72,Univ of Cincinnati,4.641,,4.641,5.086,,5.086,4.544,,4.544,4.522,,4.522,4.522,,77.99
22,23,Embry-Riddle Aero Univ - Daytona Beach,4.536,,4.536,4.683,,4.683,,,DNA,,,DNA,4.536,,77.18
23,140,Texas A&M Univ - College Station,4.552,,4.552,4.544,,4.544,4.684,,4.684,4.651,,4.651,4.544,,76.71
24,86,Villanova Univ,4.785,,4.785,4.546,,4.546,4.817,,4.817,4.711,,4.711,4.546,,76.58
25,34,California State Univ - Northridge,4.659,,4.659,4.553,,4.553,4.916,,4.916,4.778,,4.778,4.553,,76.2
26,33,Purdue Univ - W Lafayette,4.700,,4.700,4.607,,4.607,4.776,,4.776,4.560,,4.560,4.560,,75.78
27,144,Kansas State Univ,4.573,,4.573,6.074,,6.074,5.142,,5.142,5.296,,5.296,4.573,,75.02
28,110,Univ of Illinois - Chicago,4.620,,4.620,4.578,,4.578,,,DNA,,,DNA,4.578,,74.77
29,45,Lawrence Technological Univ,6.823,,6.823,5.955,,5.955,5.173,,5.173,4.647,,4.647,4.647,,70.89
30,32,Univ of Calif - Los Angeles,4.824,,4.824,5.482,,5.482,4.766,,4.766,4.668,,4.668,4.668,,69.73
31,121,Univ of Wisconsin - Madison,5.652,,5.652,4.675,,4.675,,,DNA,,,DNA,4.675,,69.35
32,16,Grand Valley State Univ,4.854,,4.854,4.717,,4.717,4.683,,4.683,4.682,,4.682,4.682,,68.96
33,71,Oklahoma State Univ,5.415,,5.415,4.695,,4.695,4.978,,4.978,4.853,,4.853,4.695,,68.26
34,17,Univ of Victoria,7.301,,7.301,4.780,,4.780,,,,4.703,,4.703,4.703,,67.8
35,35,California Baptist University,5.619,,5.619,4.707,,4.707,5.654,,5.654,4.816,,4.816,4.707,,67.6
36,83,Western Michigan Univ,4.875,,4.875,5.338,,5.338,4.709,,4.709,4.783,,4.783,4.709,,67.51
37,56,Clemson Univ,4.753,,4.753,4.733,,4.733,,,DNA,,,DNA,4.733,,66.18
38,127,Univ of Virginia,5.472,,5.472,5.442,,5.442,5.562,,5.562,4.748,,4.748,4.748,,65.42
39,141,Univ of Kentucky,4.861,,4.861,4.763,,4.763,4.879,,4.879,4.849,,4.849,4.763,,64.61
40,53,Michigan State University,5.254,,5.254,4.903,,4.903,4.764,,4.764,,,DNA,4.764,,64.55
41,111,Oakland University,4.772,,4.772,4.824,,4.824,6.374,,6.374,5.756,,5.756,4.772,,64.11
42,96,Univ of British Columbia - Okanagan,5.354,,5.354,4.775,,4.775,6.254,,6.254,6.078,,6.078,4.775,,63.98
43,55,Univ of North Carolina - Charlotte,6.066,,6.066,5.135,,5.135,4.864,,4.864,4.784,,4.784,4.784,,63.52
44,27,California State Univ - Fullerton,4.801,,4.801,,,DNA,,,DNA,,,DNA,4.801,,62.61
45,14,California Polytechnic State Univ-SLO,4.814,,4.814,5.258,,5.258,4.964,,4.964,4.920,,4.920,4.814,,61.95
46,20,Clarkson University,4.831,,4.831,4.924,,4.924,,,DNA,,,DNA,4.831,,61.09
47,57,Univ of Pittsburgh - Pittsburgh,4.903,,4.903,4.841,,4.841,,,DNA,,,DNA,4.841,,60.55
48,142,Duke Univ,4.952,,4.952,4.842,,4.842,5.418,,5.418,5.051,,5.051,4.842,,60.51
49,92,Univ of Ottawa,4.962,,4.962,4.865,,4.865,5.480,,5.480,4.999,,4.999,4.865,,59.32
50,119,Univ of New Hampshire,4.880,,4.880,4.897,,4.897,,,DNA,,,DNA,4.880,,58.61
51,43,Univ of Calgary,4.880,,4.880,4.999,,4.999,5.375,,5.375,6.004,,6.004,4.880,,58.59
52,58,Drexel Univ,5.112,,5.112,5.094,,5.094,5.044,,5.044,4.883,,4.883,4.883,,58.43
53,162,CEFET-MG,5.894,,5.894,4.909,,4.909,,,DNA,,,DNA,4.909,,57.12
54,102,Univ of North Texas,4.917,,4.917,5.297,,5.297,5.230,,5.230,5.042,,5.042,4.917,,56.75
55,103,Univ of Calif - Berkeley,12.845,,12.845,4.929,,4.929,5.127,,5.127,5.017,,5.017,4.929,,56.14
56,22,South Dakota School of Mines & Tech,5.345,,5.345,4.941,,4.941,5.128,,5.128,5.133,,5.133,4.941,,55.54
57,106,Old Dominion Univ,5.424,,5.424,4.976,,4.976,5.260,,5.260,5.223,,5.223,4.976,,53.84
58,18,Univ of Missouri,4.980,,4.980,5.083,,5.083,5.948,,5.948,6.139,,6.139,4.980,,53.64
59,101,Arizona State Univ - Tempe,6.533,,6.533,5.035,,5.035,5.732,,5.732,,,DNA,5.035,,51.02
60,91,Tennessee Tech Univ,5.045,,5.045,,,DNA,,,DNA,,,DNA,5.045,,50.57
61,37,Michigan Tech Univ,5.085,,5.085,,,DNA,,,DNA,,,DNA,5.085,,48.7
