Place,CarNum,Team,Time,Laps,Cones,OffCourse,OtherPenalty,AdjTime,TimeScore,LapScore,EnduranceScore
1,115,Univ of Texas - Arlington,1310.978,10,5,2,,1360.978,250.0,25,275
2,33,Purdue Univ - W Lafayette,1391.334,10,,,,1391.334,232.4,25,257.4
3,55,Univ of North Carolina - Charlotte,1395.896,10,,,,1395.896,229.8,25,254.8
4,80,Univ of Calif - San Diego,1392.293,10,3,,,1398.293,228.5,25,253.5
5,88,The Ohio State University,1414.452,10,,,,1414.452,219.5,25,244.5
6,32,Univ of Calif - Los Angeles,1415.518,10,1,,,1417.518,217.9,25,242.9
7,144,Kansas State Univ,1403.954,10,11,1,,1445.954,202.7,25,227.7
8,19,Univ of Illinois - Urbana Champaign,1337.367,10,,,120,1457.367,196.7,25,221.7
9,18,Univ of Missouri,1387.554,10,5,3,,1457.554,196.6,25,221.6
10,14,California Polytechnic State Univ-SLO,1398.273,10,2,3,,1462.273,194.2,25,219.2
11,82,Georgia Institute of Technology,1463.487,10,2,,,1467.487,191.5,25,216.5
12,124,Univ of Connecticut,1341.121,10,8,7,,1497.121,176.7,25,201.7
13,34,California State Univ - Northridge,1455.964,10,5,2,,1505.964,172.4,25,197.4
14,53,Michigan State University,1528.812,10,2,,,1532.812,159.7,25,184.7
15,72,Univ of Cincinnati,1418.467,10,3,6,,1544.467,154.3,25,179.3
16,83,Western Michigan Univ,1524.195,10,5,1,,1554.195,149.9,25,174.9
17,131,Wroclaw University of Technology,1418.913,10,1,7,,1560.913,146.8,25,171.8
18,117,Missouri University of Science and Tech,1517.165,10,6,2,,1569.165,143.1,25,168.1
19,99,Univ of Akron,1398.785,10,1,3,120,1580.785,138.0,25,163.0
20,71,Oklahoma State Univ,1557.795,10,7,1,,1591.795,133.2,25,158.2
21,17,Univ of Victoria,1469.487,10,2,,120,1593.487,132.5,25,157.5
22,20,Clarkson University,1565.647,10,1,3,,1627.647,118.0,25,143.0
23,92,Univ of Ottawa,1551.342,10,,5,,1651.342,108.4,25,133.4
24,114,Saginaw Valley State Univ,1620.030,10,2,2,,1664.030,103.3,25,128.3
25,21,Univ of Colorado - Boulder,1532.567,10,7,6,,1666.567,102.3,25,127.3
26,110,Univ of Illinois - Chicago,1645.784,10,1,1,,1667.784,101.8,25,126.8
27,94,Temple Univ,1659.113,10,3,2,,1705.113,87.4,25,112.4
28,22,South Dakota School of Mines & Tech,1639.961,10,3,5,,1745.961,72.4,25,97.4
29,27,California State Univ - Fullerton,1560.157,10,8,10,,1776.157,61.7,25,86.7
30,127,Univ of Virginia,1749.331,10,3,3,,1815.331,48.4,25,73.4
31,97,Univ of South Florida,1581.271,10,11,5,120,1823.271,45.8,25,70.8
32,35,California Baptist University,1605.400,10,3,6,120,1851.400,36.6,25,61.6
