Place,CarNum,Team,Run1_Time,Run1_Cones,Run1_OffCourse,Run1_AdjTime,Run2_Time,Run2_Cones,Run2_OffCourse,Run2_AdjTime,Run3_Time,Run3_Cones,Run3_OffCourse,Run3_AdjTime,Run4_Time,Run4_Cones,Run4_OffCourse,Run4_AdjTime,BestTime,Penalty,Score
1,115,Univ of Texas - Arlington,47.712,,,47.712,47.026,,,47.026,46.689,,,46.689,45.886,,,45.886,45.886,,125
2,103,Univ of Calif - Berkeley,48.170,,,48.170,46.189,,,46.189,51.008,,,51.008,50.834,,,50.834,46.189,,122.49
3,134,Univ of Minnesota - Twin Cities,52.506,,,52.506,49.765,,,49.765,47.200,,,47.200,46.315,,,46.315,46.315,,121.46
4,19,Univ of Illinois - Urbana Champaign,47.389,,,47.389,47.063,,,47.063,47.340,,,47.340,46.606,,,46.606,46.606,,119.1
5,140,Texas A&M Univ - College Station,50.500,,,50.500,48.765,,,48.765,49.191,,,49.191,46.860,,,46.860,46.860,,117.06
6,81,California State Poly Univ - Pomona,47.815,,,47.815,47.135,,,47.135,,,,DNA,,,,DNA,47.135,,114.88
7,124,Univ of Connecticut,49.979,,,49.979,47.807,,,47.807,47.634,,,47.634,47.386,,,47.386,47.386,,112.91
8,72,Univ of Cincinnati,49.382,,,49.382,48.129,,,48.129,48.505,,,48.505,47.410,,,47.410,47.410,,112.73
9,131,Wroclaw University of Technology,53.257,,,53.257,50.872,,,50.872,48.413,,,48.413,47.541,,,47.541,47.541,,111.71
10,88,The Ohio State University,55.733,,,55.733,52.328,,,52.328,47.796,,,47.796,46.691,1,,48.691,47.796,,109.74
11,43,Univ of Calgary,60.250,,,60.250,51.301,,,51.301,50.532,,,50.532,48.241,,,48.241,48.241,,106.36
12,36,North Carolina State Univ - Raleigh,51.306,1,,53.306,49.826,,,49.826,49.489,1,,51.489,48.362,,,48.362,48.362,,105.45
13,44,Univ of Waterloo,51.763,,,51.763,49.231,,,49.231,48.508,,,48.508,49.125,2,,53.125,48.508,,104.36
14,144,Kansas State Univ,53.919,,,53.919,62.903,,,62.903,48.938,,,48.938,48.653,,,48.653,48.653,,103.28
15,83,Western Michigan Univ,51.475,2,1,75.475,48.792,,,48.792,,,,DNA,,,,DNA,48.792,,102.26
16,14,California Polytechnic State Univ-SLO,49.741,,,49.741,48.934,,,48.934,49.354,,,49.354,48.146,1,,50.146,48.934,,101.21
17,32,Univ of Calif - Los Angeles,50.865,,,50.865,49.248,,,49.248,52.914,,,52.914,50.090,,,50.090,49.248,,98.93
18,13,Univ of Kansas - Lawrence,49.456,,,49.456,48.520,1,,50.520,53.521,,,53.521,53.789,,,53.789,49.456,,97.43
19,33,Purdue Univ - W Lafayette,49.510,,,49.510,49.446,1,,51.446,51.039,,,51.039,50.117,,,50.117,49.510,,97.05
20,18,Univ of Missouri,50.796,,,50.796,49.630,,,49.630,50.147,,,50.147,50.524,,,50.524,49.630,,96.19
21,137,Iowa State Univ,51.052,1,,53.052,50.073,,,50.073,52.052,1,,54.052,49.821,,,49.821,49.821,,94.84
22,86,Villanova Univ,52.900,,,52.900,52.116,,,52.116,50.608,,,50.608,49.864,,,49.864,49.864,,94.54
23,53,Michigan State University,52.395,3,,58.395,51.531,,,51.531,51.574,,,51.574,49.865,,,49.865,49.865,,94.53
24,80,Univ of Calif - San Diego,51.412,,,51.412,50.050,,,50.050,51.194,,,51.194,49.336,1,,51.336,50.050,,93.23
25,97,Univ of South Florida,52.680,,,52.680,56.188,1,,58.188,51.765,,,51.765,50.465,,,50.465,50.465,,90.35
26,82,Georgia Institute of Technology,52.210,,,52.210,50.478,,,50.478,52.198,3,,58.198,50.668,1,,52.668,50.478,,90.26
27,99,Univ of Akron,51.464,,,51.464,50.534,,,50.534,53.348,,,53.348,50.669,,,50.669,50.534,,89.88
28,55,Univ of North Carolina - Charlotte,52.211,,,52.211,50.636,,,50.636,53.411,,,53.411,50.768,,,50.768,50.636,,89.18
29,57,Univ of Pittsburgh - Pittsburgh,56.444,,,56.444,50.650,,,50.650,65.483,1,,67.483,51.250,2,,55.250,50.650,,89.08
30,71,Oklahoma State Univ,55.710,1,,57.710,54.067,,,54.067,50.922,,,50.922,50.576,2,,54.576,50.922,,87.23
31,34,California State Univ - Northridge,53.364,,,53.364,52.306,,,52.306,55.029,,,55.029,51.220,,,51.220,51.220,,85.23
32,117,Missouri University of Science and Tech,56.323,,,56.323,53.022,1,,55.022,51.686,,,51.686,51.331,,,51.331,51.331,,84.5
33,56,Clemson Univ,57.253,,,57.253,59.596,,,59.596,58.900,,,58.900,49.501,1,,51.501,51.501,,83.37
34,17,Univ of Victoria,59.154,,,59.154,54.701,,,54.701,51.162,1,,53.162,49.718,1,,51.718,51.718,,81.94
35,73,Carleton Univ,51.812,,,51.812,53.988,1,,55.988,52.989,,,52.989,51.247,1,,53.247,51.812,,81.32
36,101,Arizona State Univ - Tempe,49.470,2,1,73.470,51.999,,,51.999,60.138,1,,62.138,57.248,,,57.248,51.999,,80.11
37,141,Univ of Kentucky,53.987,1,,55.987,53.185,,,53.185,53.242,,,53.242,52.208,,,52.208,52.208,,78.76
38,45,Lawrence Technological Univ,54.016,,1,74.016,52.415,,,52.415,55.450,,6,175.450,70.704,,7,210.704,52.415,,77.43
39,89,Mississippi State Univ,54.526,1,,56.526,74.043,1,,76.043,52.634,,,52.634,53.292,,,53.292,52.634,,76.05
40,74,Univ of Southern California,56.040,,,56.040,52.983,,,52.983,57.217,,,57.217,,,,,52.983,,73.85
41,106,Old Dominion Univ,54.221,1,,56.221,53.632,1,,55.632,55.428,,,55.428,53.004,,,53.004,53.004,,73.72
42,94,Temple Univ,53.085,,,53.085,56.309,1,1,78.309,66.309,,,66.309,59.891,,,59.891,53.085,,73.22
43,162,CEFET-MG,53.130,,,53.130,55.104,,,55.104,,,,DNA,,,,DNA,53.130,,72.94
44,121,Univ of Wisconsin - Madison,59.918,,,59.918,53.179,,,53.179,,,,DNA,,,,DNA,53.179,,72.63
45,21,Univ of Colorado - Boulder,62.684,2,,66.684,59.267,,,59.267,88.039,1,,90.039,53.240,,,53.240,53.240,,72.26
46,29,California State Univ - Chico,56.103,,,56.103,53.311,,,53.311,71.002,,2,111.002,62.232,,1,82.232,53.311,,71.82
47,61,Kennesaw State University,51.008,,1,71.008,50.991,,2,90.991,53.333,,,53.333,53.506,,,53.506,53.333,,71.68
48,142,Duke Univ,58.115,,,58.115,53.584,,,53.584,55.832,1,,57.832,54.831,,,54.831,53.584,,70.14
49,58,Drexel Univ,54.905,1,,56.905,70.203,2,1,94.203,62.010,3,,68.010,54.067,,,54.067,54.067,,67.22
50,35,California Baptist University,61.972,,,61.972,60.089,,,60.089,57.108,1,,59.108,54.136,,,54.136,54.136,,66.81
51,51,Minnesota State University - Mankato,54.495,1,,56.495,54.309,,,54.309,55.536,,,55.536,80.867,,,80.867,54.309,,65.78
52,96,Univ of British Columbia - Okanagan,63.572,1,,65.572,52.924,1,,54.924,,,,,54.324,,,54.324,54.324,,65.69
53,111,Oakland University,56.172,,,56.172,54.668,,,54.668,60.770,1,,62.770,,,,DNA,54.668,,63.66
54,37,Michigan Tech Univ,56.077,,2,96.077,54.723,,,54.723,,,,DNA,,,,DNA,54.723,,63.34
55,48,Colorado Mesa University,54.902,,,54.902,56.253,1,1,78.253,64.776,,,64.776,,,,DNA,54.902,,62.29
56,16,Grand Valley State Univ,68.021,,,68.021,59.553,,,59.553,57.771,3,,63.771,54.999,,,54.999,54.999,,61.73
57,92,Univ of Ottawa,,,,,55.018,,,55.018,81.643,,1,101.643,56.535,,,56.535,55.018,,61.62
