Team,CarNum,Lap1,Lap2,Lap3,Lap4,Lap5,Lap6,Lap7,Lap8,Lap9,Lap10,Lap11,Lap12,Lap13,Lap14,Lap15,Lap16,Lap17,Lap18,Lap19,Lap20,Lap21
Univ of Connecticut,82,77.703,70.985,69.662,68.564,69.082,68.431,68.718,75.656,70.882,75.844,,85.401,78.034,72.926,72.319,72.546,73.214,76.805,72.743,75.625,73.231
Purdue Univ - W Lafayette,84,78.572,69.557,70.043,73.017,72.137,74.181,71.964,71.250,71.836,72.269,,67.215,64.337,64.380,64.044,65.326,63.785,65.122,65.563,68.360,65.958
Rensselaer Polytechnic Inst,85,80.400,75.995,82.244,76.147,79.959,71.269,71.168,72.006,75.019,,,,,,,,,,,,
Southern Illinois Univ - Carbondale,86,77.288,73.101,81.395,85.204,75.943,75.954,75.322,76.171,84.841,76.281,,87.524,87.131,85.982,,,,,,,
Kansas State Univ,87,82.316,77.600,75.115,72.775,73.805,72.182,71.626,85.565,80.533,,93.185,91.785,85.478,79.483,,,,,,,
California Polytechnic State Univ-SLO,88,77.004,76.600,76.790,113.196,117.876,85.515,83.101,83.914,79.289,77.754,,72.123,68.932,68.013,68.099,67.722,71.402,68.980,67.673,67.162,67.938
Texas Tech Univ,90,73.584,79.645,85.013,82.564,79.885,82.055,80.584,78.749,78.074,77.814,,81.232,79.776,82.494,78.155,78.829,80.363,81.276,79.530,85.547,91.864
California State Univ - Long Beach,92,114.990,100.105,102.806,95.332,88.502,90.972,91.921,95.295,93.111,90.135,90.094,89.138,,,,,,,,,
York College of Pa,93,111.366,93.835,102.587,97.317,85.186,86.925,85.112,87.555,92.952,92.872,,109.844,,,,,,,,,
West Virginia Univ,94,119.642,103.365,98.631,97.324,84.779,87.566,86.366,89.591,87.232,86.279,,126.654,115.347,111.668,103.218,,,,,,
Lehigh Univ,96,87.936,77.850,79.789,86.903,77.222,81.220,84.001,82.212,83.085,85.423,,,,,,,,,,,
Rose Hulman Inst of Tech,98,94.600,79.284,79.846,83.448,78.513,76.720,78.060,86.312,75.809,80.976,,86.185,84.418,75.501,74.099,78.404,73.580,73.124,73.460,72.863,75.629
Florida Atlantic Univ,99,101.531,101.130,90.297,87.495,86.330,85.600,90.517,92.655,94.367,94.094,,,,,,,,,,,
Vanderbilt Univ,100,84.768,87.667,86.697,88.518,85.083,84.894,83.267,81.763,81.865,84.994,,83.149,81.918,76.576,77.020,79.938,,,,,
Clemson Univ,101,86.121,91.454,92.754,82.681,79.115,84.673,85.376,,,,,,,,,,,,,,
North Carolina State Univ - Raleigh,102,83.283,76.899,80.200,81.880,80.229,81.332,83.363,91.558,93.440,113.546,,79.106,76.711,144.129,,,,,,,
Univ of Evansville,103,78.873,78.277,78.826,77.545,77.536,77.887,77.710,80.104,79.491,77.916,,82.819,81.261,77.864,78.845,85.532,75.555,74.178,79.018,81.582,78.591
Mississippi State Univ,105,80.551,77.270,79.446,74.001,74.126,93.001,75.751,74.759,76.033,73.524,,,,,,,,,,,
Louisiana State Univ,108,87.661,89.424,99.231,84.922,81.941,85.819,80.103,91.281,83.710,83.267,,86.652,77.137,70.199,73.605,72.244,70.164,72.045,71.941,67.557,73.738
Univ of Manitoba,111,70.440,69.310,81.665,72.600,71.148,69.285,71.528,78.619,77.314,69.724,,81.300,82.566,81.556,81.650,76.747,78.903,80.135,,,
FH - Joanneum Graz,112,64.909,64.880,62.545,62.690,65.003,60.753,61.090,60.824,60.113,64.212,,62.263,61.604,62.658,60.890,59.918,60.100,60.742,59.578,59.656,61.685
Univ of Wisconsin - Madison,113,70.815,72.724,68.899,65.266,65.436,66.148,65.443,66.158,66.069,,,,,,,,,,,,
Virginia Tech,114,69.298,68.973,68.156,67.620,66.654,66.584,65.754,64.998,64.446,63.801,,,,,,,,,,,
Lafayette College,116,93.495,85.814,94.494,83.844,88.614,85.615,79.907,86.085,79.486,78.950,,81.361,80.135,84.435,79.251,82.550,80.724,84.382,88.559,74.454,79.771
Bradley Univ,120,107.504,92.433,95.904,89.651,124.678,103.631,102.321,98.231,90.769,88.335,,,,,,,,,,,
Concordia University,121,92.058,78.884,108.911,75.484,75.288,76.301,73.040,85.255,96.228,78.029,,84.223,95.033,,,,,,,,
Rutgers Univ,122,82.547,75.858,78.572,78.680,89.031,76.754,80.797,79.428,79.963,79.564,,79.327,84.882,78.882,83.705,94.545,78.060,77.937,90.184,83.794,80.920
Univ of Guelph,124,85.427,84.203,80.119,82.347,80.510,80.408,83.785,78.926,78.803,75.519,,88.545,80.224,81.159,99.949,83.593,80.072,,,,
Univ of Waterloo,126,76.913,77.749,75.693,80.471,74.020,82.147,76.839,86.598,71.673,76.277,,74.916,71.966,70.509,70.317,67.253,67.690,67.061,69.858,71.137,71.378
