Place,CarNum,Team,Penalty,CostScore,PresentationScore,DesignScore,AccelerationScore,SkidPadScore,AutocrossScore,EnduranceScore,EfficiencyScore,TotalScore
1,23,Oregon State Univ,,56.5,44.6,129,59.1,50.0,150.0,300.0,87.4,876.6
2,21,Technical Univ of Munich,,49.6,61.7,110,61.2,38.1,142.8,294.0,82.8,840.2
3,1,Universitat Stuttgart,,68.5,72.9,110,59.0,40.4,122.0,273.7,87.8,834.3
4,112,FH - Joanneum Graz,,57.7,61.8,110,64.1,40.9,116.5,271.0,75.9,797.8
5,3,Univ of Akron,,67.5,50.0,124,52.5,35.0,119.0,251.6,88.8,788.3
6,5,Université Laval,,71.5,50.8,127,58.7,39.3,93.7,250.9,60.8,752.7
7,12,Auburn Univ,,72.2,50.5,100,59.9,27.8,100.1,234.9,81.7,727.1
8,36,Univ of Michigan - Ann Arbor,,57.8,54.7,114,56.2,22.6,111.7,245.9,62.7,725.5
9,10,Univ of Florida,,66.9,74.2,100,55.4,30.0,101.0,226.9,70.9,725.4
10,8,Centro Universitario Da FEI,,82.2,58.5,100,59.7,38.9,91.1,191.5,92.2,714.1
11,15,Univ of Kansas - Lawrence,,57.7,65.6,110,64.2,32.0,103.6,194.5,60.0,687.6
12,13,Missouri University of Science and Tech,,71.1,65.5,100,58.3,35.2,104.1,161.0,55.8,650.9
13,84,Purdue Univ - W Lafayette,,67.6,61.7,100,58.4,22.7,101.0,190.8,47.6,649.9
14,22,California State Poly Univ - Pomona,,72.7,62.2,100,54.6,28.3,91.7,180.2,58.9,648.5
15,43,San Jose State University,,69.4,56.0,80,58.2,30.7,115.6,168.2,58.5,636.6
16,60,Univ of Western Ontario,,42.6,57.0,80,66.4,38.2,82.7,198.5,55.5,620.8
17,17,Univ of Illinois - Urbana Champaign,,63.1,59.8,100,62.7,20.9,82.3,162.1,68.4,619.3
18,80,Kookmin Univ,,85.0,59.1,80,59.7,22.5,79.5,171.2,53.6,610.6
