Team,CarNum,Lap1,Lap2,Lap3,Lap4,Lap5,Lap6,Lap7,Lap8,Lap9,Lap10,Lap11,Lap12,Lap13,Lap14
Worcester Polytechnic Inst,84,130.515,127.226,132.051,132.626,120.733,122.722,,138.171,127.567,,,,,
Texas Tech Univ,85,177.116,153.198,167.226,160.873,132.824,142.464,,175.728,167.868,138.187,137.855,143.449,132.476,143.610
California State Poly Univ - Pomona,86,134.805,146.865,142.589,166.200,,150.835,145.690,,,,,,,
Washington State Univ,87,171.497,144.573,146.167,137.621,139.389,141.019,,,,,,,,
Cegep du Vieux - Montreal,88,167.634,210.347,151.820,,157.641,156.616,159.633,152.468,145.627,169.751,151.799,153.348,153.369,150.753
Univ of North Florida,91,165.998,187.792,164.776,155.309,,178.052,226.549,177.986,169.033,197.620,162.426,158.195,155.105,155.282
Univ of Cincinnati,92,136.380,150.565,169.960,130.957,133.147,130.225,,162.661,157.643,132.757,130.055,134.143,132.842,135.433
Ferris State University,94,184.629,179.963,187.667,,,,,,,,,,,
Purdue Univ - W Lafayette,98,124.520,120.548,122.608,121.846,124.562,126.008,,117.718,116.075,114.367,113.003,118.626,116.306,114.434
Villanova Univ,99,139.174,126.131,130.065,141.057,134.561,127.219,,141.164,134.584,139.763,130.243,134.555,133.219,129.361
Central Michigan Univ,101,170.034,130.960,146.978,128.953,147.437,,164.231,158.036,,,,,,
Technical Univ of Munich,102,117.593,116.552,113.349,114.937,114.398,144.676,,113.551,113.622,108.276,110.495,110.333,106.456,107.565
Universite Du Quebec-Chicoutimi,103,178.942,189.596,182.138,344.717,,,,,,,,,,
Saginaw Valley State Univ,104,144.289,131.074,148.229,128.443,123.496,128.646,,128.152,124.113,123.100,120.657,124.084,123.495,124.976
Oakland University,105,147.211,144.942,152.889,150.240,141.606,146.226,,165.966,226.776,153.174,161.873,161.072,144.803,136.214
Mississippi State Univ,106,142.223,136.570,150.562,,,,,,,,,,,
Rutgers Univ,107,131.525,127.057,124.187,126.626,124.689,124.820,124.554,,,,,,,
AGH Univ of Science and Technology,109,118.785,116.280,117.287,115.285,117.046,119.766,,116.626,127.905,118.763,116.308,110.407,111.522,113.800
Duke Univ,111,161.753,167.028,143.937,142.143,136.116,137.454,,144.723,134.214,145.434,142.015,131.983,135.287,137.890
Western Michigan Univ,112,140.543,144.873,135.755,147.551,142.405,,152.477,143.797,166.830,142.606,141.848,148.169,145.063,144.981
Bialystok University of Technology,114,118.135,121.826,120.474,118.631,117.081,118.555,,127.839,119.403,114.045,131.653,,,
Univ of Victoria,115,131.945,126.259,131.709,124.445,123.837,123.490,,,,,,,,
Penn State Univ - Harrisburg,117,157.371,139.692,136.346,140.687,141.085,136.134,,135.580,135.684,132.893,129.162,124.324,129.580,124.732
Univ of Manitoba,119,142.149,128.952,128.021,130.023,132.803,138.245,,173.682,210.972,162.862,161.649,,,
The Ohio State University,121,135.684,125.193,124.521,125.371,123.460,123.276,,131.054,121.218,118.691,118.205,114.466,119.396,118.993
Univ of Waterloo,122,151.279,134.319,124.260,121.697,130.929,128.592,,132.161,137.510,128.567,129.374,123.127,125.528,128.683
Temple Univ,124,144.291,,,,,,,,,,,,,
Missouri University of Science and Tech,129,122.720,122.649,121.458,116.449,,,,,,,,,,
Univ of South Florida,135,158.734,146.658,154.295,149.280,151.277,146.878,,140.418,,,,,,
Faculdade de Engenharia de Sorocaba,136,120.198,117.238,121.007,140.829,113.991,116.952,,129.154,144.255,128.149,128.268,128.139,129.204,129.240
