Place,CarNum,Team,Time,Laps,Cones,OffCourse,OtherPenalty,AdjTime,EnduranceScore
,15,Univ of Evansville,1177.961,7,24,12,,,7
,7,Univ of Minnesota - Twin Cities,743.252,6,1,1,,,6
,48,Georgia Institute of Technology,756.043,6,4,,,,6
,115,Univ of Victoria,761.685,6,11,1,,,6
,74,Columbia Univ,801.117,6,1,2,,,6
,70,St Cloud State Univ,879.298,6,1,2,,,6
,87,Washington State Univ,880.266,6,10,,120,,6
,86,California State Poly Univ - Pomona,886.984,6,14,1,,,6
,50,Clarkson University,769.828,5,2,,,,5
,129,Missouri University of Science and Tech,483.276,4,2,2,,,4
,55,Western University,566.439,4,,,,,4
,103,Universite Du Quebec-Chicoutimi,895.393,4,3,1,120,,4
,106,Mississippi State Univ,429.355,3,,2,,,3
,94,Ferris State University,552.259,3,,3,,,3
,71,Univ of Alabama - Tuscaloosa,255.062,2,,,120,,2
,27,Univ of Florida,261.295,2,4,1,,,2
,47,Lawrence Technological Univ,274.874,2,1,,,,2
,52,Virginia Tech,288.874,2,5,,,,2
,58,Univ of British Columbia,124.538,1,,,,,1
,124,Temple Univ,144.291,1,6,,,,1
,26,Univ of Toronto,155.258,1,4,2,,,1
,20,Ryerson Univ,166.908,1,,1,,,1
,60,US Naval Academy,169.122,1,1,,,,1
,22,Rose Hulman Inst of Tech,176.859,1,2,,,,1
,43,US Air Force Academy,0.000,0,,,,,
,81,Lakehead Univ,0.000,0,5,1,,,
,89,Cooper Union,0.000,0,,,,,
,126,Univ of Nebraska - Lincoln,0.000,0,,,,,
