,Place,CarNum,Team,Penalty,CostScore,PreSsceo rn teation,DesignScore,AccScelo re reation,SkidPadScore,AutocrossScore,EnSdcuorraence,EfficiencyScore,TotalScore
1,1,3,The Ohio State University,,80.1,73.6,144,95.7,62.9,125.0,275.0,51.3,907.6
2,2,9,Univ of North Carolina - Charlotte,,76.6,69.1,100,64.0,70.3,99.1,256.4,81.8,817.2
3,3,30,Univ of Calif - Berkeley,,68.3,40.1,120,54.9,58.9,113.1,262.3,96.1,813.8
4,4,127,Univ of Connecticut,,76.3,67.1,100,91.3,64.1,94.2,226.7,27.7,747.4
5,5,35,Texas A & M Univ - College Station,,84.9,42.4,100,100.0,70.3,63.2,241.2,44.3,746.4
6,6,6,California Polytechnic State Univ-SLO,,80.7,37.4,100,72.8,64.0,92.9,213.6,72.8,734.4
7,7,145,Instituto Maua de Tecnologia,,83.7,35.1,150,89.7,49.8,73.9,172.0,56.2,710.3
8,8,8,Purdue Univ - W Lafayette,,72.2,65.9,100,75.6,75.0,77.0,185.9,32.5,684.1
9,9,16,Villanova Univ,,83.0,52.9,100,81.8,53.8,62.4,210.5,28.9,673.3
10,10,23,Kansas State Univ,,64.5,60.0,100,89.3,61.0,69.8,183.0,39.2,666.9
11,11,65,Hope College,,57.3,43.6,75,72.0,43.6,91.7,229.8,53.0,666.1
12,12,45,California State Univ - Northridge,,69.8,49.8,119,87.0,55.9,59.6,161.5,58.5,661.0
13,13,76,Univ of Alabama - Tuscaloosa,,73.2,41.6,100,95.3,57.3,87.5,165.5,38.0,658.2
14,14,57,Oakland University,,84.5,42.9,100,69.7,69.2,58.9,176.4,47.3,648.9
15,15,109,Temple Univ,,65.5,45.2,120,69.2,47.6,71.3,165.4,52.0,636.2
16,16,68,AGH Univ of Science and Technology,,49.1,65.6,132,77.8,59.3,76.9,144.2,27.7,632.6
17,17,91,Mississippi State Univ,,70.2,48.9,80,73.4,52.7,68.5,127.4,100.0,621.0
18,18,18,Kennesaw State University,,87.0,72.8,80,83.9,56.2,49.9,163.1,27.9,620.7
19,19,67,Univ of Minnesota - Twin Cities,,71.6,56.2,95,80.6,70.4,87.9,114.9,23.0,599.7
20,20,83,Univ of South Florida,,86.8,48.1,60,95.4,52.0,85.6,131.1,37.1,596.2
21,21,14,Univ of Cincinnati,,64.0,42.4,80,65.5,60.2,95.5,147.1,37.5,592.2
22,22,55,Univ of Missouri,,76.9,48.3,60,56.8,75.0,59.8,194.3,20.1,591.2
23,23,101,Minnesota State University - Mankato,,65.5,50.3,100,87.4,38.0,61.6,131.4,37.7,572.0
24,24,135,Univ of Wisconsin - Madison,,76.2,56.8,145,77.7,52.1,72.2,16,73.1,569.0
25,25,98,Univ of Nebraska - Lincoln,,76.9,40.5,100,87.4,59.7,92.3,82.2,20.5,559.5
1,26,40,Universite de Sherbrooke,,78.8,26.8,80,76.9,48.3,43.9,133.6,40.0,528.3
2,27,77,Vanderbilt Univ,,66.7,60.0,60,42.1,35.9,37.1,127.5,94.4,523.7
3,28,38,North Carolina State Univ - Raleigh,,72.2,37.4,147,93.3,51.1,91.2,12,,504.2
4,29,44,Univ of Texas - Dallas,,64.0,54.4,60,59.5,60.7,60.7,111.7,9.6,480.7
5,30,26,Univ of Wisconsin - Platteville,,50.1,30.7,60,52.3,31.5,63.5,136.9,52.2,477.1
6,31,107,Virginia Tech,,72.9,41.8,105,67.3,46.3,68.1,14,61.5,476.8
7,32,60,Univ of Illinois - Chicago,,88.1,41.9,60,74.4,56.6,50.9,81.6,19.0,472.5
8,33,119,California Baptist University,,73.3,33.5,40,66.6,34.2,51.1,107.6,65.2,471.5
9,34,126,Arizona State Univ - Tempe,,77.3,27.6,100,64.1,43.7,52.8,75.1,29.6,470.2
10,35,106,Embry-Riddle Aero Univ - Daytona Beach,,59.7,68.5,40,95.4,45.5,72.1,48,23.6,452.9
11,36,105,Univ of Southern California,,61.1,55.5,100,64.7,54.0,51.0,16,41.1,443.4
12,37,95,Univ of Toledo,,44.6,32.5,35,38.4,45.5,45.3,110.4,88.9,440.6
13,38,20,Univ of Victoria,,87.1,54.9,100,68.6,41.9,70.3,16,,438.9
14,39,86,Univ of Akron,,76.9,27.0,100,72.0,62.9,89.5,,,428.3
15,40,22,Sacramento State Univ,,66.5,29.3,60,63.7,43.6,43.3,107.9,12.2,426.5
16,41,99,Univ of North Florida,,80.1,44.6,70,63.6,54.3,74.5,20,18.3,425.3
17,42,21,Oklahoma State Univ,,51.1,44.2,60,74.7,55.7,60.9,38,37.4,421.6
18,43,49,Univ of Maryland - College Park,,71.7,45.1,95,83.4,72.0,54.4,,,421.6
19,44,104,Washington Univ - St Louis,,84.1,41.6,90,71.9,62.0,46.2,25,,420.8
20,45,24,Brown Univ,,79.0,56.7,80,38.6,34.4,6.7,92.7,22.6,410.6
21,46,29,Univ of Texas - Austin,,47.3,39.7,100,47.4,30.2,63.3,12,60.5,400.4
22,47,63,Duke Univ,,76.1,68.0,80,55.2,45.5,73.7,,,398.4
23,48,27,Carleton Univ,,75.3,57.9,80,47.1,46.0,66.4,14,,386.6
24,49,47,Univ of Kentucky,,68.2,51.8,75,79.2,29.7,42.2,25,,371.1
25,50,25,California State Poly Univ - Pomona,,62.0,56.0,100,73.0,,68.0,12,,370.9
1,51,73,Univ of Puerto Rico-Mayaquez,,50.0,20.4,80,71.8,41.7,70.8,25,,359.7
2,52,66,Univ of Michigan - Dearborn,,83.7,62.0,80,38.0,41.2,52.0,,,356.8
3,53,32,Colorado School of Mines,,39.4,45.8,80,4.5,38.9,34.5,64.2,45.1,352.6
4,54,42,Univ of Oklahoma,,52.3,48.1,70,93.6,31.4,41.4,14,,350.8
5,55,102,Missouri University of Science and Tech,,57.9,30.7,80,74.8,55.8,44.2,6,,349.4
6,56,108,Lawrence Technological Univ,,48.1,29.8,40,70.3,33.0,48.7,65.4,4.8,340.1
7,57,121,Univ of Saskatchewan,,66.6,37.4,50,71.2,44.8,61.3,8,,339.4
8,58,34,Colorado Mesa University,,50.0,27.6,50,,,,138.3,66.1,331.9
