CarNum,Team,Country,EngineCylinders,Displacement_cc,Weight_kg,Weight_lbs
113,US Air Force Academy,US,1,450,201.4,444
114,Lehigh Univ,US,1,450,175.1,386
116,Saginaw Valley State Univ,US,4,600,201.4,444
117,Pellissippi State Community College,US,1,690,204.6,451
118,Univ of Manitoba,CA,1,450,218.6,482
119,California Baptist University,US,1,690,196,432
120,Oregon Inst of Tech,US,4,600,220.4,486
121,Univ of Saskatchewan,CA,4,600,240.4,530
122,South Dakota School of Mines & Tech,US,4,600,221.4,488
124,Alabama A & M Univ,US,4,600,,
125,Northern Arizona Univ,US,4,600,244.9,540
126,Arizona State Univ - Tempe,US,4,600,231.8,511
127,Univ of Connecticut,US,4,600,223.6,493
128,St Cloud State Univ,US,4,600,237.2,523
130,Northern Illinois Univ,US,4,600,226.8,500
131,Univ of Ottawa,CA,4,600,205,452
133,Universidad Autonoma Estado Mexico,MX,4,600,246.3,543
135,Univ of Wisconsin - Madison,US,2,690,215,474
136,Univ of Minnesota-Duluth,US,1,450,235.9,520
138,Universidad Autonoma de Baja California,MX,4,600,294.8,650
140,North Dakota State Univ,US,1,690,,
142,Lamar Univ,US,4,600,,
145,Instituto Maua de Tecnologia,BR,3,675,200.5,442
