Team,CarNum,Lap1,Lap2,Lap3,Lap4,Lap5,Lap6,Lap7,Lap8,Lap9,Lap10,Lap11,Lap12,Lap13,Lap14,Lap15,Lap16,Lap17,Lap18,Lap19,Lap20,Lap21,Lap22,Lap23,Lap24
Oregon State Univ,1,59.028,57.629,61.674,57.002,67.583,60.792,58.628,62.910,59.992,57.210,59.687,,59.444,58.326,57.973,59.062,62.107,59.307,67.758,59.795,59.396,61.326,58.976,
Univ of Akron,5,106.419,94.684,92.662,95.920,89.778,90.188,83.370,83.982,92.067,79.269,88.235,,108.893,89.763,93.160,87.001,88.109,87.289,88.632,88.613,90.846,90.443,90.171,
Auburn Univ,7,68.387,66.311,70.297,66.771,65.796,65.088,67.718,64.687,68.777,70.810,67.265,,70.272,67.745,68.174,65.765,66.866,67.194,,,,,,
Univ of Michigan - Ann Arbor,8,70.093,66.163,65.246,64.668,64.958,65.945,65.775,64.345,66.039,64.957,64.335,,67.334,64.297,63.548,62.421,61.613,66.156,61.878,62.564,87.664,61.233,61.399,
Univ of Florida,9,65.293,63.110,62.536,61.947,61.835,62.042,72.223,63.727,62.175,62.671,61.439,,66.956,60.698,61.335,61.807,60.167,59.649,60.399,60.531,60.487,60.041,61.301,
Universidade Estadual de Campinas,11,71.717,99.742,76.736,75.968,75.584,75.188,79.121,81.691,93.867,79.198,81.932,,,,,,,,,,,,,
Michigan State Univ,12,72.276,70.228,67.361,64.341,68.933,66.857,67.657,70.674,65.994,65.856,67.226,,67.799,65.203,68.722,68.549,68.061,67.483,69.805,66.681,67.083,68.154,66.946,
Univ of Kansas - Lawrence,14,67.417,69.336,69.497,67.872,65.830,66.125,65.675,65.856,65.595,65.115,66.484,,72.752,79.235,66.812,62.987,67.932,64.791,142.508,,,,,
Kettering Univ,15,69.388,78.399,78.607,77.536,81.242,73.404,71.682,70.487,76.147,71.835,73.283,,74.220,70.287,70.925,70.507,68.758,69.056,70.785,69.190,71.279,68.585,69.928,
Graz Technical Univ,16,62.666,64.425,61.355,60.291,63.832,62.791,60.345,63.150,59.826,59.358,61.535,,60.710,59.147,59.348,65.920,63.850,59.453,60.742,67.279,65.083,62.023,59.941,
Univ of Toledo,17,65.550,65.104,63.091,70.382,64.234,76.463,66.703,64.879,65.800,63.295,64.708,,68.064,67.265,67.170,68.502,68.243,67.804,69.445,68.444,72.798,71.522,71.597,
Worcester Polytechnic Inst,20,110.935,116.011,108.295,,110.329,110.356,,,,,,,,,,,,,,,,,,
Univ of Illinois - Urbana Champaign,21,77.667,70.662,73.633,72.944,73.086,148.404,,,,,,,,,,,,,,,,,,
US Naval Academy,22,92.737,93.306,81.691,80.103,80.128,79.430,87.260,78.492,79.910,77.072,76.194,,89.861,81.783,88.313,85.185,84.842,82.940,83.359,86.467,82.808,83.150,81.826,
Georgia Institute of Technology,25,81.698,79.464,76.494,74.186,73.960,78.116,73.340,72.097,72.571,74.055,72.783,,,,,,,,,,,,,
Georgia Southern Univ,26,66.470,75.018,67.241,66.602,64.273,63.905,64.951,73.297,64.270,66.581,66.140,,,,,,,,,,,,,
Louisiana State Univ,27,75.108,73.431,70.758,77.333,71.695,70.715,69.813,68.435,72.846,71.103,69.289,,78.709,69.526,69.899,67.876,67.749,68.528,69.527,70.362,72.595,74.631,73.883,
Univ of Missouri,30,73.511,82.326,77.376,83.225,81.121,74.043,75.235,77.993,77.209,75.235,76.414,,85.582,95.055,78.053,,76.495,77.817,75.422,81.762,79.200,75.701,74.422,76.151
Bradley Univ,31,90.053,88.662,92.104,,,,,,,,,,,,,,,,,,,,,
Rose Hulman Inst of Tech,32,89.438,80.857,75.955,74.747,89.110,,,,,,,,,,,,,,,,,,,
West Virginia Univ,33,95.947,93.157,88.997,86.960,85.656,86.227,93.274,88.655,85.407,91.595,92.969,,88.997,86.054,84.269,89.629,83.459,88.859,87.655,83.370,84.801,82.310,83.861,
Univ of North Florida,36,93.773,84.049,82.248,88.550,120.512,86.607,102.624,114.557,118.137,,,,,,,,,,,,,,,
Univ of Connecticut,37,65.086,64.442,64.760,65.182,64.507,63.607,65.097,71.612,68.545,64.700,64.448,,70.387,67.698,69.690,80.516,70.300,73.193,69.220,70.951,74.378,71.294,75.659,
National Univ of Singapore,38,72.982,73.903,70.510,70.376,69.418,68.442,68.051,80.112,68.546,68.910,67.317,,72.361,71.055,72.549,67.850,66.352,66.680,66.656,68.473,64.873,65.789,78.142,
Univ of Central Florida,40,83.836,79.960,77.951,77.555,77.845,81.780,79.666,77.739,87.852,75.343,77.228,,71.134,68.719,68.035,112.913,70.308,69.417,70.299,76.955,69.912,69.541,76.695,
Old Dominion Univ,41,95.351,89.347,88.731,89.572,93.600,92.581,92.383,95.816,103.154,,,,,,,,,,,,,,,
Florida International Univ,42,122.312,105.709,102.537,104.718,102.535,99.181,100.518,98.662,103.732,98.718,99.084,,,,,,,,,,,,,
Columbia Univ,43,87.028,79.422,81.828,79.036,76.199,82.268,86.486,87.487,92.748,86.707,82.035,,,,,,,,,,,,,
Western Michigan Univ,44,111.694,92.091,96.155,93.050,91.351,102.863,103.371,96.093,111.601,98.174,93.570,,102.266,98.767,,,,,,,,,,
Tennessee Tech Univ,45,87.905,94.100,101.265,84.960,90.199,89.677,106.436,84.335,87.619,87.751,89.292,,,,,,,,,,,,,
Univ of South Florida,47,83.507,91.301,76.239,90.172,74.790,108.742,76.744,73.234,80.297,78.620,86.639,,119.246,85.451,83.894,83.203,88.902,82.149,81.738,84.311,81.777,82.635,81.702,
Washington Univ - St Louis,48,81.741,78.618,78.749,79.027,74.594,80.755,77.441,78.459,73.834,75.198,87.906,87.139,,71.002,73.047,70.314,69.948,78.231,76.873,74.727,72.379,75.093,74.392,
Univ of Toronto,49,83.863,81.583,79.027,79.219,76.094,84.537,77.428,77.241,75.925,77.607,77.307,,102.753,90.466,86.856,116.257,83.991,82.813,82.632,94.501,97.412,86.656,86.030,
Missouri University of Science and Tech,50,64.862,63.931,66.016,65.207,65.405,66.408,65.996,68.542,66.605,65.174,65.602,,73.065,73.332,69.987,72.458,76.356,73.805,74.839,78.685,76.246,72.086,72.620,
Univ of Cincinnati,51,73.554,71.015,70.557,69.351,69.446,69.312,68.424,68.198,69.167,68.440,68.636,,66.703,66.101,66.349,65.639,65.813,65.756,,,,,,
Kookmin Univ,53,70.841,67.347,65.963,65.917,65.897,66.619,66.634,65.882,66.158,66.789,66.082,,65.880,63.633,63.226,67.649,63.434,63.670,64.213,63.069,63.279,62.796,62.262,
Universidad Central de Venezuela,55,98.571,95.267,91.383,89.963,100.378,90.230,89.968,88.979,87.418,85.472,86.565,,93.055,89.466,86.596,87.251,87.507,87.349,85.585,165.310,90.835,89.064,88.504,
Central Michigan Univ,56,97.559,90.269,82.875,85.769,82.250,83.073,85.386,82.722,81.963,82.399,94.112,,,,,,,,,,,,,
Texas Tech Univ,57,89.485,80.482,78.411,78.773,79.068,89.643,88.178,86.499,100.875,,,,,,,,,,,,,,,
Polytechnique Montréal,58,86.039,83.820,,,,,,,,,,,,,,,,,,,,,,
Univ of Minnesota - Twin Cities,59,65.538,65.444,64.126,65.059,68.978,64.723,64.718,65.357,67.311,70.128,67.036,71.809,,69.673,69.128,67.899,69.059,68.900,67.406,67.701,66.976,66.693,71.834,
Ohio State Univ,62,68.758,65.625,69.522,69.741,69.331,69.509,69.979,,,,,,,,,,,,,,,,,
Duke Univ,63,82.729,86.004,75.321,89.814,76.815,74.126,81.762,81.321,80.184,79.379,77.397,,84.863,92.893,84.644,81.722,82.435,83.213,82.822,79.711,81.455,80.854,82.551,
Minnesota State University - Mankato,65,89.475,83.021,82.260,80.549,86.663,79.251,82.518,80.948,80.183,80.114,,77.400,,83.135,84.047,81.493,82.867,98.431,82.348,,,,,
North Carolina State Univ - Raleigh,66,102.694,75.570,,,,,,,,,,,,,,,,,,,,,,
Lakehead Univ,68,92.092,85.319,84.593,84.609,83.210,89.746,82.493,83.096,86.179,85.119,84.372,,96.943,91.948,122.492,91.465,88.509,87.662,85.797,82.157,85.985,87.801,91.315,
Kennesaw State University,70,76.929,77.287,81.323,77.133,77.545,77.942,78.601,80.202,79.116,79.313,84.151,,79.307,78.277,76.504,76.521,76.754,74.181,74.891,119.322,75.195,82.295,76.640,
Univ of Pittsburgh - Pittsburgh,71,72.360,67.108,67.958,68.516,71.420,74.601,71.572,72.448,77.930,74.469,69.248,80.756,,,,,,,,,,,,
Univ of Michigan - Dearborn,72,64.961,64.177,67.706,68.848,66.591,63.968,64.812,65.130,,64.888,66.049,67.132,,67.182,61.996,67.344,62.317,68.861,64.947,62.160,63.491,66.875,72.233,74.308
Saginaw Valley State Univ,73,78.141,73.357,70.622,69.853,71.154,70.035,69.366,69.059,68.384,69.651,68.881,,69.010,66.476,65.614,68.928,64.913,65.328,67.253,,,,,
North Dakota State Univ,74,94.167,86.021,85.596,86.449,86.621,83.808,84.240,103.872,121.624,123.849,120.728,,98.425,94.162,109.998,95.455,,,,,,,,
Universite Du Quebec a Trois-Rivieres,76,72.709,70.485,73.176,76.052,74.070,77.683,77.689,70.249,72.415,69.065,70.596,,69.774,69.289,72.012,76.061,68.943,70.720,69.422,69.072,69.669,69.898,69.889,
Cegep du Vieux - Montreal,77,106.374,96.993,84.451,85.937,86.392,87.448,88.132,84.389,86.993,86.299,84.510,,90.504,82.977,84.330,81.843,82.050,82.366,82.449,82.921,97.152,83.699,84.333,
Universite Du Quebec-Chicoutimi,78,103.335,103.326,102.449,105.440,103.763,101.897,101.717,100.597,106.839,99.165,101.050,,99.251,,,,,,,,,,,
