Place,CarNum,Team,Time,Laps,Cones,OffCourse,OtherPenalty,AdjTime,EnduranceScore
1,1,Oregon State Univ,1325.605,22,2,,,1329.605,300
2,9,Univ of Florida,1372.369,22,1,,,1374.369,273.8
3,16,Graz Technical Univ,1363.070,22,1,1,,1385.070,267.7
4,110,Virginia Tech,1433.109,22,1,,,1435.109,240.8
5,53,Kookmin Univ,1437.240,22,,,,1437.240,239.7
6,72,Univ of Michigan - Dearborn,1455.976,22,4,,,1463.976,226.1
7,101,Wroclaw University of Technology,1463.633,22,5,,,1473.633,221.3
8,117,Western University,1418.299,22,1,3,,1480.299,218.0
9,8,Univ of Michigan - Ann Arbor,1442.631,22,4,2,,1490.631,213.0
10,59,Univ of Minnesota - Twin Cities,1485.496,22,3,,,1491.496,212.6
11,12,Michigan State Univ,1491.889,22,10,,,1511.889,202.9
12,129,Univ of Texas - Arlington,1446.645,22,12,3,,1530.645,194.2
13,17,Univ of Toledo,1491.063,22,4,2,,1539.063,190.4
14,37,Univ of Connecticut,1515.272,22,3,1,,1541.272,189.4
15,50,Missouri University of Science and Tech,1537.227,22,3,,,1543.227,188.5
16,115,Rochester Institute of Technology,1516.661,22,4,1,,1544.661,187.8
17,38,National Univ of Singapore,1539.347,22,4,,,1547.347,186.6
18,76,Universite Du Quebec a Trois-Rivieres,1578.938,22,,,,1578.938,172.8
19,27,Louisiana State Univ,1573.811,22,3,1,,1599.811,163.9
20,119,Univ of Victoria,1568.768,22,6,1,,1600.768,163.5
21,15,Kettering Univ,1595.530,22,3,1,,1621.530,155.0
22,114,Michigan Tech Univ,1607.722,22,2,1,,1631.722,150.8
23,96,Penn State Univ - University Park,1687.231,22,,,,1687.231,129.3
24,40,Univ of Central Florida,1700.683,22,,,,1700.683,124.2
25,123,Florida Atlantic Univ,1586.524,22,3,,120,1712.524,119.9
26,85,Villanova Univ,1715.193,22,3,1,,1741.193,109.6
27,48,Washington Univ - St Louis,1689.467,22,9,4,,1787.467,93.7
28,30,Univ of Missouri,1729.348,22,3,3,,1795.348,91.0
29,70,Kennesaw State University,1759.429,22,2,3,,1823.429,81.8
30,63,Duke Univ,1802.015,22,1,1,,1824.015,81.6
31,122,Indiana Univ Purdue Univ Indianapolis,1695.657,22,5,,120,1825.657,81.1
32,81,Universidad Simon Bolivar,1794.475,22,5,2,,1844.475,75.1
33,22,US Naval Academy,1836.857,22,2,1,,1860.857,70.0
34,86,Cooper Union,1660.795,22,20,2,161,1901.795,57.6
35,49,Univ of Toronto,1880.198,22,,2,,1920.198,52.2
36,33,West Virginia Univ,1932.108,22,,,,1932.108,22
37,77,Cegep du Vieux - Montreal,1912.542,22,1,1,,1934.542,22
38,134,Mississippi State Univ,1897.824,22,3,2,20,1963.824,22
39,68,Lakehead Univ,1952.902,22,2,1,,1976.902,22
40,5,Univ of Akron,1999.494,22,,,,1999.494,22
41,55,Universidad Central de Venezuela,2054.716,22,4,3,,2122.716,22
42,47,Univ of South Florida,1875.293,22,4,8,120,2163.293,22
,94,Oklahoma State Univ,2031.596,21,5,5,,,21
,120,Univ of Maryland - College Park,1268.363,19,16,2,,,19
,73,Saginaw Valley State Univ,1246.025,18,2,,,,18
,14,Univ of Kansas - Lawrence,1291.819,18,14,8,120,,18
,7,Auburn Univ,1147.923,17,3,1,,,17
,51,Univ of Cincinnati,1162.461,17,2,1,,,17
,65,Minnesota State University - Mankato,1414.703,17,,,,,17
,74,North Dakota State Univ,1475.015,15,1,1,150,,15
,44,Western Michigan Univ,1291.046,13,4,3,,,13
,71,Univ of Pittsburgh - Pittsburgh,868.386,12,,,,,12
,78,Universite Du Quebec-Chicoutimi,1228.829,12,,,,,12
,26,Georgia Southern Univ,738.748,11,2,,,,11
,125,Purdue Univ - W Lafayette,759.310,11,,,,,11
,90,Univ of North Carolina - Charlotte,803.958,11,,,,,11
,25,Georgia Institute of Technology,828.764,11,1,1,,,11
,126,Cornell Univ,857.090,11,,,,,11
,11,Universidade Estadual de Campinas,890.744,11,2,,,,11
,43,Columbia Univ,921.244,11,2,,,,11
,56,Central Michigan Univ,948.377,11,1,,,,11
,45,Tennessee Tech Univ,1003.539,11,,2,,,11
,42,Florida International Univ,1137.706,11,1,1,,,11
,99,York College of Pa,954.726,10,2,2,180,,10
,57,Texas Tech Univ,771.414,9,1,,,,9
,41,Old Dominion Univ,840.535,9,3,,,,9
,36,Univ of North Florida,891.057,9,1,,,,9
,97,Univ of Guelph,644.531,8,2,1,,,8
,106,South Dakota State Univ,660.102,8,,,,,8
,88,Dalhousie Univ,788.295,8,,,,,8
,62,Ohio State Univ,482.465,7,2,,,,7
,107,Univ of Utah,675.692,7,2,,,,7
,83,Oakland University,503.115,6,1,1,,,6
,21,Univ of Illinois - Urbana Champaign,516.396,6,,1,,,6
,111,Universidad Autonoma Estado Mexico,565.758,6,1,2,,,6
,32,Rose Hulman Inst of Tech,410.107,5,,1,,,5
,20,Worcester Polytechnic Inst,555.926,5,,,170,,5
,102,Florida Inst of Tech,217.466,3,4,,,,3
,31,Bradley Univ,270.819,3,1,5,,,3
,58,Polytechnique Montréal,169.859,2,,,,,2
,66,North Carolina State Univ - Raleigh,178.264,2,,2,,,2
,93,Univ of St Thomas,258.241,2,14,1,,,2
,95,Wayne State Univ,99.979,1,,2,,,1
,18,San Jose State University,0.000,0,,,,,
,35,Southern Illinois Univ - Edwardville,0.000,0,,,,,
