Place,CarNum,Team,Run1_Time,Run1_Cones,Run1_OffCourse,Run1_AdjTime,Run2_Time,Run2_Cones,Run2_OffCourse,Run2_AdjTime,Run3_Time,Run3_Cones,Run3_OffCourse,Run3_AdjTime,Run4_Time,Run4_Cones,Run4_OffCourse,Run4_AdjTime,BestTime,Score
1,1,Oregon State Univ,48.912,,,48.912,47.270,,,47.270,47.014,,,47.014,46.944,,,46.944,46.944,150
2,16,Graz Technical Univ,49.671,,,49.671,49.193,,,49.193,50.145,,,50.145,48.066,,,48.066,48.066,139.28
3,5,Univ of Akron,49.534,,,49.534,48.916,,,48.916,52.333,,,52.333,55.470,,,55.470,48.916,131.49
4,9,Univ of Florida,51.852,,,51.852,50.648,,,50.648,49.867,,,49.867,49.644,,,49.644,49.644,125.03
5,18,San Jose State University,53.456,,,53.456,53.197,,,53.197,50.507,,,50.507,,,,,50.507,117.61
6,50,Missouri University of Science and Tech,52.710,,,52.710,52.948,1,,54.948,60.719,,1,80.719,51.289,,,51.289,51.289,111.1
7,110,Virginia Tech,52.974,,,52.974,52.049,,,52.049,51.378,,,51.378,52.055,,,52.055,51.378,110.37
8,8,Univ of Michigan - Ann Arbor,61.489,3,1,87.489,55.066,3,,61.066,51.318,,1,71.318,51.435,,,51.435,51.435,109.91
9,19,Ecole De Technologie Superieure,63.966,,1,83.966,52.531,,,52.531,51.484,,,51.484,,,,,51.484,109.51
10,53,Kookmin Univ,53.016,,,53.016,56.776,,,56.776,54.971,,,54.971,51.613,,,51.613,51.613,108.46
11,14,Univ of Kansas - Lawrence,56.264,,,56.264,54.857,,,54.857,57.390,,3,117.390,52.562,,,52.562,52.562,100.92
12,129,Univ of Texas - Arlington,54.506,,,54.506,53.613,1,1,75.613,53.454,,,53.454,52.763,,,52.763,52.763,99.36
13,73,Saginaw Valley State Univ,56.724,,,56.724,55.705,,,55.705,52.831,,,52.831,58.586,,,58.586,52.831,98.84
14,76,Universite Du Quebec a Trois-Rivieres,58.339,,1,78.339,62.841,,,62.841,53.081,,,53.081,52.977,,,52.977,52.977,97.71
15,17,Univ of Toledo,53.412,,,53.412,53.686,,,53.686,54.252,,,54.252,53.000,,,53.000,53.000,97.53
16,123,Florida Atlantic Univ,58.307,,,58.307,61.979,,,61.979,68.873,1,2,110.873,53.183,,,53.183,53.183,96.14
17,120,Univ of Maryland - College Park,72.316,,2,112.316,59.554,,,59.554,55.082,2,,59.082,53.216,,,53.216,53.216,95.88
18,72,Univ of Michigan - Dearborn,54.558,,,54.558,53.271,,,53.271,53.547,,,53.547,54.056,,,54.056,53.271,95.47
19,15,Kettering Univ,53.361,,,53.361,62.867,,,62.867,,,,DNA,,,,DNA,53.361,94.78
20,115,Rochester Institute of Technology,54.217,1,,56.217,53.860,,,53.860,53.439,,,53.439,,,,,53.439,94.19
