Place,CarNum,Team,Penalty,CostScore,PresentationScore,DesignScore,AccelerationScore,SkidPadScore,AutocrossScore,EnduranceScore,EfficiencyScore,TotalScore
1,1,Oregon State Univ,-10,67.3,60.2,105,54.6,21.0,150.0,300.0,100.0,848.1
2,9,Univ of Florida,,71.2,70.0,140,75.0,16.9,125.0,273.8,72.9,844.8
3,16,Graz Technical Univ,,62.5,63.2,115,63.3,47.4,139.3,267.7,62.9,821.4
4,53,Kookmin Univ,,90.2,62.7,100,59.4,35.2,108.5,239.7,64.8,760.5
5,8,Univ of Michigan - Ann Arbor,,77.0,41.6,115,72.4,29.6,109.9,213.0,84.7,743.2
6,110,Virginia Tech,,71.7,63.5,100,40.1,22.0,110.4,240.8,83.4,731.8
7,38,National Univ of Singapore,,74.3,75.0,100,74.9,20.5,93.9,186.6,79.4,704.6
8,72,Univ of Michigan - Dearborn,,69.4,62.1,85,52.8,24.5,95.5,226.1,89.2,704.6
9,101,Wroclaw University of Technology,,66.1,49.8,100,67.2,21.2,90.5,221.3,83.1,699.2
10,117,Western University,,67.1,48.7,105,42.8,33.8,93.6,218.0,80.1,689.2
11,12,Michigan State Univ,,74.5,55.2,105,61.5,33.4,90.5,202.9,64.6,687.6
12,129,Univ of Texas - Arlington,,72.2,60.4,115,38.1,18.7,99.4,194.2,82.2,680.2
13,59,Univ of Minnesota - Twin Cities,,75.6,63.0,85,54.5,22.7,84.4,212.6,75.0,672.7
14,115,Rochester Institute of Technology,,66.2,50.3,105,39.0,32.5,94.2,187.8,86.9,661.7
15,50,Missouri University of Science and Tech,,75.8,66.1,90,40.7,38.0,111.1,188.5,48.2,658.3
16,15,Kettering Univ,,83.1,60.2,85,36.3,25.0,94.8,155.0,97.8,637.3
17,17,Univ of Toledo,,78.4,42.3,85,51.3,2.5,97.5,190.4,68.8,616.3
18,85,Villanova Univ,,88.8,59.3,100,64.0,19.8,79.2,109.6,85.1,605.8
19,37,Univ of Connecticut,,74.5,29.9,85,55.7,2.5,92.8,189.4,74.2,604.1
20,119,Univ of Victoria,-10,60.0,53.4,70,60.6,19.0,86.9,163.5,77.5,581.0
