Place,CarNum,Team,Penalty,CostScore,PresentationScore,DesignScore,AccelerationScore,SkidPadScore,AutocrossScore,EnduranceScore,EfficiencyScore,TotalScore
1,1,Oregon State Univ,,80.3,74.5,150,64.1,48.6,144.4,300.0,92.3,954.2
2,7,Technical Univ of Munich,,56.5,64.7,135,64.7,46.3,130.9,292.1,74.9,864.9
3,11,Univ of Stuttgart,,68.5,75.0,140,72.8,44.8,124.6,260.5,68.1,854.2
4,3,Graz Univ of Technology,,55.2,71.8,145,66.0,49.0,97.8,289.6,41.3,815.7
5,45,Univ of Wisconsin - Madison,,81.0,70.2,115,56.0,44.1,118.0,254.3,73.5,812.1
6,2,Univ of Michigan - Ann Arbor,,85.6,63.7,115,71.9,44.2,101.2,261.4,45.6,788.5
7,41,University of Applied Sciences Zwickau,,65.5,66.6,110,68.0,48.7,100.2,251.3,41.0,751.3
8,73,Univ of Akron,,83.0,69.6,100,60.6,32.8,124.8,238.0,19.0,727.8
9,36,Univ of Kansas - Lawrence,,52.9,72.2,80,60.6,33.7,150.0,238.8,29.7,717.9
10,70,Univ of Applied Sciences - Graz,,55.2,52.9,120,37.3,50.0,108.0,222.1,52.9,698.5
11,27,Univ of Applied Sciences Amberg-Weiden,-20,61.8,66.4,110,55.3,36.6,79.0,176.3,100.0,665.4
12,49,Purdue Univ - W Lafayette,,61.8,60.1,80,63.5,48.0,107.2,241.6,-2.1,660.1
13,116C,olorado State University,,71.0,65.1,100,48.9,35.6,99.4,188.0,38.5,646.3
14,9,Cornell Univ,,50.3,67.6,110,75.0,45.7,76.2,171.8,42.6,639.2
15,51,Michigan State Univ,,75.2,64.6,100,55.5,33.5,116.1,202.2,-17.0,630.0
16,81,Auburn Univ,,71.0,65.3,80,53.3,38.9,63.6,202.0,38.0,612.0
17,30,Univ of Toledo,,74.0,59.6,80,57.2,28.2,82.2,203.4,18.5,603.1
18,46,Univ of Pennsylvania,,90.7,70.5,100,50.1,43.7,58.4,134.8,36.0,584.3
19,86,Georgia Southern Univ,,69.3,35.9,60,42.4,29.1,58.4,187.1,54.9,537.2
20,17,Universidad Simon Bolivar,-10,87.3,31.7,105,53.2,30.0,70.0,166.3,-0.0,533.3
21,5,Rochester Institute of Technology,,76.5,67.7,125,69.0,42.4,124.6,26.0,,531.3
22,12,San Jose State University,-20,81.2,27.1,70,46.9,24.5,87.2,116.3,75.8,509.0
23,29,National Univ of Singapore,,74.1,74.8,80,42.9,40.3,59.1,78.4,54.0,503.6
24,114U,niv of North Carolina - Charlotte,,60.3,68.2,60,,,73.6,153.7,60.6,476.4
25,35,Brown Univ,,66.7,54.9,100,57.5,27.8,28.2,127.3,9.8,472.0
