Team,CarNum,Lap1,Lap2,Lap3,Lap4,Lap5,Lap6,Lap7,Lap8,Lap9,Lap10,Lap11,Lap12,Lap13,Lap14,Lap15,Lap16,Lap17,Lap18,Lap19,Lap20,Lap21,Lap22,Lap23,Lap24,Lap25,Lap26,Lap27,Lap28,Lap29,Lap30,Lap31
Penn State Univ - University Park,103,66.960,67.210,63.417,61.294,60.553,64.708,65.983,60.695,61.594,106.421,68.714,66.635,65.443,67.944,DC,62.377,61.304,59.971,59.189,59.719,61.043,58.678,61.083,59.282,,,,,,,1490.217
Cegep du Vieux - Montreal,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stevens Inst of Tech,105,82.085,87.414,82.039,85.264,84.181,87.467,81.439,80.373,79.570,81.898,84.569,,,,,,,,,,,,,,,,,,,,916.299
Ferris State University,106,94.236,96.858,93.767,81.974,79.837,79.220,77.143,104.316,81.422,86.358,75.714,75.118,77.238,78.277,DC,,,,,,,,,,,,,,,,1181.478
Northern Illinois University,110,76.463,69.608,67.050,66.420,76.961,79.513,68.048,67.370,66.328,65.285,67.482,65.259,65.299,65.951,DC,73.615,67.424,69.468,63.912,65.819,67.639,63.431,65.276,63.121,65.131,69.818,65.826,73.644,67.033,,1908.194
Univ of Texas - San Antonio,112,69.770,66.338,63.096,62.934,62.839,65.203,64.811,60.658,60.669,64.744,65.049,69.218,64.205,,,,,,,,,,,,,,,,,,839.534
Univ of North Carolina Charlotte,114,67.257,64.128,66.570,63.663,59.920,60.774,64.788,63.702,70.817,62.737,60.080,58.447,61.049,59.453,DC,62.244,58.202,63.408,61.559,60.926,61.944,61.838,62.665,60.142,63.007,60.980,60.803,59.702,59.666,,1740.471
Oklahoma State Univ,115,77.351,80.241,75.297,73.958,75.615,73.728,72.072,74.787,,,,,,,,,,,,,,,,,,,,,,,603.049
Colorado State University,116,75.917,71.496,62.038,61.450,67.756,60.768,58.915,61.016,58.991,59.003,63.147,65.863,62.003,61.398,DC,62.324,60.351,60.210,62.230,59.306,62.600,58.595,63.053,59.560,63.795,58.823,62.855,59.289,60.677,,1743.429
North Carolina State Univ - Raleigh,117,64.313,63.234,60.430,82.935,60.298,60.650,61.239,62.184,73.644,64.083,64.527,64.775,59.056,60.607,DC,65.117,59.092,57.592,58.187,58.235,60.045,59.181,64.736,59.659,57.294,58.026,56.769,60.289,59.440,,1735.637
Univ of Cincinnati,120,71.150,63.981,62.797,60.995,60.642,59.086,60.262,60.131,70.418,65.098,65.731,66.215,65.822,65.417,,,,,,,,,,,,,,,,,897.745
Southern Illinois Univ - Carbondale,123,82.968,79.637,83.467,73.850,72.614,68.687,69.214,70.542,68.320,68.057,68.948,67.970,67.537,67.038,DC,76.743,89.555,82.645,75.184,75.431,75.647,74.897,76.264,73.712,75.634,74.520,75.250,74.142,73.945,,2082.418
Univ of Florida,928,63.526,61.508,61.039,59.827,58.989,60.939,59.260,58.444,56.989,57.153,61.986,58.160,58.996,57.671,DC,63.585,61.314,63.265,64.833,,,,,,,,,,,,1087.484
