Place,CarNum,Team,Run1_Time,Run1_Cones,Run1_AdjTime,Run2_Time,Run2_Cones,Run2_AdjTime,Run3_Time,Run3_Cones,Run3_AdjTime,Run4_Time,Run4_Cones,Run4_AdjTime,BestTime,Score
1,9,Cornell Univ,4.513,,4.513,3.982,,3.982,4.014,,4.014,3.945,,3.945,3.945,75
2,11,Univ of Stuttgart,4.120,,4.120,4.079,,4.079,4.762,,4.762,3.985,,3.985,3.985,72.76
3,2,Univ of Michigan - Ann Arbor,4.127,,4.127,4.048,,4.048,4.048,,4.048,4.000,,4.000,4.000,71.93
4,117,North Carolina State Univ - Raleigh,4.200,,4.200,4.111,,4.111,4.163,,4.163,4.050,,4.050,4.050,69.2
5,5,Rochester Institute of Technology,4.148,,4.148,4.115,,4.115,4.137,,4.137,4.053,,4.053,4.053,69.04
6,41,University of Applied Sciences Zwickau,4.151,,4.151,4.072,,4.072,4.081,,4.081,5.048,,5.048,4.072,68.03
7,3,Graz Univ of Technology,4.265,,4.265,4.289,,4.289,4.189,,4.189,4.110,,4.110,4.110,66.03
8,59,Rensselaer Polytechnic Inst,4.302,,4.302,4.284,,4.2841,0.535,,10.535,4.116,,4.116,4.116,65.71
9,7,Technical Univ of Munich,4.263,,4.263,4.171,,4.171,4.316,,4.316,4.136,,4.136,4.136,64.68
10,1,Oregon State Univ,4.567,,4.567,4.233,,4.233,4.186,,4.186,4.147,,4.147,4.147,64.11
11,49,Purdue Univ - W Lafayette,4.184,,4.184,4.432,,4.432,4.159,,4.159,4.159,,4.159,4.159,63.5
12,36,Univ of Kansas - Lawrence,4.429,,4.429,4.404,,4.404,4.216,,4.216,4.647,,4.647,4.216,60.63
12,73,Univ of Akron,4.241,,4.241,4.216,,4.216,,,DNA,,,DNA,4.216,60.63
14,928,Univ of Florida,4.452,,4.452,4.329,,4.329,4.221,,4.221,5.552,,5.552,4.221,60.38
15,82,Univ of Central Florida,4.899,,4.899,4.529,,4.529,4.913,,4.913,4.222,,4.222,4.222,60.33
16,35,Brown Univ,4.433,,4.433,4.281,,4.281,4.504,,4.504,5.904,,5.904,4.281,57.45
