Place,CarNum,Team,Run1_Time,Run1_Cones,Run1_OffCourse,Run1_AdjTime,Run2_Time,Run2_Cones,Run2_OffCourse,Run2_AdjTime,Run3_Time,Run3_Cones,Run3_OffCourse,Run3_AdjTime,Run4_Time,Run4_Cones,Run4_OffCourse,Run4_AdjTime,BestTime,Score
1,36,Univ of Kansas - Lawrence,53.355,,,53.355,51.911,1,,53.911,49.674,1,,51.674,48.151,,,48.151,48.151,150
2,1,Oregon State Univ,49.019,,,49.019,49.428,,,49.428,48.535,,,48.535,49.094,,,49.094,48.535,144.36
3,33,South Dakota Sch of Mines & Tech,52.769,,,52.769,52.738,,,52.738,48.612,,,48.612,48.577,,,48.577,48.577,143.75
4,7,Technical Univ of Munich,53.783,,,53.783,,,,,52.727,,1,72.727,49.480,,,49.480,49.480,130.86
5,73,Univ of Akron,51.720,,1,71.720,50.466,,,50.466,49.920,,,49.920,53.414,1,,55.414,49.920,124.75
6,11,Univ of Stuttgart,51.156,,,51.156,51.184,,,51.184,49.930,,,49.930,48.805,1,,50.805,49.930,124.61
7,5,Rochester Institute of Technology,50.215,1,,52.215,50.787,,,50.787,51.184,2,,55.184,49.931,,,49.931,49.931,124.6
8,45,Univ of Wisconsin - Madison,52.477,3,,58.477,50.417,,,50.417,56.009,,,56.009,54.762,,,54.762,50.417,117.98
9,24,Karlsruhe Institute of Technology,50.476,,,50.476,52.405,1,1,74.405,,,,DNA,,,,DNA,50.476,117.18
10,51,Michigan State Univ,53.029,,,53.029,50.559,,,50.559,56.306,,,56.306,53.142,,,53.142,50.559,116.07
11,70,Univ of Applied Sciences - Graz,54.424,,,54.424,54.063,,,54.063,52.301,,,52.301,51.170,,,51.170,51.170,107.96
12,49,Purdue Univ - W Lafayette,53.614,,,53.614,51.228,,,51.228,64.947,,,64.947,52.640,,,52.640,51.228,107.21
13,59,Rensselaer Polytechnic Inst,55.695,,,55.695,54.591,,,54.591,52.359,1,,54.359,51.390,,,51.390,51.390,105.09
14,84,Clemson Univ,57.969,1,,59.969,56.125,,,56.125,52.969,,,52.969,51.560,,,51.560,51.560,102.89
15,2,Univ of Michigan - Ann Arbor,54.439,,1,74.439,53.481,,,53.481,51.695,,,51.695,57.025,2,,61.025,51.695,101.16
16,41,University of Applied Sciences Zwickau,53.725,,1,73.725,51.770,,,51.770,61.909,1,1,83.909,51.231,1,,53.231,51.770,100.19
17,116C,olorado State University,53.726,,,53.726,53.046,1,,55.046,61.671,,,61.671,51.835,,,51.835,51.835,99.36
18,3,Graz Univ of Technology,51.959,,,51.959,54.559,,1,74.559,52.992,,1,72.992,51.343,,1,71.343,51.959,97.78
19,10,Kookmin Univ,54.862,,,54.862,52.964,,,52.964,52.532,,,52.532,54.384,,,54.384,52.532,90.58
20,20,Oxford Brookes Univ,,,,,64.353,2,,68.353,54.901,,,54.901,52.691,,,52.691,52.691,88.61
21,12,San Jose State University,65.160,,,65.160,60.484,,,60.484,54.972,,,54.972,52.804,,,52.804,52.804,87.22
22,13,Centro Universitario Da FEI,57.265,,,57.265,55.493,,,55.493,53.922,,,53.922,53.118,,,53.118,53.118,83.38
23,30,Univ of Toledo,53.526,,2,93.526,59.733,1,2,101.733,53.217,,,53.217,,,,DNA,53.217,82.18
24,928U,niv of Florida,55.922,,,55.922,58.517,,,58.517,57.086,,,57.086,53.383,,,53.383,53.383,80.17
25,27,Univ of Applied Sciences Amberg-Weiden,55.357,,,55.357,53.484,,,53.484,55.817,,,55.817,64.247,,1,84.247,53.484,78.96
26,65,McGill Univ,55.793,,1,75.793,53.650,,,53.650,64.380,1,,66.380,55.955,,,55.955,53.650,76.97
27,9,Cornell Univ,54.449,,,54.449,54.065,,,54.065,56.119,1,2,98.119,53.713,,,53.713,53.713,76.22
28,114U,niv of North Carolina - Charlotte,54.890,2,,58.890,51.932,1,,53.932,56.490,,,56.490,54.357,3,,60.357,53.932,73.63
29,64,Duke Univ,58.579,1,1,80.579,55.031,1,,57.031,55.279,,,55.279,53.959,,,53.959,53.959,73.31
30,120U,niv of Cincinnati,71.335,3,,77.335,61.151,,1,81.151,57.199,,,57.199,53.980,,,53.980,53.980,73.06
31,101U,niv of Illinois - Chicago,57.269,,,57.269,55.410,,,55.410,56.173,,,56.173,54.031,,,54.031,54.031,72.46
32,75,Univ of Illinois - Urbana Champaign,57.036,,,57.036,54.112,,,54.112,54.913,,,54.913,57.563,,,57.563,54.112,71.51
33,63,Rutgers Univ,57.423,,,57.423,54.154,,,54.154,58.397,,2,98.397,,,,DNA,54.154,71.02
34,17,Universidad Simon Bolivar,55.405,,,55.405,55.927,,1,75.927,54.244,,,54.244,52.260,2,,56.260,54.244,69.97
35,81,Auburn Univ,54.934,,1,74.934,56.595,3,,62.595,57.323,,,57.323,54.796,,,54.796,54.796,63.6
36,50,Western Michigan Univ,59.766,,,59.766,55.055,,,55.055,,,,DNA,,,,DNA,55.055,60.65
37,53,Rose Hulman Inst of Tech,56.337,1,,58.337,62.559,,1,82.559,56.061,1,,58.061,55.142,,,55.142,55.142,59.67
38,29,National Univ of Singapore,61.291,,,61.291,58.338,,,58.338,56.674,,,56.674,55.191,,,55.191,55.191,59.12
39,46,Univ of Pennsylvania,60.429,3,,66.429,76.095,,2,116.095,55.251,,,55.251,55.341,4,,63.341,55.251,58.44
40,86,Georgia Southern Univ,57.346,,,57.346,54.336,1,,56.336,60.080,2,,64.080,53.255,1,,55.255,55.255,58.4
41,80,Universite Laval,58.092,1,,60.092,53.203,1,1,75.203,55.926,,,55.926,71.131,,,71.131,55.926,50.95
42,68,Univ of Toronto,67.293,1,1,89.293,56.002,,,56.002,65.619,,,65.619,59.560,,,59.560,56.002,50.12
43,103P,enn State Univ - University Park,,,,,54.185,1,,56.185,56.326,1,,58.326,54.975,1,,56.975,56.185,48.12
44,83,Minnesota State University - Mankato,58.707,,,58.707,,,,,61.037,,1,81.037,56.225,,,56.225,56.225,47.69
45,22,Univ of Evansville,57.262,,,57.262,56.228,,,56.228,53.664,1,1,75.664,55.790,2,,59.790,56.228,47.65
46,90,Lehigh Univ,56.661,2,,60.661,54.441,1,,56.441,58.708,2,1,82.708,56.593,1,1,78.593,56.441,45.35
47,82,Univ of Central Florida,60.342,2,1,84.342,57.979,,1,77.979,58.393,,,58.393,57.076,,,57.076,57.076,38.59
48,112U,niv of Texas - San Antonio,60.193,,,60.193,57.221,,,57.221,62.303,,,62.303,57.563,,,57.563,57.221,37.07
49,71,Univ of Pittsburgh - Pittsburgh,54.921,5,,64.921,59.942,,,59.942,57.291,,,57.291,,,,DNA,57.291,36.33
50,89,Kumoh National Institute of Technology,60.001,1,,62.001,58.603,,,58.603,66.251,,,66.251,57.652,,,57.652,57.652,32.58
51,35,Brown Univ,58.078,,,58.078,59.155,,,59.155,61.685,,,61.685,,,,DNA,58.078,28.22
52,117N,orth Carolina State Univ - Raleigh,63.510,,2,103.510,60.100,,,60.100,56.427,1,,58.427,56.103,1,,58.103,58.103,27.96
53,123S,outhern Illinois Univ - Carbondale,64.131,,,64.131,61.579,,,61.579,60.454,,,60.454,58.303,,,58.303,58.303,25.94
54,19,Northwestern Univ,62.657,,,62.657,58.586,1,,60.586,66.170,,,66.170,58.595,,,58.595,58.595,23.01
55,16,US Air Force Academy,63.292,,,63.292,58.759,,,58.759,67.805,,,67.805,65.063,,1,85.063,58.759,21.37
56,23,Georgia Institute of Technology,62.222,,,62.222,59.819,,,59.819,,,,DNA,,,,DNA,59.819,11.03
57,115Ok,lahoma State Univ,66.024,1,,68.024,60.437,,,60.437,63.327,3,1,89.327,62.071,5,1,92.071,60.437,7.5
57,34,Saginaw Valley State Univ,60.496,,,60.496,63.234,1,,65.234,,,,DNA,,,,DNA,60.496,7.5
57,74,Michigan Tech Univ,70.373,1,,72.373,57.562,2,2,101.562,62.159,,,62.159,56.806,2,,60.806,60.806,7.5
57,32,Universite de Sherbrooke,60.116,1,,62.116,63.311,,,63.311,,,,DNA,,,,DNA,62.116,7.5
57,69,Univ of New Hampshire,62.920,1,1,84.920,,,,,67.329,,,67.329,62.135,,,62.135,62.135,7.5
57,44,Queen's Univ - Ontario Canada,60.596,1,,62.596,,,,,,,,DNA,,,,DNA,62.596,7.5
57,96,Univ of Connecticut,65.913,,,65.913,62.617,,,62.617,67.286,,1,87.286,128.242,2,,132.242,62.617,7.5
57,40,California State Poly Univ - Pomona,,,,,58.729,2,,62.729,,,,DNA,,,,DNA,62.729,7.5
57,97,Turabo Univ,64.176,2,,68.176,73.032,,1,93.032,64.699,,,64.699,62.997,,,62.997,62.997,7.5
