Place,CarNum,Team,Time,Laps,Cones,OffCourse,OtherPenalty,AdjTime,EnduranceScore
1,3,Graz Technical Univ,1414.256,20,1,,,1416.256,300
2,14,Universitat Stuttgart,1439.786,20,2,,,1443.786,284.6
3,12,FH - Joanneum Graz,1475.635,20,,,,1475.635,267.6
4,129,Carleton Univ,1463.445,20,,1,,1483.445,263.5
5,23,Michigan State Univ,1473.364,20,2,1,,1497.364,256.4
6,43,California Polytechnic State Univ-SLO,1479.432,20,3,1,,1505.432,252.3
7,1,Oregon State Univ,1509.361,20,,,,1509.361,250.3
8,16,Missouri University of Science and Tech,1506.840,20,4,,,1514.840,247.6
9,8,Univ of Michigan - Dearborn,1541.749,20,4,,,1549.749,230.6
10,34,Louisiana State Univ,1557.308,20,,,,1557.308,227.0
11,15,Univ of Wisconsin - Madison,1538.560,20,1,1,,1560.560,225.5
12,13,Faculdade de Engenharia de Sorocaba,1565.993,20,4,,,1573.993,219.3
13,62,Universite de Sherbrooke,1569.644,20,3,,,1575.644,218.5
14,37,Penn State Univ - University Park,1580.060,20,5,1,,1610.060,203.0
15,46,Rensselaer Polytechnic Inst,1614.526,20,2,,,1618.526,199.3
16,42,Univ of Pittsburgh - Pittsburgh,1613.579,20,3,,,1619.579,198.9
17,5,Univ of Michigan - Ann Arbor,1623.327,20,1,,,1625.327,196.4
18,4,Kookmin Univ,1623.217,20,2,,,1627.217,195.6
19,26,Univ of Central Florida,1617.259,20,1,1,,1639.259,190.4
20,104,Univ of Illinois - Urbana Champaign,1630.701,20,5,,,1640.701,189.8
21,74,Univ of Cincinnati,1640.741,20,,,,1640.741,189.8
22,7,National Univ of Singapore,1644.456,20,,,,1644.456,188.2
23,2,Univ of Florida,1582.951,20,1,3,,1644.951,188.0
24,21,Univ of Victoria,1650.141,20,1,,,1652.141,185.0
25,97,Minnesota State University - Mankato,1652.521,20,,,,1652.521,184.8
26,116,Univ of Toledo,1669.430,20,,,,1669.430,177.8
27,128,San Jose State University,1662.951,20,,1,,1682.951,172.3
28,11,Polytechnique Montréal,1666.733,20,1,1,,1688.733,170.0
29,115,Cornell Univ,1690.201,20,,,,1690.201,169.4
30,81,Auburn Univ,1625.726,20,4,3,,1693.726,168.0
31,80,Univ of Texas - Arlington,1626.854,20,6,3,,1698.854,166.0
32,100,Saginaw Valley State Univ,1706.308,20,,,,1706.308,163.1
33,52,Univ of Minnesota - Twin Cities,1690.979,20,1,1,,1712.979,160.5
34,19,Texas Tech Univ,1667.073,20,3,2,,1713.073,160.4
35,105,Univ of Connecticut,1675.770,20,,2,,1715.770,159.4
36,32,Univ of Maryland - College Park,1672.196,20,2,2,,1716.196,159.2
37,85,Concordia University,1717.259,20,1,,,1719.259,158.0
