Place,CarNum,Team,Penalty,CostScore,PresentationScore,DesignScore,AccelerationScore,SkidPadScore,AutocrossScore,EnduranceScore,EfficiencyScore,TotalScore
1,14,Universitat Stuttgart,,74.8,66.8,150,61.0,50.0,143.8,284.6,90.7,921.7
2,3,Graz Technical Univ,,57.0,55.7,113,58.5,38.6,150.0,300.0,98.3,871.1
3,12,FH - Joanneum Graz,,58.6,53.0,135,69.8,41.4,131.6,267.6,81.6,838.6
4,1,Oregon State Univ,,56.6,63.9,100,60.8,48.8,139.8,250.3,97.7,817.9
5,23,Michigan State Univ,,62.4,58.2,116,75.0,33.3,113.2,256.4,48.7,763.2
6,15,Univ of Wisconsin - Madison,,64.4,62.4,130,53.7,30.0,100.0,225.5,68.8,734.8
7,16,Missouri University of Science and Tech,,65.3,61.5,100,46.9,32.9,114.6,247.6,54.8,723.4
8,8,Univ of Michigan - Dearborn,,70.1,49.2,100,60.9,36.6,106.2,230.6,60.9,714.6
9,2,Univ of Florida,,65.1,65.1,108,64.3,23.7,116.9,188.0,56.2,687.2
10,93,Fachhochschule Hamburg,,56.2,49.7,119,61.9,34.5,130.6,120.0,80.9,652.8
11,42,Univ of Pittsburgh - Pittsburgh,,67.3,59.1,100,60.7,13.3,93.6,198.9,56.7,649.5
12,7,National Univ of Singapore,,63.9,75.0,110,44.5,34.1,61.9,188.2,71.6,649.3
13,129,Carleton Univ,,67.2,52.5,100,,17.1,62.4,263.5,76.6,639.2
14,74,Univ of Cincinnati,,59.5,51.1,100,43.4,31.1,82.7,189.8,77.4,635.0
15,81,Auburn Univ,,65.0,56.5,100,73.0,34.6,80.4,168.0,56.4,633.9
16,128,San Jose State University,,64.8,55.4,100,45.7,40.4,86.4,172.3,59.1,624.2
17,97,Minnesota State University - Mankato,,62.8,43.9,100,43.7,20.3,96.6,184.8,72.1,624.1
18,52,Univ of Minnesota - Twin Cities,,65.1,54.3,106,56.4,36.1,112.0,160.5,29.4,619.7
19,13,Faculdade de Engenharia de Sorocaba,,66.8,38.1,80,51.3,19.9,76.9,219.3,65.8,618.0
20,43,California Polytechnic State Univ-SLO,,68.3,41.8,80,37.4,14.4,7.5,252.3,100.0,601.7
21,116,Univ of Toledo,,64.7,30.5,80,62.1,33.2,80.9,177.8,68.8,598.0
22,11,Polytechnique Montréal,,71.1,56.3,80,44.0,16.4,64.1,170.0,94.3,596.2
23,115,Cornell Univ,,59.3,53.1,100,69.7,26.4,80.6,169.4,36.3,594.8
24,80,Univ of Texas - Arlington,,62.7,56.0,100,67.3,26.9,65.3,166.0,48.2,592.4
25,4,Kookmin Univ,,73.5,51.7,100,52.9,29.0,84.8,195.6,,587.5
26,105,Univ of Connecticut,,62.5,48.8,80,59.0,12.2,78.2,159.4,79.4,579.6
27,21,Univ of Victoria,,66.2,51.4,80,56.1,7.3,54.0,185.0,74.7,574.6
28,104,Univ of Illinois - Urbana Champaign,,64.8,69.7,100,,,118.9,189.8,30.0,573.1
29,34,Louisiana State Univ,-50,68.0,60.6,80,51.4,26.0,58.5,227.0,48.5,570.1
30,100,Saginaw Valley State Univ,,65.8,64.5,80,58.4,25.4,80.6,163.1,30.4,568.2
31,26,Univ of Central Florida,,65.6,47.6,80,48.7,21.0,58.2,190.4,56.7,568.2
32,32,Univ of Maryland - College Park,,62.2,51.9,80,38.0,15.9,79.5,159.2,72.0,558.7
33,18,Florida Atlantic Univ,,67.5,42.7,80,63.0,16.9,81.4,128.3,72.6,552.4
34,85,Concordia University,,52.7,47.3,80,54.0,27.0,52.2,158.0,66.4,537.7
35,62,Universite de Sherbrooke,-50,60.1,38.0,80,48.2,5.9,60.1,218.5,73.5,534.3
36,61,Rochester Institute of Technology,,-9.0,44.1,100,50.7,28.7,82.9,151.2,78.2,526.7
37,99,Duke Univ,,68.4,60.7,80,40.4,12.4,47.2,156.5,52.9,518.5
38,19,Texas Tech Univ,,63.3,38.1,80,27.9,15.8,46.0,160.4,86.2,517.8
39,37,Penn State Univ - University Park,,64.1,48.5,60,57.5,30.3,48.6,203.0,,512.0
40,122,Univ of British Columbia,,65.0,48.8,80,62.8,25.9,70.4,89.3,69.6,511.8
41,57,US Naval Academy,,59.8,58.2,100,50.8,2.5,69.6,86.2,83.2,510.4
42,76,Univ of Alabama - Tuscaloosa,,66.5,55.3,80,36.4,14.2,46.7,135.8,67.2,502.1
43,59,Univ of North Carolina - Charlotte,,70.4,44.1,80,38.5,17.4,62.5,155.5,29.4,497.7
44,47,The Ohio State University,,60.3,58.8,100,51.6,31.6,107.2,16,66.6,492.1
45,39,McGill Univ,,60.4,46.7,100,46.9,13.9,31.8,110.6,79.0,489.4
46,5,Univ of Michigan - Ann Arbor,,66.6,59.5,100,8.3,8.3,49.4,196.4,,488.5
47,83,Univ of South Florida,,66.8,38.7,80,56.9,9.9,66.5,97.9,69.5,486.2
48,78,North Carolina State Univ - Raleigh,,60.0,40.5,70,59.7,26.8,36.5,139.0,47.8,480.2
49,95,Columbia Univ,,64.5,44.8,80,65.1,7.6,7.5,135.5,74.9,480.0
50,87,Univ of Missouri,,70.0,52.2,60,44.3,23.7,69.1,121.7,31.9,473.0
51,44,Clemson Univ,,56.1,43.4,60,47.0,20.9,40.1,151.6,52.6,471.7
52,46,Rensselaer Polytechnic Inst,,66.5,38.1,60,,,51.3,199.3,51.5,466.7
53,132,Northwestern Univ,,63.5,59.1,80,44.6,8.9,41.5,70.0,90.1,457.7
54,91,Georgia Institute of Technology,,62.5,49.2,90,51.2,27.0,102.9,12,59.8,454.6
55,66,Kettering Univ,,71.0,46.8,100,42.7,19.1,73.7,19,70.9,443.0
56,107,Univ of Minnesota-Duluth,,55.1,44.0,60,32.2,2.5,48.6,146.1,52.1,440.6
57,130,Ecole De Technologie Superieure,,68.5,50.0,122,42.3,40.6,116.9,,,440.4
58,69,Kennesaw State University,,78.2,49.1,80,38.9,31.6,72.3,61.1,27.8,439.0
59,138,Univ of Akron,,63.4,57.4,105,58.4,37.6,85.5,10,,417.3
60,29,West Virginia Univ,,67.7,44.3,60,,22.3,73.0,82.9,64.8,415.0
61,25,Central Michigan Univ,,69.5,40.9,60,53.4,7.5,21.6,102.4,55.0,410.3
62,79,Villanova Univ,,75.6,60.8,100,72.2,17.7,69.4,10,,405.8
63,22,Univ of New Hampshire,,63.6,44.1,50,19.7,5.5,28.2,97.6,95.9,404.6
64,48,Georgia Southern Univ,,68.2,45.9,80,38.7,12.5,59.0,15,66.9,386.1
65,20,Univ of Kansas - Lawrence,,73.8,50.7,100,45.4,6.6,85.1,13,,374.5
66,92,Wayne State Univ,,79.8,61.8,100,35.2,10.1,48.3,19,,354.3
67,58,Worcester Polytechnic Inst,,50.7,38.4,80,,5.7,14.2,92.0,70.8,351.8
68,49,Tennessee Tech Univ,,96.4,66.4,80,29.4,16.6,40.1,4,,333.0
69,30,Universite Du Quebec a Trois-Rivieres,,68.5,52.4,60,,6.2,50.2,19,75.8,332.1
70,120,Univ of Toronto,,71.3,64.5,60,42.1,12.9,66.2,10,,326.9
71,123,Kansas State Univ,,61.8,43.3,80,3.5,11.3,36.5,17,64.6,318.0
72,88,Université Laval,,60.2,38.1,60,62.5,22.4,62.3,10,,315.5
73,17,Universit Degli Studi Di Brescia,,62.1,44.5,100,43.0,16.0,45.8,1,,312.3
74,60,Washington Univ - St Louis,,62.4,49.0,60,58.1,8.5,35.1,15,19.2,307.3
75,40,Rose Hulman Inst of Tech,,65.0,47.0,100,,23.3,65.9,3,,304.2
76,6,Virginia Tech,,59.4,60.2,100,48.3,33.8,,2,,303.7
77,68,Hope College,,64.6,49.5,60,20.9,13.4,62.8,20,,291.2
78,94,Florida Inst of Tech,,64.8,48.1,60,49.5,2.5,47.3,18,,290.3
79,45,Queen's Univ - Ontario Canada,,61.7,53.6,80,49.7,2.5,42.8,,,290.3
80,124,South Dakota State Univ,,58.4,22.9,60,58.0,28.7,51.8,10,,289.7
81,98,Embry-Riddle Aero Univ - Daytona Beach,,53.0,50.1,60,56.5,11.0,57.4,,,288.0
82,75,Old Dominion Univ,-20,57.4,46.6,80,,,24.3,57.0,39.5,284.8
83,82,Cooper Union,,63.6,55.8,60,39.5,10.3,42.6,2,,273.8
84,114,Universite Du Quebec-Chicoutimi,,75.5,36.9,60,37.0,3.4,50.7,10,,273.6
85,50,Lakehead Univ,,56.9,7.3,60,,5.6,7.6,84.4,47.9,269.6
86,101,Universidad Simon Bolivar,,75.9,49.3,80,25.5,26.8,7.5,3,,268.0
87,118,Univ of Waterloo,,66.9,32.7,80,11.7,2.5,67.7,4,,265.5
88,96,Michigan Tech Univ,,-23.0,65.0,60,50.9,20.2,70.2,20,,263.3
89,121,Univ of Kentucky,,-50.5,46.8,60,51.4,2.5,64.3,58.7,26.6,259.9
90,67,Purdue Univ - W Lafayette,,57.4,47.3,80,,,58.9,7,,250.6
91,54,Oklahoma State Univ,,62.1,38.4,10,,2.5,52.0,12,53.3,230.3
92,10,Western University,,60.9,65.8,100,,,,,,226.7
93,108,Univ of Hartford,,66.4,26.7,60,,2.5,42.7,18,,216.2
94,65,US Air Force Academy,,38.4,54.7,60,3.5,9.4,41.0,7,,214.0
95,73,Florida International Univ,,53.9,41.0,60,11.9,17.5,7.5,20,,211.8
96,56,Univ of Saskatchewan,,73.7,50.6,60,,2.5,7.5,13,,207.2
97,102,Rutgers Univ,,62.0,54.2,80,,,,,,196.2
98,51,Purdue Univ - Calumet,,63.0,44.6,60,3.5,2.5,7.5,3,,184.2
99,33,Ferris State University,,57.9,32.8,60,,2.5,7.5,20,,180.6
100,55,Lawrence Technological Univ,,57.8,62.2,60,,,,,,180.0
101,63,Ryerson Univ,,52.8,60.4,60,,,,,,173.2
102,72,Univ of North Florida,,60.0,35.0,70,,,,,,165.1
103,109,Bradley Univ,,62.4,40.7,60,,,,,,163.1
104,53,Brown Univ,,64.6,38.4,60,,,,,,163.0
105,90,Colorado Mesa University,,71.3,37.9,40,,,,,,149.2
106,77,Clarkson University,,55.5,30.6,40,12.3,2.5,,,,140.9
107,89,Univ of Utah,,48.5,10.7,80,,,,,,139.1
108,112,Universidad Autonoma Estado Mexico,,73.7,22.9,30,,2.5,,10,,139.1
109,27,Lafayette College,-50,60.6,41.4,60,15.0,2.5,7.5,,,136.9
110,127,Washington State Univ,,43.3,32.9,60,,,,,,136.3
111,113,Univ of Guelph,-50,58.4,42.0,60,,2.5,20.5,1,,134.4
112,103,Southern Illinois Univ - Edwardville,,58.0,29.0,40,,,,,,127.0
113,35,Universidad Metropolitana,,69.8,43.0,,,,,,,112.9
114,36,Turabo Univ,,53.9,,40,,,7.5,1,,102.4
115,106,Lehigh Univ,-100,54.3,39.7,10,,,,,,25.0
,38,Univ of Puerto Rico-Mayaquez,,,35.1,,,,,,,
,41,York College of Pa,,,,,,,,,,withdrawn
,64,Mississippi State Univ,,,,,,,,,,withdrawn
,70,Univ of Evansville,,,,,,,,,,withdrawn
,117,Univ of Windsor,,,,,,,,,,withdrawn
