Team,CarNum,Lap1,Lap2,Lap3,Lap4,Lap5,Lap6,Lap7,Lap8,Lap9,Lap10,Lap11,Lap12,Lap13,Lap14,Lap15,Lap16,Lap17,Lap18,Lap19,Lap20,Lap21,Lap22
Univ of Minnesota - Twin Cities,52,76.900,76.267,74.722,74.979,78.924,76.099,75.135,78.200,83.786,82.733,,86.360,103.786,93.715,97.340,92.996,88.624,87.081,87.212,87.168,88.952,
Oklahoma State Univ,54,105.033,89.850,92.521,85.403,96.853,91.399,97.618,97.547,101.194,92.674,,80.446,79.498,,,,,,,,,
Univ of Saskatchewan,56,101.939,95.613,101.148,97.654,103.286,99.675,98.104,99.044,96.978,96.977,,114.133,102.775,105.524,,,,,,,,
US Naval Academy,57,85.165,89.609,99.256,94.880,93.760,97.449,94.770,91.952,91.254,91.102,,98.883,100.954,95.313,95.259,95.217,93.437,96.673,95.895,92.284,90.729,
Worcester Polytechnic Inst,58,103.749,97.318,93.893,93.141,98.625,91.692,95.120,90.668,88.909,91.039,,95.814,92.414,92.186,88.953,88.087,90.007,85.993,101.161,89.676,88.762,
Univ of North Carolina - Charlotte,59,82.056,78.141,75.175,74.902,76.559,77.518,75.999,77.558,77.393,77.182,,211.100,83.091,80.878,85.233,77.829,83.999,85.553,83.276,81.582,80.878,
Washington Univ - St Louis,60,121.279,116.860,98.186,97.044,94.897,94.011,95.927,105.081,93.039,95.686,,92.228,93.673,87.715,89.406,89.923,,,,,,
Rochester Institute of Technology,61,90.449,85.989,86.540,,84.298,86.060,87.258,120.253,82.394,82.968,82.499,,87.516,86.999,85.498,83.890,79.553,78.327,77.804,78.286,83.395,83.087
Universite de Sherbrooke,62,93.456,82.813,82.355,79.380,82.891,78.218,76.493,76.966,76.749,76.824,,80.088,79.477,77.474,77.794,74.190,76.593,74.016,73.900,75.754,74.213,
US Air Force Academy,65,108.430,97.632,95.051,92.515,90.860,107.513,109.894,,,,,,,,,,,,,,,
Kettering Univ,66,97.501,93.949,91.936,89.569,88.458,88.535,88.674,88.796,90.000,93.616,,99.770,93.616,92.401,,97.573,94.086,91.092,87.485,89.805,93.928,
Purdue Univ - W Lafayette,67,81.151,83.030,79.748,83.230,82.552,82.827,95.068,,,,,,,,,,,,,,,
