Place,CarNum,Team,AdjustedCost,PriceScore,CostAccuracy,EngineeringDesign,ScenarioScore,Penalty,Score
1,49,Tennessee Tech Univ,"$5,507",40,17.44,19,20,,96.44
2,92,Wayne State Univ,"$9,334",20.77,20,19,20,,79.77
3,69,Kennesaw State University,"$8,376",23.93,16.29,19,19,,78.22
4,101,Universidad Simon Bolivar,"$10,494",17.71,19.18,19,20,,75.88
5,79,Villanova Univ,"$9,171",21.26,18.35,16,20,,75.61
6,114,Universite Du Quebec-Chicoutimi,"$8,851",22.28,16.2,19,18,,75.48
7,14,Universitat Stuttgart,"$10,502",17.69,17.11,20,20,,74.8
8,20,Univ of Kansas - Lawrence,"$12,489",13.78,20,20,20,,73.78
9,112,Universidad Autonoma Estado Mexico,"$8,488",23.53,19.18,15,16,,73.7
10,56,Univ of Saskatchewan,"$10,556",17.56,17.11,19,20,,73.68
11,4,Kookmin Univ,"$10,375",17.99,17.53,18,20,,73.51
12,90,Colorado Mesa University,"$12,291",14.11,19.18,20,18,,71.29
13,120,Univ of Toronto,"$11,201",16.16,17.11,18,20,,71.27
14,11,Polytechnique Montréal,"$12,522",13.72,18.35,20,19,,71.07
15,66,Kettering Univ,"$10,709",17.21,18.76,15,20,,70.98
16,59,Univ of North Carolina - Charlotte,"$12,767",13.33,17.11,20,20,,70.44
17,8,Univ of Michigan - Dearborn,"$12,755",13.35,18.76,18,20,,70.11
18,87,Univ of Missouri,"$12,701",13.43,19.59,17,20,,70.02
19,35,Universidad Metropolitana,"$12,414",13.9,17.94,18,20,,69.84
20,25,Central Michigan Univ,"$8,999",21.8,16.7,16,15,,69.5
21,130,Ecole De Technologie Superieure,"$15,495",9.76,18.76,20,20,,68.53
22,30,Universite Du Quebec a Trois-Rivieres,"$12,801",13.27,19.18,19,17,,68.45
23,99,Duke Univ,"$14,201",11.28,19.09,20,18,,68.37
24,43,California Polytechnic State Univ-SLO,"$14,357",11.09,19.18,18,20,,68.26
25,48,Georgia Southern Univ,"$9,185",21.21,12.99,16,18,,68.2
26,34,Louisiana State Univ,"$13,007",12.95,15.05,20,20,,68
27,29,West Virginia Univ,"$10,677",17.29,17.44,16,17,,67.72
28,18,Florida Atlantic Univ,"$13,983",11.57,17.94,20,18,,67.51
29,42,Univ of Pittsburgh - Pittsburgh,"$13,927",11.64,16.7,19,20,,67.34
