Place,CarNum,Team,AvgLapAdjTime,CompletedLaps,FuelUsed_L,CO2_kg,CO2PerLap,FuelType,FuelEfficiency,Score
62,52,Univ of Minnesota - Twin Cities,85.649,20,5.499,12.702,0.6351,93,0.337,29.4
63,59,Univ of North Carolina - Charlotte,86.295,20,5.458,12.607,0.6304,93,0.337,29.4
64,69,Kennesaw State University,100.674,20,4.741,10.951,0.5476,93,0.332,27.8
65,121,Univ of Kentucky,101.093,20,4.766,11.009,0.5505,93,0.329,26.6
66,60,Washington Univ - St Louis,97.797,15,3.916,9.045,0.6030,93,0.311,19.2
,73,Florida International Univ,114.796,20,3.213,7.422,0.3711,93,,0
,33,Ferris State University,118.632,20,3.475,8.027,0.4014,93,,0
,108,Univ of Hartford,112.628,18,3.957,9.140,0.5078,100,,0
,96,Michigan Tech Univ,103.234,20,4.926,11.379,0.5690,93,,0
,68,Hope College,132.410,20,5.279,12.194,0.6097,93,,0
,94,Florida Inst of Tech,120.862,18,4.886,11.286,0.6270,93,,0
,5,Univ of Michigan - Ann Arbor,81.266,20,5.989,13.834,0.6917,93,,0
,37,Penn State Univ - University Park,80.503,20,6.148,14.201,0.7101,100,,0
,92,Wayne State Univ,85.126,19,5.843,13.497,0.7104,100,,0
,20,Univ of Kansas - Lawrence,82.973,13,5.631,9.291,0.7147,E85,,0
,4,Kookmin Univ,81.361,20,6.550,15.130,0.7565,100,,0
,114,Universite Du Quebec-Chicoutimi,83.541,10,3.549,8.198,0.8198,100,,0
,56,Univ of Saskatchewan,100.988,13,4.971,11.483,0.8833,93,,0
