Place,CarNum,Team,AvgLapAdjTime,CompletedLaps,FuelUsed_L,CO2_kg,CO2PerLap,FuelType,FuelEfficiency,Score
1,43,California Polytechnic State Univ-SLO,75.272,20,2.606,6.019,0.3010,100,0.809,100
2,3,Graz Technical Univ,70.813,20,2.865,6.618,0.3309,100,0.782,98.3
3,1,Oregon State Univ,75.468,20,2.717,6.276,0.3138,93,0.774,97.7
4,22,Univ of New Hampshire,94.572,20,2.241,5.176,0.2588,100,0.749,95.9
5,11,Polytechnique Montréal,84.437,20,2.586,5.973,0.2987,100,0.727,94.3
6,14,Universitat Stuttgart,72.189,20,4.507,7.436,0.3718,E85,0.683,90.7
7,132,Northwestern Univ,99.112,20,2.369,5.472,0.2736,93,0.676,90.1
8,19,Texas Tech Univ,85.654,20,2.919,6.742,0.3371,93,0.635,86.2
9,57,US Naval Academy,96.392,20,2.712,6.264,0.3132,93,0.607,83.2
10,12,FH - Joanneum Graz,73.782,20,3.630,8.385,0.4193,93,0.592,81.6
11,93,Fachhochschule Hamburg,91.188,20,2.968,6.856,0.3428,100,0.586,80.9
12,105,Univ of Connecticut,85.789,20,3.220,7.438,0.3719,93,0.574,79.4
13,39,McGill Univ,92.576,20,4.201,6.931,0.3466,E85,0.571,79.0
14,61,Rochester Institute of Technology,86.853,20,3.237,7.477,0.3739,100,0.564,78.2
15,74,Univ of Cincinnati,82.037,20,3.465,8.004,0.4002,93,0.558,77.4
16,129,Carleton Univ,74.172,20,3.874,8.948,0.4474,93,0.552,76.6
17,30,Universite Du Quebec a Trois-Rivieres,84.272,19,3.272,7.558,0.3978,93,0.547,75.8
18,95,Columbia Univ,88.979,20,3.302,7.627,0.3814,93,0.540,74.9
19,21,Univ of Victoria,82.607,20,3.388,7.826,0.4119,100,0.539,74.7
20,62,Universite de Sherbrooke,78.782,20,3.798,8.773,0.4387,93,0.530,73.5
21,18,Florida Atlantic Univ,89.993,20,3.367,7.777,0.3889,100,0.524,72.6
22,97,Minnesota State University - Mankato,82.626,20,5.165,8.522,0.4261,E85,0.521,72.1
23,32,Univ of Maryland - College Park,85.810,20,3.735,8.627,0.4108,93,0.520,72.0
24,7,National Univ of Singapore,82.223,20,3.729,8.613,0.4307,93,0.518,71.6
25,66,Kettering Univ,94.252,19,4.585,7.565,0.3792,E85,0.513,70.9
26,58,Worcester Polytechnic Inst,95.460,20,3.247,7.500,0.3750,93,0.512,70.8
27,122,Univ of British Columbia,95.890,20,3.281,7.579,0.3790,93,0.504,69.6
28,83,Univ of South Florida,94.523,20,4.667,7.700,0.3850,E85,0.504,69.5
29,116,Univ of Toledo,83.472,20,5.591,9.225,0.4393,E85,0.500,68.8
30,15,Univ of Wisconsin - Madison,78.028,20,5.702,9.408,0.4704,E85,0.499,68.8
31,76,Univ of Alabama - Tuscaloosa,88.942,20,3.641,8.410,0.4205,93,0.490,67.2
32,48,Georgia Southern Univ,82.789,15,2.946,6.805,0.4537,93,0.488,66.9
33,47,The Ohio State University,76.082,16,4.803,7.924,0.4953,E85,0.486,66.6
34,85,Concordia University,85.963,20,3.802,8.782,0.4391,93,0.486,66.4
35,13,Faculdade de Engenharia de Sorocaba,78.700,20,4.187,9.671,0.4836,100,0.482,65.8
36,29,West Virginia Univ,96.944,20,4.810,7.936,0.3968,E85,0.476,64.8
37,123,Kansas State Univ,90.424,17,4.394,7.250,0.4265,E85,0.475,64.6
38,8,Univ of Michigan - Dearborn,77.487,20,6.295,10.386,0.5193,E85,0.455,60.9
39,91,Georgia Institute of Technology,82.434,12,2.567,5.929,0.4941,93,0.450,59.8
40,128,San Jose State University,84.148,20,5.911,9.753,0.4877,E85,0.447,59.1
41,42,Univ of Pittsburgh - Pittsburgh,80.979,20,4.505,10.406,0.5203,93,0.435,56.7
42,26,Univ of Central Florida,81.963,20,4.452,10.284,0.5142,93,0.435,56.7
43,81,Auburn Univ,84.686,20,4.539,10.485,0.4993,93,0.433,56.4
44,2,Univ of Florida,82.248,20,4.460,10.302,0.5151,93,0.433,56.2
45,25,Central Michigan Univ,93.824,20,3.957,9.140,0.4570,93,0.427,55.0
46,16,Missouri University of Science and Tech,75.742,20,4.915,11.353,0.5677,100,0.426,54.8
47,54,Oklahoma State Univ,97.170,12,2.333,5.389,0.4491,93,0.420,53.3
48,99,Duke Univ,86.162,20,4.403,10.170,0.5085,100,0.418,52.9
49,44,Clemson Univ,86.810,20,4.386,10.131,0.5066,93,0.417,52.6
50,107,Univ of Minnesota-Duluth,87.541,20,4.371,10.097,0.5049,93,0.415,52.1
51,46,Rensselaer Polytechnic Inst,80.926,20,4.758,10.990,0.5495,93,0.412,51.5
52,23,Michigan State Univ,74.868,20,5.290,12.219,0.6110,93,0.401,48.7
53,34,Louisiana State Univ,77.865,20,5.096,11.771,0.5886,93,0.400,48.5
54,80,Univ of Texas - Arlington,84.943,20,4.683,10.817,0.5409,100,0.399,48.2
55,50,Lakehead Univ,96.685,20,4.129,9.537,0.4769,93,0.397,47.9
56,78,North Carolina State Univ - Raleigh,88.502,20,4.515,10.429,0.5215,100,0.397,47.8
57,75,Old Dominion Univ,101.409,20,4.256,9.831,0.4916,93,0.368,39.5
58,115,Cornell Univ,84.510,20,7.729,12.752,0.6072,E85,0.357,36.3
59,87,Univ of Missouri,90.944,20,5.071,11.714,0.5857,93,0.344,31.9
60,100,Saginaw Valley State Univ,85.315,20,5.751,13.284,0.6326,100,0.340,30.4
61,104,Univ of Illinois - Urbana Champaign,82.035,20,5.714,13.199,0.6600,93,0.339,30.0
