Place,CarNum,Team,Run1_Time,Run1_Cones,Run1_OffCourse,Run1_AdjTime,Run2_Time,Run2_Cones,Run2_OffCourse,Run2_AdjTime,Run3_Time,Run3_Cones,Run3_OffCourse,Run3_AdjTime,Run4_Time,Run4_Cones,Run4_OffCourse,Run4_AdjTime,BestTime,Score
1,3,Graz Technical Univ,48.848,,,48.848,48.672,,,48.672,45.988,,,45.988,45.479,,,45.479,45.479,150
2,14,Universitat Stuttgart,48.602,,,48.602,46.900,,,46.900,48.862,1,,50.862,46.102,,,46.102,46.102,143.8
3,1,Oregon State Univ,51.861,,,51.861,48.965,,,48.965,46.511,,,46.511,,,,DNA,46.511,139.81
4,12,FH - Joanneum Graz,47.377,,,47.377,48.155,,,48.155,48.862,,,48.862,48.200,,,48.200,47.377,131.61
5,93,Fachhochschule Hamburg,48.872,1,,50.872,116.910,,,116.910,47.482,,,47.482,,,,DNA,47.482,130.63
6,104,Univ of Illinois - Urbana Champaign,50.060,,,50.060,48.785,,,48.785,,,,DNA,,,,DNA,48.785,118.88
7,130,Ecole De Technologie Superieure,51.357,,,51.357,49.009,,,49.009,,,,DNA,,,,DNA,49.009,116.93
8,2,Univ of Florida,50.487,,,50.487,49.016,,,49.016,,,,DNA,,,,DNA,49.016,116.87
9,16,Missouri University of Science and Tech,65.456,,,65.456,49.279,,,49.279,50.421,,,50.421,50.452,,,50.452,49.279,114.59
10,23,Michigan State Univ,52.524,,,52.524,50.777,,,50.777,51.562,,,51.562,49.436,,,49.436,49.436,113.25
11,52,Univ of Minnesota - Twin Cities,51.190,,,51.190,49.580,,,49.580,53.430,1,,55.430,59.201,,1,79.201,49.580,112.02
12,47,The Ohio State University,51.463,,,51.463,50.160,,,50.160,,,,DNA,,,,DNA,50.160,107.15
13,8,Univ of Michigan - Dearborn,52.715,,,52.715,50.269,,,50.269,,,,DNA,,,,DNA,50.269,106.25
14,91,Georgia Institute of Technology,52.950,,,52.950,52.614,,,52.614,52.910,,,52.910,50.673,,,50.673,50.673,102.94
15,15,Univ of Wisconsin - Madison,53.885,,,53.885,52.238,1,,54.238,51.889,,,51.889,51.033,,,51.033,51.033,100.03
16,97,Minnesota State University - Mankato,58.081,,,58.081,54.877,,,54.877,52.364,,,52.364,51.465,,,51.465,51.465,96.59
17,42,Univ of Pittsburgh - Pittsburgh,56.218,,,56.218,56.283,,1,76.283,52.088,,,52.088,51.854,,,51.854,51.854,93.55
18,128,San Jose State University,61.478,,1,81.478,50.787,1,,52.787,,,,DNA,,,,DNA,52.787,86.43
19,138,Univ of Akron,52.908,,,52.908,53.916,,,53.916,,,,DNA,,,,DNA,52.908,85.53
20,20,Univ of Kansas - Lawrence,55.327,,,55.327,52.960,,,52.960,,,,DNA,,,,DNA,52.960,85.14
21,4,Kookmin Univ,53.131,,,53.131,96.507,,,96.507,51.006,1,,53.006,,,,DNA,53.006,84.8
22,61,Rochester Institute of Technology,54.666,,,54.666,53.266,,,53.266,,,,DNA,,,,DNA,53.266,82.88
23,74,Univ of Cincinnati,55.916,,,55.916,53.293,,,53.293,55.205,,,55.205,51.824,3,1,77.824,53.293,82.68
24,18,Florida Atlantic Univ,54.792,,,54.792,53.470,,,53.470,61.119,1,1,83.119,,,,DNA,53.470,81.38
25,116,Univ of Toledo,53.533,,,53.533,58.432,,,58.432,,,,DNA,,,,DNA,53.533,80.92
26,115,Cornell Univ,54.557,,,54.557,60.224,,,60.224,53.605,,,53.605,53.571,,,53.571,53.571,80.64
27,100,Saginaw Valley State Univ,55.053,,,55.053,53.573,,,53.573,,,,DNA,,,,DNA,53.573,80.63
28,81,Auburn Univ,54.738,,,54.738,53.611,,,53.611,,,,,,,,DNA,53.611,80.35
29,32,Univ of Maryland - College Park,56.814,,1,76.814,53.730,,,53.730,57.142,,1,77.142,54.582,,,54.582,53.730,79.49
30,105,Univ of Connecticut,60.269,,,60.269,67.334,,,67.334,54.596,,,54.596,53.907,,,53.907,53.907,78.21
31,13,Faculdade de Engenharia de Sorocaba,57.972,,,57.972,54.092,,,54.092,58.680,,,58.680,55.927,,,55.927,54.092,76.89
32,66,Kettering Univ,56.303,,,56.303,54.542,,,54.542,55.870,,,55.870,55.889,,,55.889,54.542,73.7
33,29,West Virginia Univ,58.845,,,58.845,54.638,,,54.638,,,,DNA,,,,DNA,54.638,73.03
34,69,Kennesaw State University,78.036,,,78.036,54.746,,,54.746,58.756,1,,60.756,56.594,,,56.594,54.746,72.28
35,122,Univ of British Columbia,59.302,1,1,81.302,55.010,,,55.010,64.031,1,,66.031,,,,DNA,55.010,70.45
36,96,Michigan Tech Univ,57.559,,,57.559,55.045,,,55.045,57.747,,,57.747,55.904,,,55.904,55.045,70.21
37,57,US Naval Academy,56.726,,,56.726,53.276,1,,55.276,57.771,,,57.771,55.137,,,55.137,55.137,69.57
38,79,Villanova Univ,58.008,,,58.008,55.157,,,55.157,,,,DNA,,,,DNA,55.157,69.44
39,87,Univ of Missouri,55.201,,,55.201,,,,,,,,DNA,,,,DNA,55.201,69.13
40,118,Univ of Waterloo,67.868,1,1,89.868,74.973,,,74.973,58.631,,,58.631,55.416,,,55.416,55.416,67.67
41,83,Univ of South Florida,,,,,55.581,,,55.581,,,,DNA,,,,DNA,55.581,66.55
42,120,Univ of Toronto,57.830,,,57.830,55.637,,,55.637,102.165,,,102.165,,,,DNA,55.637,66.17
43,40,Rose Hulman Inst of Tech,57.430,,,57.430,55.676,,,55.676,,,,DNA,,,,DNA,55.676,65.91
44,80,Univ of Texas - Arlington,57.599,,,57.599,55.761,,,55.761,,,,DNA,,,,DNA,55.761,65.33
45,121,Univ of Kentucky,57.363,,,57.363,55.920,,,55.920,,,,DNA,,,,DNA,55.920,64.27
46,11,Polytechnique Montréal,59.056,,,59.056,61.793,,,61.793,57.893,,,57.893,55.948,,,55.948,55.948,64.08
47,68,Hope College,58.502,,,58.502,56.135,,,56.135,65.788,,,65.788,66.219,,,66.219,56.135,62.84
48,59,Univ of North Carolina - Charlotte,56.731,,,56.731,55.201,,1,75.201,56.192,,,56.192,54.626,1,,56.626,56.192,62.46
49,129,Carleton Univ,56.206,,,56.206,57.553,,,57.553,54.486,2,,58.486,,,,DNA,56.206,62.37
50,88,Université Laval,59.868,,,59.868,56.213,,,56.213,,,,DNA,,,,DNA,56.213,62.32
51,7,National Univ of Singapore,57.229,,,57.229,56.271,,,56.271,56.924,,,56.924,58.733,,,58.733,56.271,61.94
52,62,Universite de Sherbrooke,60.129,,,60.129,56.549,,,56.549,57.621,,1,77.621,56.515,1,,58.515,56.549,60.12
53,48,Georgia Southern Univ,62.476,,,62.476,57.594,,,57.594,60.724,,,60.724,56.726,,,56.726,56.726,58.96
54,67,Purdue Univ - W Lafayette,54.730,1,,56.730,,,,DNA,,,,DNA,,,,DNA,56.730,58.94
55,34,Louisiana State Univ,59.506,,,59.506,56.792,,,56.792,58.326,,,58.326,,,,,56.792,58.54
56,26,Univ of Central Florida,59.788,,1,79.788,56.847,,,56.847,,,,DNA,,,,DNA,56.847,58.18
57,98,Embry-Riddle Aero Univ - Daytona Beach,56.969,,,56.969,60.506,,,60.506,,,,DNA,,,,DNA,56.969,57.39
58,21,Univ of Victoria,72.602,1,,74.602,57.505,,,57.505,,,,DNA,,,,DNA,57.505,53.98
59,85,Concordia University,57.788,,,57.788,55.975,,1,75.975,63.050,1,,65.050,57.968,,,57.968,57.788,52.2
60,54,Oklahoma State Univ,62.182,,,62.182,57.824,,,57.824,,,,DNA,,,,DNA,57.824,51.97
61,124,South Dakota State Univ,59.297,,,59.297,57.848,,,57.848,53.775,,1,73.775,54.915,,1,74.915,57.848,51.82
62,46,Rensselaer Polytechnic Inst,59.414,,,59.414,,,,,57.939,,,57.939,,,,DNA,57.939,51.26
63,114,Universite Du Quebec-Chicoutimi,63.176,,,63.176,58.021,,,58.021,59.873,,,59.873,,,,DNA,58.021,50.75
64,30,Universite Du Quebec a Trois-Rivieres,61.693,,,61.693,58.110,,,58.110,,,,DNA,,,,DNA,58.110,50.2
65,5,Univ of Michigan - Ann Arbor,58.240,,,58.240,,,,,,,,DNA,,,,DNA,58.240,49.39
66,37,Penn State Univ - University Park,59.457,,,59.457,58.363,,,58.363,,,,DNA,,,,DNA,58.363,48.64
67,107,Univ of Minnesota-Duluth,62.048,1,1,84.048,60.066,,1,80.066,58.369,,,58.369,,,,DNA,58.369,48.6
68,92,Wayne State Univ,85.527,1,1,107.527,69.381,,,69.381,60.891,,,60.891,58.411,,,58.411,58.411,48.34
69,94,Florida Inst of Tech,64.832,,,64.832,67.768,,2,107.768,62.823,,,62.823,58.576,,,58.576,58.576,47.34
70,99,Duke Univ,85.643,,,85.643,60.571,,,60.571,59.623,,,59.623,58.599,,,58.599,58.599,47.2
71,76,Univ of Alabama - Tuscaloosa,72.194,,,72.194,56.680,1,,58.680,64.509,,,64.509,60.620,,,60.620,58.680,46.71
72,19,Texas Tech Univ,59.236,,,59.236,56.791,1,,58.791,,,,DNA,,,,DNA,58.791,46.03
73,17,Universit Degli Studi Di Brescia,61.698,,,61.698,61.980,,,61.980,61.564,,,61.564,58.830,,,58.830,58.830,45.8
74,45,Queen's Univ - Ontario Canada,59.333,,,59.333,,,,,,,,DNA,,,,DNA,59.333,42.79
75,108,Univ of Hartford,77.579,,,77.579,59.352,,,59.352,67.920,,,67.920,63.866,,,63.866,59.352,42.68
76,82,Cooper Union,63.599,,,63.599,59.373,,,59.373,,,,DNA,,,,DNA,59.373,42.55
77,132,Northwestern Univ,59.544,,,59.544,59.676,,1,79.676,,,,DNA,,,,DNA,59.544,41.54
78,65,US Air Force Academy,68.332,1,1,90.332,59.643,,,59.643,69.589,,,69.589,64.379,3,,70.379,59.643,40.96
79,44,Clemson Univ,66.479,,,66.479,61.838,,1,81.838,59.788,,,59.788,59.993,,,59.993,59.788,40.11
80,49,Tennessee Tech Univ,62.431,,,62.431,59.792,,,59.792,,,,DNA,,,,DNA,59.792,40.09
81,78,North Carolina State Univ - Raleigh,63.731,,1,83.731,58.405,1,,60.405,109.701,,,109.701,,,,,60.405,36.54
82,123,Kansas State Univ,60.406,,,60.406,62.857,,,62.857,,,,DNA,,,,DNA,60.406,36.54
83,60,Washington Univ - St Louis,60.659,,,60.659,60.534,2,1,84.534,,,,DNA,,,,DNA,60.659,35.1
84,39,McGill Univ,61.239,,,61.239,52.440,,1,72.440,,,,DNA,,,,DNA,61.239,31.83
85,22,Univ of New Hampshire,66.025,,,66.025,61.893,,,61.893,,,,DNA,,,,DNA,61.893,28.23
86,75,Old Dominion Univ,62.620,2,,66.620,60.620,1,,62.620,,,,DNA,,,,DNA,62.620,24.31
87,25,Central Michigan Univ,68.420,,,68.420,67.207,,,67.207,63.177,,,63.177,63.143,,,63.143,63.143,21.55
88,113,Univ of Guelph,63.347,,,63.347,77.219,1,1,99.219,,,,DNA,,,,DNA,63.347,20.49
89,58,Worcester Polytechnic Inst,65.696,,,65.696,64.588,,,64.588,,,,DNA,,,,DNA,64.588,14.15
90,50,Lakehead Univ,63.989,1,,65.989,63.934,1,,65.934,,,,,66.712,,1,86.712,65.934,7.55
91,73,Florida International Univ,66.368,,,66.368,70.410,,,70.410,98.972,1,,100.972,,,,DNA,66.368,7.5
91,33,Ferris State University,74.261,,,74.261,69.745,,,69.745,68.828,2,,72.828,77.087,,,77.087,69.745,7.5
91,56,Univ of Saskatchewan,71.939,,,71.939,66.167,,1,86.167,,,,DNA,,,,DNA,71.939,7.5
91,43,California Polytechnic State Univ-SLO,55.732,,1,75.732,,,,,,,,DNA,,,,DNA,75.732,7.5
91,51,Purdue Univ - Calumet,75.548,3,,81.548,75.006,3,,81.006,,,,DNA,,,,DNA,81.006,7.5
91,101,Universidad Simon Bolivar,61.774,,1,81.774,61.458,,1,81.458,,,,DNA,,,,DNA,81.458,7.5
91,95,Columbia Univ,67.963,,1,87.963,61.929,,1,81.929,,,,DNA,,,,DNA,81.929,7.5
91,27,Lafayette College,88.105,2,1,112.105,,,,,,,,DNA,,,,DNA,112.105,7.5
91,36,Turabo Univ,87.342,,4,167.342,84.392,,5,184.392,,,,DNA,,,,DNA,167.342,7.5
,6,Virginia Tech,,,,,,,,DNA,,,,DNA,,,,DNA,DNA,
,10,Western University,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,
,35,Universidad Metropolitana,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,
,38,Univ of Puerto Rico-Mayaquez,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,
,41,York College of Pa,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,
,53,Brown Univ,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,
,55,Lawrence Technological Univ,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,
,63,Ryerson Univ,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,
,64,Mississippi State Univ,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,
,70,Univ of Evansville,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,
,72,Univ of North Florida,,,,,,,,DNA,,,,DNA,,,,DNA,DNA,
,77,Clarkson University,,,,,,,,DNA,,,,DNA,,,,DNA,DNA,
,89,Univ of Utah,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,
,90,Colorado Mesa University,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,
,102,Rutgers Univ,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,
,103,Southern Illinois Univ - Edwardville,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,
,106,Lehigh Univ,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,
,109,Bradley Univ,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,
,112,Universidad Autonoma Estado Mexico,,,,,,,,DNA,,,,DNA,,,,DNA,DNA,
,117,Univ of Windsor,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,
,127,Washington State Univ,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,
