Place,CarNum,Team,Penalty,CostScore,PresentationScore,DesignScore,AccelerationScore,SkidPadScore,AutocrossScore,EnduranceScore,EfficiencyScore,TotalScore
1,3,Universitat Stuttgart,,67.1,65.1,135,56.6,39.3,140.9,247.2,80.3,831.5
2,118,Tallinn University of Technology,,66.9,51.3,140,61.8,38.9,125.0,295.6,41.3,820.7
3,50,Univ of Akron,,72.1,54.3,105,45.4,41.5,121.5,300.0,79.0,819.0
4,8,Ecole De Technologie Superieure,,66.7,75.0,100,62.5,50.0,129.4,255.3,79.1,817.9
5,73,Universite Laval,,65.9,63.3,110,59.1,34.8,119.1,292.0,55.6,799.7
6,84,Cornell Univ,,62.2,61.8,100,75.0,27.9,102.7,270.0,56.8,756.5
7,6,Graz Univ of Technology,,62.6,63.5,115,43.4,28.6,125.1,226.0,90.1,754.3
8,13,Centro Universitario Da FEI,,71.3,38.8,100,45.1,42.4,118.2,249.7,72.4,737.9
9,15,Michigan State Univ,,68.7,40.6,100,53.6,21.1,107.8,294.9,48.4,735.3
10,103,Univ of Florida,,57.8,44.2,100,52.9,25.0,111.6,280.9,58.3,730.7
11,17,Universidad Simon Bolivar,,85.5,61.9,80,47.3,25.8,94.3,251.0,66.5,712.2
12,79,Auburn Univ,,68.6,67.2,105,51.2,32.0,132.1,195.9,50.8,702.8
13,92,Virginia Tech,,70.6,45.1,100,,,119.5,260.9,53.6,649.7
14,100,Clemson Univ,,68.3,43.3,100,39.6,21.9,119.4,225.3,26.8,644.8
15,101,Kettering Univ,,77.4,43.3,100,43.3,22.4,69.8,165.1,100.0,621.3
16,99,Univ of Western Ontario,,73.7,54.3,80,55.8,28.9,111.7,169.8,38.8,613.0
17,51,Western Washington Univ,,80.1,53.2,80,35.5,14.1,88.1,212.6,45.5,609.0
18,39,Ohio State Univ,,48.2,52.6,100,39.4,26.2,79.7,234.8,21.8,602.7
19,85,National Univ of Singapore,,64.5,61.7,100,36.8,29.4,82.3,159.9,54.3,588.9
20,81,Georgia Southern Univ,,62.7,39.2,50,41.9,26.9,82.7,221.3,36.0,560.7
21,68,Universite Du Quebec a Trois-Rivieres,-30,62.0,33.0,80,52.9,22.3,80.0,191.1,62.5,553.9
22,29,Purdue Univ - W Lafayette,,58.4,44.6,80,52.9,25.5,86.0,156.6,42.9,547.0
23,38,Oakland University,,76.9,42.9,100,44.3,8.4,97.7,135.8,36.7,542.7
24,113,Duke Univ,,66.5,49.1,80,44.0,18.5,77.5,171.0,27.4,534.0
25,1,Oregon State Univ,,60.8,71.5,150,55.4,43.1,150.0,,,530.7
26,49,Univ of New Hampshire,,68.7,48.0,100,21.0,14.5,39.1,148.8,78.6,518.6
27,48,Georgia Institute of Technology,,77.7,44.7,80,22.2,12.6,58.2,142.4,65.5,503.3
28,11,Univ of Kansas - Lawrence,,54.8,66.6,100,59.0,19.0,136.1,15.0,38.2,488.7
29,78,Univ of Windsor,,72.6,50.5,100,44.2,20.3,55.5,118.9,22.4,484.4
30,36,Univ of Minnesota - Twin Cities,-30,63.6,34.5,80,43.6,22.6,90.3,157.1,10.5,472.1
31,42,Univ of Maryland - College Park,,71.4,51.3,100,32.1,33.4,108.9,22.0,45.8,464.8
32,14,Missouri University of Science and Tech,,72.3,65.0,80,49.3,40.1,142.0,12.0,,460.7
33,5,Univ of Michigan - Ann Arbor,,72.4,60.9,105,59.4,25.9,129.1,1.0,,453.8
34,10,Univ of Wisconsin - Madison,,74.8,38.3,120,49.4,37.0,119.6,12.0,,451.1
35,95,Penn State Univ - University Park,,70.6,61.1,80,47.7,24.2,93.7,19.0,44.9,441.2
36,58,Univ of Cincinnati,,74.2,52.3,100,36.8,17.0,94.7,18.0,44.1,437.1
37,106,Univ of Waterloo,,47.1,35.3,100,35.6,12.1,39.6,126.1,38.4,434.0
38,74,Univ of Illinois - Urbana Champaign,,62.9,53.4,100,55.4,29.8,120.4,12.0,,433.8
39,35,San Jose State University,,70.1,64.4,100,25.2,28.6,101.2,16.0,13.3,418.7
40,21,Dalhousie Univ,,61.0,48.2,80,29.0,13.8,53.2,105.0,26.0,416.2
41,107,Univ of Connecticut,,65.3,48.7,60,39.6,20.1,52.6,105.0,21.2,412.4
42,41,Southern Polytechnic State Univ,,71.3,39.0,80,,,66.3,145.0,,401.6
43,53,Washington Univ - St Louis,,72.1,27.0,60,24.5,5.7,54.7,98.3,54.4,396.8
44,97,Rochester Institute of Technology,,66.4,59.3,100,25.7,38.2,104.5,,,394.0
45,31,Univ of Toledo,,74.3,42.5,100,57.5,23.7,82.1,9.0,,389.1
46,94,Portland State Univ,-100,71.8,27.2,40,45.9,22.0,73.1,183.8,22.6,386.5
47,25,Univ of Pittsburgh - Pittsburgh,,69.0,57.5,100,48.8,8.1,84.6,12.0,,379.9
48,83,Colorado State University,,61.1,43.3,100,35.0,33.4,95.0,12.0,,379.8
49,93,Kookmin Univ,,69.1,41.9,60,52.8,36.2,113.0,3.0,,375.9
50,22,North Carolina State Univ - Raleigh,,63.6,51.9,60,53.3,30.3,93.2,7.0,,359.3
51,71,Saginaw Valley State Univ,-30,72.6,46.9,80,63.6,22.8,91.1,12.0,,359.0
52,121,RWTH Aachen Tech Univ,,48.5,29.0,100,48.7,34.9,88.1,9.0,,358.2
53,111,Bradley Univ,,73.0,35.6,60,17.1,2.5,42.5,62.2,56.6,349.5
54,110,Kumoh National Institute of Technology,,77.1,44.9,40,12.9,13.4,57.5,71.8,8.2,325.8
55,66,South Dakota Sch of Mines & Tech,,58.1,51.8,80,,26.6,96.4,12.0,,324.9
56,30,Universite Du Quebec-Chicoutimi,,58.4,34.0,60,42.5,13.6,17.2,82.7,10.6,319.0
57,72,Cegep du Vieux - Montreal,-20,61.4,32.1,60,47.2,7.8,21.7,107.1,,317.3
58,91,McGill Univ,,64.2,55.9,100,3.5,,92.9,,,316.5
59,37,Lafayette College,,73.4,52.3,80,28.5,17.8,25.9,20.0,13.5,311.3
60,86,Univ of Manitoba,,74.4,66.6,100,5.8,4.8,44.3,12.0,,307.8
61,47,Univ of North Florida,,57.8,41.6,60,6.9,2.5,61.5,63.6,,293.9
62,26,Queen's Univ - Ontario Canada,-10,67.8,49.8,70,10.6,2.5,,95.1,0.6,286.4
63,108,Mississippi State Univ,,67.7,54.4,60,3.5,18.1,67.2,8.0,,278.8
64,54,Univ of Maine,,66.4,41.5,60,18.2,2.5,61.8,19.0,,269.4
65,105,Univ of North Carolina - Charlotte,-50,67.9,42.4,80,36.8,,71.7,20.0,,268.7
66,27,York College of Pa,,48.6,44.9,40,51.2,13.6,46.1,24.0,,268.2
67,128,Oklahoma State Univ,-50,71.5,56.9,60,34.4,14.5,54.8,23.0,,265.1
68,80,Texas Tech Univ,,69.1,45.1,80,,,55.8,3.0,,252.9
69,33,Univ of Missouri,,74.3,47.1,100,,,12.2,17.0,,250.6
70,18,US Air Force Academy,,68.2,37.2,80,13.2,10.3,28.6,12.0,,249.6
71,115,Univ of Ontario Institute of Tech,,75.0,48.7,60,3.5,2.5,7.5,15.0,35.3,247.5
72,88,Villanova Univ,,72.9,39.9,80,,,44.3,7.0,,244.0
73,64,Louisiana State Univ,,38.0,12.7,60,37.4,13.9,77.4,1.0,,240.3
74,119,Lawrence Technological Univ,-20,69.7,44.7,60,,,82.4,,,236.7
75,23,Univ of Central Florida,,59.5,42.6,80,34.5,10.4,7.5,,,234.6
76,52,Florida Inst of Tech,,52.2,38.7,60,,,54.4,12.0,,217.4
77,19,Columbia Univ,,84.1,38.6,50,,,27.3,17.0,,217.0
78,90,Arizona State Univ - Tempe,,57.4,31.1,60,3.5,2.5,49.4,12.0,,215.8
79,16,US Naval Academy,,63.4,52.0,100,,,,,,215.4
80,40,Kansas State Univ,,64.2,50.6,100,,,,,,214.8
81,67,Carnegie Mellon Univ,-10,73.4,61.0,70,,,,12.0,,206.4
82,32,Brown Univ,,63.9,42.8,80,,,7.5,12.0,,206.3
83,76,Univ of Michigan - Dearborn,,73.1,32.6,60,,,32.0,7.0,,204.7
84,59,Univ of Hartford,,74.6,25.0,60,,,36.2,,,195.7
85,63,Cooper Union,,58.7,41.6,60,3.5,2.5,7.5,19.0,,192.8
86,69,Lakehead Univ,,64.2,15.5,40,12.6,7.9,41.0,5.0,,186.1
87,43,Northwestern Univ,,53.4,48.7,70,,,7.5,,,179.5
88,102,Northern Illinois Univ,,67.5,45.9,60,,,,,,173.4
89,44,Wayne State Univ,,74.4,38.7,60,,,,,,173.1
90,123,Univ of Minnesota-Duluth,,70.5,23.6,60,,2.5,,13.0,,169.5
91,70,Wichita State Univ,,53.6,44.9,60,,,7.5,,,165.9
92,89,Florida Atlantic Univ,-50,56.8,15.6,40,58.7,2.5,36.3,,,159.9
93,124,Universidad Autonoma Estado Mexico,-10,82.0,32.5,50,,,,,,154.4
94,82,Universidad Central de Venezuela,-30,65.4,58.2,60,,,,,,153.7
95,55,Western Michigan Univ,-10,55.2,29.6,60,,,7.5,4.0,,146.3
96,57,Univ of Illinois - Chicago,-50,69.6,39.5,60,,,7.5,12.0,,138.6
97,125,Carleton Univ,-50,75.2,49.6,60,,,,,,134.8
98,98,Univ of Alabama - Tuscaloosa,,59.8,31.2,40,,,,,,131.0
99,104,Stevens Inst of Tech,,63.1,26.1,40,,,,,,129.2
100,109,Old Dominion Univ,,67.6,3.8,,34.1,2.5,7.5,13.0,,128.5
101,56,Univ of St Thomas,-10,60.5,39.8,30,,,,,,120.2
102,122,Seoul National Univ of Science & Tech,-50,19.2,31.9,,,,55.6,16.0,2.5,75.3
103,75,Ferris State University,-100,67.6,43.2,40,,,7.5,4.0,,62.4
104,96,Temple Univ,-30,11.9,25.6,50,,,,,,57.5
,20,Florida International Univ,,17.8,,,,,,,,forfeit
,65,Rensselaer Polytechnic Inst,,,,,,,,,,forfeit
,87,Tennessee Tech Univ,,34.3,,,,,,,,forfeit
,112,North Dakota State Univ,,53.1,,,,,,,,forfeit
,12,Univ of South Florida,,,,,,,,,,withdrawn
,24,Ecole Polytechnique De Montreal,,,,,,,,,,withdrawn
,34,Worcester Polytechnic Inst,,,,,,,,,,withdrawn
,46,West Virginia Univ,,,,,,,,,,withdrawn
,60,Vanderbilt Univ,,,,,,,,,,withdrawn
,61,Univ of Toronto,,,,,,,,,,withdrawn
,62,Ryerson Univ,,,,,,,,,,withdrawn
,77,Rutgers Univ,,,,,,,,,,withdrawn
,114,Lehigh Univ,,,,,,,,,,withdrawn
,117,Universidad Nacional Experimental Polite,,,,,,,,,,withdrawn
,120,Rose Hulman Inst of Tech,,,,,,,,,,withdrawn
,126,Univ of Evansville,,,,,,,,,,withdrawn
