Place,CarNum,Team,AdjustedCost,PriceScore,ReportScore,FeasibilityContent,CaseVisual,Penalty,Score
83,98,Univ of Alabama - Tuscaloosa,"$10,418",29.1,11.8,14,5,,59.82
84,23,Univ of Central Florida,"$13,438",19,12.5,18,10,,59.51
85,63,Cooper Union,"$15,093",15.2,15.5,13,15,,58.69
86,29,Purdue Univ - W Lafayette,"$17,743",10.6,13.8,16,18,,58.43
87,30,Universite Du Quebec-Chicoutimi,"$14,243",17.1,11.3,17,13,,58.38
88,66,South Dakota Sch of Mines & Tech,"$13,281",19.4,10.7,10,18,,58.1
89,103,Univ of Florida,"$17,039",11.7,14.1,15,17,,57.84
90,47,Univ of North Florida,"$16,040",13.4,14.4,15,15,,57.78
91,90,Arizona State Univ - Tempe,"$13,352",19.2,11.2,12,15,,57.41
92,89,Florida Atlantic Univ,"$17,315",11.3,10.5,20,15,,56.75
93,55,Western Michigan Univ,"$12,709",21,7.2,15,12,,55.2
94,11,Univ of Kansas - Lawrence,"$19,000",8.9,11.9,17,17,,54.78
95,70,Wichita State Univ,"$14,959",15.5,12.1,16,10,,53.57
96,43,Northwestern Univ,"$15,356",14.7,9.7,19,10,,53.36
97,112,North Dakota State Univ,"$13,428",19,15.1,19,,,53.1
98,52,Florida Inst of Tech,"$16,744",12.2,15,5,20,,52.21
99,27,York College of Pa,"$17,227",11.4,12.2,20,5,,48.56
100,121,RWTH Aachen Tech Univ,"$29,792",,12.5,16,20,,48.49
101,39,Ohio State Univ,"$22,869",4.7,10.5,18,15,,48.22
102,106,Univ of Waterloo,"$21,222",6.3,11.8,19,10,,47.06
103,64,Louisiana State Univ,"$16,014",13.4,16.5,6,12,-10,37.97
104,87,Tennessee Tech Univ,"$18,433",9.6,4.7,20,,,34.34
105,122,Seoul National Univ of Science & Tech,"$25,778",2.4,4.8,12,,,19.23
106,20,Florida International Univ,"$19,841",7.8,9.9,10,,-10,17.76
107,96,Temple Univ,"$16,003",13.5,5.5,13,20,-40,11.94
,12,Univ of South Florida,,,,,,,
,24,Ecole Polytechnique De Montreal,,,,,,,
,34,Worcester Polytechnic Inst,,,,,,,
,46,West Virginia Univ,,,,,,,
,60,Vanderbilt Univ,,,,,,,
,61,Univ of Toronto,,,,,,,
,62,Ryerson Univ,,,,,,,
,65,Rensselaer Polytechnic Inst,,,,,,,
,77,Rutgers Univ,,,,,,,
,114,Lehigh Univ,,,,,,,
,117,Universidad Nacional Experimental Polite,,,,,,,
,120,Rose Hulman Inst of Tech,,,,,,,
,126,Univ of Evansville,,,,,,,
