Place,CarNum,Team,RawScore,Penalty,Status,Score
1,1,Oregon State Univ,150,,Final,150
2,118,Tallinn University of Technology,140,,Final,140
3,3,Universitat Stuttgart,135,,Final,135
4,10,Univ of Wisconsin - Madison,120,,Final,120
5,6,Graz Univ of Technology,115,,Final,115
6,73,Universite Laval,110,,Final,110
7,5,Univ of Michigan - Ann Arbor,105,,Final,105
7,50,Univ of Akron,105,,Final,105
7,79,Auburn Univ,105,,Final,105
10,8,Ecole De Technologie Superieure,100,,,100
10,11,Univ of Kansas - Lawrence,100,,,100
10,13,Centro Universitario Da FEI,100,,,100
10,15,Michigan State Univ,100,,,100
10,16,US Naval Academy,100,,,100
10,25,Univ of Pittsburgh - Pittsburgh,100,,,100
10,31,Univ of Toledo,100,,,100
10,33,Univ of Missouri,100,,,100
10,35,San Jose State University,100,,,100
10,38,Oakland University,100,,,100
10,39,Ohio State Univ,100,,,100
10,40,Kansas State Univ,100,,,100
10,42,Univ of Maryland - College Park,100,,,100
10,49,Univ of New Hampshire,100,,,100
10,58,Univ of Cincinnati,100,,,100
10,74,Univ of Illinois - Urbana Champaign,100,,,100
10,78,Univ of Windsor,100,,,100
10,83,Colorado State University,100,,,100
10,84,Cornell Univ,100,,,100
10,85,National Univ of Singapore,100,,,100
10,86,Univ of Manitoba,100,,,100
10,91,McGill Univ,100,,,100
10,92,Virginia Tech,100,,,100
10,97,Rochester Institute of Technology,100,,,100
10,100,Clemson Univ,100,,,100
10,101,Kettering Univ,100,,,100
10,103,Univ of Florida,100,,,100
10,106,Univ of Waterloo,100,,,100
10,121,RWTH Aachen Tech Univ,100,,,100
39,14,Missouri University of Science and Tech,80,,,80
39,17,Universidad Simon Bolivar,80,,,80
39,18,US Air Force Academy,80,,,80
39,21,Dalhousie Univ,80,,,80
39,23,Univ of Central Florida,80,,,80
39,29,Purdue Univ - W Lafayette,80,,,80
39,32,Brown Univ,80,,,80
39,36,Univ of Minnesota - Twin Cities,80,,,80
39,37,Lafayette College,80,,,80
39,41,Southern Polytechnic State Univ,80,,,80
39,48,Georgia Institute of Technology,80,,,80
39,51,Western Washington Univ,80,,,80
39,66,South Dakota Sch of Mines & Tech,80,,,80
39,68,Universite Du Quebec a Trois-Rivieres,80,,,80
39,71,Saginaw Valley State Univ,80,,,80
39,80,Texas Tech Univ,80,,,80
39,88,Villanova Univ,80,,,80
39,95,Penn State Univ - University Park,80,,,80
39,99,Univ of Western Ontario,80,,,80
39,105,Univ of North Carolina - Charlotte,80,,,80
39,113,Duke Univ,80,,,80
60,26,Queen's Univ - Ontario Canada,80,10,,70
60,43,Northwestern Univ,80,10,,70
60,67,Carnegie Mellon Univ,80,10,,70
63,22,North Carolina State Univ - Raleigh,60,,,60
63,30,Universite Du Quebec-Chicoutimi,60,,,60
63,44,Wayne State Univ,60,,,60
63,47,Univ of North Florida,60,,,60
63,52,Florida Inst of Tech,60,,,60
63,53,Washington Univ - St Louis,60,,,60
63,54,Univ of Maine,60,,,60
63,55,Western Michigan Univ,60,,,60
63,57,Univ of Illinois - Chicago,60,,,60
63,59,Univ of Hartford,60,,,60
63,63,Cooper Union,60,,,60
63,64,Louisiana State Univ,60,,,60
63,70,Wichita State Univ,60,,,60
63,72,Cegep du Vieux - Montreal,60,,,60
63,76,Univ of Michigan - Dearborn,60,,,60
63,82,Universidad Central de Venezuela,60,,,60
63,90,Arizona State Univ - Tempe,60,,,60
63,93,Kookmin Univ,60,,,60
63,102,Northern Illinois Univ,60,,,60
63,107,Univ of Connecticut,60,,,60
63,108,Mississippi State Univ,60,,,60
63,111,Bradley Univ,60,,,60
63,115,Univ of Ontario Institute of Tech,60,,,60
63,119,Lawrence Technological Univ,60,,,60
63,123,Univ of Minnesota-Duluth,60,,,60
63,125,Carleton Univ,60,,,60
63,128,Oklahoma State Univ,60,,,60
90,19,Columbia Univ,60,10,,50
90,81,Georgia Southern Univ,60,10,,50
90,96,Temple Univ,60,10,,50
90,124,Universidad Autonoma Estado Mexico,60,10,,50
94,27,York College of Pa,40,,,40
94,69,Lakehead Univ,40,,,40
94,75,Ferris State University,40,,,40
94,89,Florida Atlantic Univ,40,,,40
94,94,Portland State Univ,40,,,40
94,98,Univ of Alabama - Tuscaloosa,40,,,40
94,104,Stevens Inst of Tech,40,,,40
94,110,Kumoh National Institute of Technology,40,,,40
102,56,Univ of St Thomas,40,10,,30
,12,Univ of South Florida,,,,
,20,Florida International Univ,,,,
,24,Ecole Polytechnique De Montreal,,,,
,34,Worcester Polytechnic Inst,,,,
,46,West Virginia Univ,,,,
,60,Vanderbilt Univ,,,,
,61,Univ of Toronto,,,,
,62,Ryerson Univ,,,,
,65,Rensselaer Polytechnic Inst,,,,
,77,Rutgers Univ,,,,
,87,Tennessee Tech Univ,,,,
,109,Old Dominion Univ,,,,
,112,North Dakota State Univ,,,,
,114,Lehigh Univ,,,,
,117,Universidad Nacional Experimental Polite,,,,
,120,Rose Hulman Inst of Tech,,,,
,122,Seoul National Univ of Science & Tech,,,,
,126,Univ of Evansville,,,,
