Team,CarNum,Lap1,Lap2,Lap3,Lap4,Lap5,Lap6,Lap7,Lap8,Lap9,Lap10,Lap11,Lap12,Lap13,Lap14,Lap15,Lap16,Lap17,Lap18,Lap19,Lap20,Lap21,Lap22,Lap23,Lap24,Lap25
Cornell Univ,84,59.260,61.276,62.830,60.061,59.011,58.464,58.677,62.189,57.419,56.742,56.476,56.446,,61.566,59.209,58.650,57.691,57.749,57.843,58.102,57.268,58.251,59.018,59.579,56.245
National Univ of Singapore,85,102.922,65.573,70.670,82.619,64.931,63.419,66.569,82.698,64.168,100.768,68.213,64.712,,64.438,64.525,63.740,63.233,62.121,61.351,61.636,61.888,60.320,59.865,63.825,58.569
Univ of Manitoba,86,90.581,73.492,70.746,78.234,78.115,72.242,73.576,69.124,72.288,73.115,74.397,72.679,,,,,,,,,,,,,
Villanova Univ,88,64.956,74.855,82.882,64.751,80.423,394.965,71.847,,,,,,,,,,,,,,,,,,
Arizona State Univ - Tempe,90,70.440,70.234,73.505,70.655,69.574,66.634,67.301,70.544,65.533,66.588,65.229,68.788,,,,,,,,,,,,,
Virginia Tech,92,60.275,57.447,57.198,57.032,59.996,56.530,56.213,57.608,57.771,59.100,59.515,59.109,,60.518,56.538,57.237,55.844,54.392,54.235,55.053,56.462,57.008,58.729,57.251,57.788
Kookmin Univ,93,59.737,57.615,58.230,,,,,,,,,,,,,,,,,,,,,,
Portland State Univ,94,70.842,69.294,68.470,65.985,65.082,66.402,74.511,76.151,64.075,63.248,78.806,63.305,,76.877,67.788,62.491,66.239,61.828,60.239,64.685,60.592,59.945,60.697,60.753,61.187
Penn State Univ - University Park,95,73.379,67.861,65.385,65.371,62.113,66.313,62.668,62.144,60.715,61.683,60.839,61.247,,68.553,65.078,64.015,62.588,62.435,64.927,72.485,,,,,
Univ of Western Ontario,99,65.076,62.176,61.515,63.748,58.459,62.083,63.338,60.904,59.693,61.216,68.273,63.617,,61.738,58.763,59.216,60.069,58.706,69.138,62.733,58.072,58.704,58.384,57.319,57.661
Clemson Univ,100,65.448,56.719,55.409,55.335,55.061,55.553,56.557,56.363,56.176,56.507,56.180,57.511,,62.478,61.061,59.125,128.707,59.831,60.596,59.490,59.917,63.657,60.038,61.022,59.947
Kettering Univ,101,89.367,67.917,65.425,65.182,66.963,66.714,63.237,65.140,61.532,68.073,63.376,63.772,,68.843,65.078,65.132,63.801,75.928,67.674,66.217,65.195,79.516,63.137,65.259,63.482
Univ of Florida,103,60.243,57.620,56.537,56.340,58.261,57.369,58.923,55.320,56.621,56.088,55.127,56.270,,63.323,59.295,62.264,59.295,58.389,58.066,57.044,56.961,56.733,58.008,58.035,58.272
Univ of North Carolina - Charlotte,105,60.419,62.345,64.227,63.793,61.288,59.649,132.474,107.134,137.988,68.053,67.009,57.160,,67.760,73.009,62.317,63.304,65.936,69.231,133.380,183.826,,,,
Univ of Waterloo,106,72.757,65.917,96.896,64.179,65.631,63.212,62.595,63.701,61.642,61.654,67.166,61.633,,73.482,68.230,66.979,65.544,66.378,66.278,77.113,63.622,126.357,72.666,66.594,67.140
Univ of Connecticut,107,86.434,83.096,83.481,80.369,74.979,73.589,71.756,72.001,74.792,79.576,76.474,78.536,,78.539,74.851,69.563,70.326,67.572,69.707,76.862,69.746,69.965,67.959,67.329,72.066
Mississippi State Univ,108,77.017,72.370,66.435,63.705,62.617,78.562,69.961,68.310,,,,,,,,,,,,,,,,,
Old Dominion Univ,109,320.986,104.316,99.274,92.142,130.011,261.695,94.803,93.543,95.946,165.567,91.556,152.797,,,,,,,,,,,,,
Kumoh National Institute of Technology,110,93.303,89.293,88.858,82.542,85.906,81.174,75.835,77.007,77.193,82.573,78.215,79.830,,69.312,69.827,76.442,67.608,73.449,71.165,72.567,72.774,74.884,83.713,77.105,80.606
Bradley Univ,111,83.249,75.435,103.295,83.388,77.586,75.741,78.097,73.213,76.662,70.238,72.396,76.463,,71.837,82.377,71.046,68.074,77.564,70.647,73.683,69.724,66.666,76.317,68.232,75.352
Duke Univ,113,80.867,62.306,61.129,61.550,60.314,60.970,59.845,61.204,60.971,62.207,60.874,59.640,,76.565,83.392,77.785,67.529,66.862,70.006,65.791,81.577,67.372,68.927,68.874,67.038
Univ of Ontario Institute of Tech,115,70.742,90.139,73.496,87.526,78.122,76.030,74.146,78.663,70.812,72.554,71.908,71.908,,80.566,71.693,74.948,,,,,,,,,
Tallinn University of Technology,118,57.534,55.597,54.659,53.666,53.485,53.498,52.896,54.074,52.036,53.347,54.120,54.442,,66.933,64.130,60.662,59.053,57.964,57.028,57.663,61.169,57.736,57.720,57.111,60.226
RWTH Aachen Tech Univ,121,62.506,58.493,57.313,56.604,57.465,58.457,56.689,62.667,58.066,,,,,,,,,,,,,,,,
Seoul National Univ of Science & Tech,122,72.641,67.161,70.620,67.804,70.447,93.800,68.784,72.346,71.126,69.950,70.329,70.345,67.632,,89.710,77.261,79.659,,,,,,,,
Univ of Minnesota-Duluth,123,83.190,78.202,79.414,81.998,74.147,73.225,84.181,81.337,72.044,82.028,78.513,89.148,79.103,,,,,,,,,,,,
Oklahoma State Univ,128,81.854,81.107,78.810,70.212,72.653,77.947,76.830,75.000,80.945,81.815,78.107,79.744,,62.868,67.988,63.494,73.789,62.357,65.545,60.649,79.618,69.192,64.781,77.026,
