Place,CarNum,Team,Score
1,8,Ecole De Technologie Superieure,75
2,1,Oregon State Univ,71.5
3,79,Auburn Univ,67.2
4,86,Univ of Manitoba,66.6
5,11,Univ of Kansas - Lawrence,66.6
6,3,Universitat Stuttgart,65.1
7,14,Missouri University of Science and Tech,65.0
8,35,San Jose State University,64.4
9,6,Graz Univ of Technology,63.5
10,73,Universite Laval,63.3
11,17,Universidad Simon Bolivar,61.9
12,84,Cornell Univ,61.8
13,85,National Univ of Singapore,61.7
14,95,Penn State Univ - University Park,61.1
15,67,Carnegie Mellon Univ,61.0
16,5,Univ of Michigan - Ann Arbor,60.9
17,97,Rochester Institute of Technology,59.3
18,82,Universidad Central de Venezuela,58.2
19,25,Univ of Pittsburgh - Pittsburgh,57.5
20,128,Oklahoma State Univ,56.9
21,91,McGill Univ,55.9
22,108,Mississippi State Univ,54.4
23,50,Univ of Akron,54.3
23,99,Univ of Western Ontario,54.3
25,74,Univ of Illinois - Urbana Champaign,53.3
26,51,Western Washington Univ,53.2
27,39,Ohio State Univ,52.6
28,58,Univ of Cincinnati,52.3
29,37,Lafayette College,52.3
30,16,US Naval Academy,52.0
31,22,North Carolina State Univ - Raleigh,51.9
32,66,South Dakota Sch of Mines & Tech,51.8
33,42,Univ of Maryland - College Park,51.3
34,118,Tallinn University of Technology,51.2
35,40,Kansas State Univ,50.6
36,78,Univ of Windsor,50.5
37,26,Queen's Univ - Ontario Canada,49.8
38,125,Carleton Univ,49.6
39,113,Duke Univ,49.1
40,115,Univ of Ontario Institute of Tech,48.7
41,43,Northwestern Univ,48.7
41,107,Univ of Connecticut,48.7
43,21,Dalhousie Univ,48.2
44,49,Univ of New Hampshire,48.0
45,33,Univ of Missouri,47.1
46,71,Saginaw Valley State Univ,46.9
47,102,Northern Illinois Univ,45.9
48,80,Texas Tech Univ,45.1
48,92,Virginia Tech,45.1
50,27,York College of Pa,44.9
50,70,Wichita State Univ,44.9
50,110,Kumoh National Institute of Technology,44.9
53,48,Georgia Institute of Technology,44.7
54,119,Lawrence Technological Univ,44.7
55,29,Purdue Univ - W Lafayette,44.6
56,103,Univ of Florida,44.2
57,100,Clemson Univ,43.3
58,83,Colorado State University,43.3
59,101,Kettering Univ,43.3
60,75,Ferris State University,43.2
61,38,Oakland University,42.9
62,32,Brown Univ,42.8
63,23,Univ of Central Florida,42.6
64,31,Univ of Toledo,42.5
65,105,Univ of North Carolina - Charlotte,42.4
66,93,Kookmin Univ,41.9
67,63,Cooper Union,41.6
68,47,Univ of North Florida,41.6
69,54,Univ of Maine,41.5
70,15,Michigan State Univ,40.6
71,88,Villanova Univ,39.9
72,56,Univ of St Thomas,39.8
73,57,Univ of Illinois - Chicago,39.5
74,81,Georgia Southern Univ,39.2
75,41,Southern Polytechnic State Univ,39.0
76,13,Centro Universitario Da FEI,38.8
77,44,Wayne State Univ,38.7
77,52,Florida Inst of Tech,38.7
79,19,Columbia Univ,38.6
80,10,Univ of Wisconsin - Madison,38.3
81,18,US Air Force Academy,37.2
82,111,Bradley Univ,35.6
83,106,Univ of Waterloo,35.3
84,36,Univ of Minnesota - Twin Cities,34.5
85,30,Universite Du Quebec-Chicoutimi,34.0
86,68,Universite Du Quebec a Trois-Rivieres,33.0
87,76,Univ of Michigan - Dearborn,32.6
88,124,Universidad Autonoma Estado Mexico,32.4
89,72,Cegep du Vieux - Montreal,32.1
90,122,Seoul National Univ of Science & Tech,31.9
91,98,Univ of Alabama - Tuscaloosa,31.1
92,90,Arizona State Univ - Tempe,31.0
93,55,Western Michigan Univ,29.6
94,121,RWTH Aachen Tech Univ,29.0
95,94,Portland State Univ,27.2
96,53,Washington Univ - St Louis,27.0
97,104,Stevens Inst of Tech,26.1
98,96,Temple Univ,25.6
99,59,Univ of Hartford,25.0
100,123,Univ of Minnesota-Duluth,23.6
101,89,Florida Atlantic Univ,15.6
102,69,Lakehead Univ,15.5
103,64,Louisiana State Univ,12.7
104,109,Old Dominion Univ,3.8
,12,Univ of South Florida,
,20,Florida International Univ,
,24,Ecole Polytechnique De Montreal,
,34,Worcester Polytechnic Inst,
,46,West Virginia Univ,
,60,Vanderbilt Univ,
,61,Univ of Toronto,
,62,Ryerson Univ,
,65,Rensselaer Polytechnic Inst,
,77,Rutgers Univ,
,87,Tennessee Tech Univ,
,112,North Dakota State Univ,
,114,Lehigh Univ,
,117,Universidad Nacional Experimental Polite,
,120,Rose Hulman Inst of Tech,
,126,Univ of Evansville,
