Place,CarNum,Team,AvgLapAdjTime,CompletedLaps,FuelUsed_L,CO2_kg,CO2PerLap,FuelType,FuelEfficiency,Score
1,101,Kettering Univ,68.248,24,2.334,3.851,0.1605,E85,0.832,100
2,6,Graz Univ of Technology,62.556,24,2.246,5.188,0.2162,100,0.674,90.1
3,3,Universitat Stuttgart,60.790,24,3.838,6.332,0.2638,E85,0.568,80.3
4,8,Ecole De Technologie Superieure,60.144,24,2.824,6.523,0.2718,93,0.558,79.1
5,50,Univ of Akron,56.801,24,4.194,6.920,0.2883,E85,0.557,79.0
6,49,Univ of New Hampshire,69.949,24,2.449,5.657,0.2357,93,0.553,78.6
7,13,Centro Universitario Da FEI,60.591,24,4.343,7.165,0.2985,E85,0.504,72.4
8,17,Universidad Simon Bolivar,60.489,24,3.369,7.782,0.3243,93,0.465,66.5
9,48,Georgia Institute of Technology,70.644,24,2.922,6.749,0.2812,100,0.459,65.5
10,68,Universite Du Quebec a Trois-Rivieres,65.699,24,3.263,7.537,0.3140,93,0.442,62.5
11,103,Univ of Florida,58.184,24,3.881,8.965,0.3735,93,0.419,58.3
12,84,Cornell Univ,59.001,24,5.454,8.999,0.3750,E85,0.412,56.8
13,111,Bradley Univ,80.637,24,2.856,6.597,0.2749,93,0.411,56.6
14,73,Universite Laval,57.372,24,5.687,9.383,0.3910,E85,0.406,55.6
15,53,Washington Univ - St Louis,75.812,24,3.115,7.195,0.2998,100,0.401,54.4
16,85,National Univ of Singapore,68.782,24,3.437,7.939,0.3308,93,0.401,54.3
17,92,Virginia Tech,59.702,24,3.994,9.226,0.3844,93,0.397,53.6
18,79,Auburn Univ,65.247,24,3.769,8.706,0.3628,93,0.385,50.8
19,15,Michigan State Univ,57.161,24,4.413,10.194,0.4248,93,0.375,48.4
20,42,Univ of Maryland - College Park,58.205,22,4.083,9.431,0.4287,93,0.365,45.8
21,51,Western Washington Univ,63.726,24,4.084,9.434,0.3931,93,0.364,45.5
22,95,Penn State Univ - University Park,64.726,19,3.203,7.398,0.3894,100,0.362,44.9
23,58,Univ of Cincinnati,61.923,18,3.195,7.380,0.4100,93,0.359,44.1
24,29,Purdue Univ - W Lafayette,69.127,24,3.865,8.928,0.3720,93,0.354,42.9
25,118,Tallinn University of Technology,57.115,24,4.752,10.977,0.4574,100,0.349,41.3
26,99,Univ of Western Ontario,67.775,24,4.103,9.477,0.3949,93,0.341,38.8
27,106,Univ of Waterloo,72.474,24,3.854,8.902,0.3709,93,0.339,38.4
28,11,Univ of Kansas - Lawrence,64.604,15,3.788,6.250,0.4167,E85,0.339,38.2
29,38,Oakland University,71.369,24,3.976,9.184,0.3827,93,0.334,36.7
30,81,Georgia Southern Univ,62.958,24,4.537,10.480,0.4367,93,0.332,36.0
31,115,Univ of Ontario Institute of Tech,79.417,15,2.263,5.227,0.3485,100,0.329,35.3
32,113,Duke Univ,67.650,24,4.562,10.538,0.4391,100,0.307,27.4
33,100,Clemson Univ,62.612,24,4.956,11.448,0.4770,100,0.305,26.8
34,21,Dalhousie Univ,74.979,24,4.168,9.628,0.4012,93,0.303,26.0
35,94,Portland State Univ,66.396,24,4.844,11.189,0.4662,100,0.294,22.6
36,78,Univ of Windsor,73.307,24,4.395,10.152,0.4230,93,0.294,22.4
37,39,Ohio State Univ,61.811,24,5.238,12.099,0.5041,100,0.292,21.8
38,107,Univ of Connecticut,74.982,24,4.339,10.023,0.4176,93,0.291,21.2
39,37,Lafayette College,80.408,20,3.587,8.285,0.4143,93,0.274,13.5
40,35,San Jose State University,64.912,16,3.561,8.225,0.5141,100,0.273,13.3
41,30,Universite Du Quebec-Chicoutimi,77.825,24,4.547,10.503,0.4376,93,0.268,10.6
42,36,Univ of Minnesota - Twin Cities,69.076,24,5.128,11.845,0.4935,100,0.267,10.5
43,110,Kumoh National Institute of Technology,79.299,24,4.543,10.494,0.4373,93,0.263,8.2
44,122,Seoul National Univ of Science & Tech,81.851,16,3.059,7.066,0.4416,100,0.252,2.5
45,26,Queen's Univ - Ontario Canada,76.211,24,4.997,11.543,0.4810,93,0.249,0.6
46,41,Southern Polytechnic State Univ,70.357,24,5.434,12.552,0.5230,93,0.248,0
,105,Univ of North Carolina - Charlotte,84.015,20,2.336,5.396,0.2698,93,,0
,27,York College of Pa,92.711,24,4.077,9.417,0.3924,93,,0
,54,Univ of Maine,88.511,19,3.371,7.787,0.4098,93,,0
,63,Cooper Union,95.137,19,3.672,8.482,0.4464,93,,0
,72,Cegep du Vieux - Montreal,74.725,24,5.830,13.467,0.5611,93,,0
,47,Univ of North Florida,80.442,24,5.946,13.735,0.5723,93,,0
,128,Oklahoma State Univ,83.145,23,5.803,13.404,0.5828,93,,0
,33,Univ of Missouri,79.984,17,5.556,12.834,0.7549,93,,0
,19,Columbia Univ,72.365,17,7.325,16.920,0.9953,93,,0
