Place,CarNum,Team,Time,Laps,Cones,OffCourse,OtherPenalty,AdjTime,EnduranceScore
,32,Brown Univ,944.834,12,1,,,,12
,121,RWTH Aachen Tech Univ,528.260,9,1,,,,9
,31,Univ of Toledo,551.207,9,,1,,,9
,108,Mississippi State Univ,558.977,8,,,,,8
,22,North Carolina State Univ - Raleigh,433.670,7,1,,,,7
,76,Univ of Michigan - Dearborn,817.504,7,7,2,,,7
,88,Villanova Univ,834.679,7,1,3,,,7
,69,Lakehead Univ,751.182,5,8,1,,,5
,55,Western Michigan Univ,324.022,4,2,2,,,4
,75,Ferris State University,327.514,4,4,2,,,4
,93,Kookmin Univ,175.582,3,1,,,,3
,80,Texas Tech Univ,266.938,3,,,,,3
,5,Univ of Michigan - Ann Arbor,61.912,1,,,,,1
,64,Louisiana State Univ,92.188,1,,,,,1
,23,Univ of Central Florida,0.000,0,,,,,
,43,Northwestern Univ,0.000,0,,,,,
,82,Universidad Central de Venezuela,0.000,0,,,,,
,89,Florida Atlantic Univ,0.000,0,,,,,
,91,McGill Univ,0.000,0,,,,,
,119,Lawrence Technological Univ,0.000,0,,,,,
