Place,CarNum,Team,Run1_Time,Run1_Cones,Run1_OffCourse,Run1_AdjTime,Run2_Time,Run2_Cones,Run2_OffCourse,Run2_AdjTime,Run3_Time,Run3_Cones,Run3_OffCourse,Run3_AdjTime,Run4_Time,Run4_Cones,Run4_OffCourse,Run4_AdjTime,BestTime,Score
1,1,Oregon State Univ,49.222,1,1,71.222,48.627,1,1,70.627,49.120,,,49.120,47.857,,,47.857,47.857,150
2,14,Missouri University of Science and Tech,52.895,,,52.895,50.416,1,,52.416,50.046,,,50.046,48.707,,,48.707,48.707,141.99
3,3,Universitat Stuttgart,51.334,1,2,93.334,49.847,,,49.847,50.560,,,50.560,48.827,,,48.827,48.827,140.88
4,11,Univ of Kansas - Lawrence,51.337,,,51.337,50.221,2,,54.221,48.711,5,1,78.711,49.355,,,49.355,49.355,136.06
5,79,Auburn Univ,55.584,,,55.584,54.029,1,,56.029,51.317,,,51.317,49.794,,,49.794,49.794,132.14
6,8,Ecole De Technologie Superieure,50.554,1,,52.554,50.105,,,50.105,53.563,2,1,77.563,49.336,,1,69.336,50.105,129.4
7,5,Univ of Michigan - Ann Arbor,51.962,,,51.962,50.134,,,50.134,50.442,,1,70.442,50.398,,,50.398,50.134,129.15
8,6,Graz Univ of Technology,59.636,1,,61.636,53.273,,,53.273,53.424,1,,55.424,50.597,,,50.597,50.597,125.14
9,118,Tallinn University of Technology,54.459,,,54.459,50.609,,,50.609,54.107,,,54.107,50.684,,,50.684,50.609,125.03
10,50,Univ of Akron,DQ,,,,DQ,1,,,51.840,,,51.840,49.021,1,,51.021,51.021,121.53
11,74,Univ of Illinois - Urbana Champaign,52.808,1,1,74.808,51.155,,,51.155,56.554,,,56.554,53.559,,,53.559,51.155,120.4
12,10,Univ of Wisconsin - Madison,57.061,,,57.061,56.275,,1,76.275,54.213,,,54.213,51.246,,,51.246,51.246,119.64
13,92,Virginia Tech,54.294,,,54.294,51.264,,,51.264,52.901,,,52.901,52.341,,,52.341,51.264,119.48
14,100,Clemson Univ,,,,,58.100,,1,78.100,54.828,2,,58.828,51.269,,,51.269,51.269,119.44
15,73,Universite Laval,54.036,,,54.036,53.103,,1,73.103,54.651,,,54.651,51.311,,,51.311,51.311,119.09
16,13,Centro Universitario Da FEI,51.413,,,51.413,51.559,1,,53.559,52.084,,,52.084,,,,DNA,51.413,118.24
17,93,Kookmin Univ,53.423,,1,73.423,52.056,,,52.056,54.022,,,54.022,52.082,,,52.082,52.056,112.96
18,99,Univ of Western Ontario,54.239,,1,74.239,65.680,3,,71.680,53.858,,,53.858,52.207,,,52.207,52.207,111.74
19,103,Univ of Florida,54.261,,,54.261,54.389,1,,56.389,52.519,,,52.519,52.229,,,52.229,52.229,111.56
20,42,Univ of Maryland - College Park,55.784,,1,75.784,53.076,,,53.076,52.564,,,52.564,51.268,1,,53.268,52.564,108.88
21,15,Michigan State Univ,54.095,3,1,80.095,,,,,55.102,,,55.102,52.698,,,52.698,52.698,107.82
22,97,Rochester Institute of Technology,53.122,,,53.122,,,,DNA,,,,DNA,,,,DNA,53.122,104.49
23,84,Cornell Univ,55.451,,,55.451,54.481,,,54.481,54.882,1,,56.882,53.350,,,53.350,53.350,102.72
24,35,San Jose State University,56.876,,,56.876,57.229,,,57.229,56.340,1,,58.340,53.551,,,53.551,53.551,101.18
25,38,Oakland University,56.771,1,,58.771,54.008,,,54.008,59.883,,,59.883,59.234,,,59.234,54.008,97.71
26,66,South Dakota Sch of Mines & Tech,56.097,1,1,78.097,56.255,2,,60.255,48.203,3,1,74.203,50.182,2,,54.182,54.182,96.4
27,83,Colorado State University,57.355,1,,59.355,54.369,,,54.369,54.494,,,54.494,70.523,,2,110.523,54.369,95.0
