Place,CarNum,Team,AdjustedCost,PriceScore,CostAccuracy,EngineeringDesign,ScenarioScore,Penalty,Score
1,51,Universidad Simon Bolivar,"$8,939",26.4,-5,38,20,,79.37
2,7,Carleton Univ,"$11,137",19,,38,20,,76.96
3,89,Tennessee Tech Univ,"$6,559",40,-6,27.5,15,,76.5
4,44,IPN - UPIITA,"$8,808",26.9,-3,36,16,,75.93
5,65,Lehigh Univ,"$10,003",22.4,-4,37.1,20,,75.47
6,86,Wayne State Univ,"$11,102",19.1,,36,20,,75.05
7,41,Grand Valley State Univ,"$9,837",22.9,-5,34,20,,71.94
8,71,Univ of Puerto Rico-Mayaquez,"$12,549",15.6,,36,20,,71.57
9,120,Universidad Autonoma Estado Mexico,"$8,485",28.4,-8,34,17,,71.38
10,5,Ecole De Technologie Superieure,"$14,098",12.6,,37.8,20,,70.42
11,16,Kookmin Univ,"$11,164",18.9,-2,33.5,20,,70.38
12,10,AGH Univ of Science and Technology,"$16,198",9.5,,40,20,,69.54
13,34,Univ of Central Florida,"$13,644",13.4,,36,20,,69.42
14,37,Univ of Illinois - Urbana Champaign,"$12,734",15.2,,34,20,,69.18
15,47,Ryerson Univ,"$11,442",18.2,-4,34,20,,68.15
16,24,Univ of Toledo,"$12,526",15.6,,33.5,19,,68.11
17,12,Purdue Univ - W Lafayette,"$16,039",9.7,,38,20,,67.74
18,139,CEFET-MG,"$12,484",15.7,-4,36,20,,67.7
19,113,Dalhousie Univ,"$13,295",14.1,,33.5,20,,67.56
20,118,Cooper Union,"$16,210",9.5,,38,20,,67.52
21,39,Univ of Missouri,"$13,404",13.9,,33.5,20,,67.36
22,56,National Univ of Singapore,"$15,739",10.1,,37.1,20,,67.24
23,1,Universitat Stuttgart,"$15,027",11.2,,40,16,,67.15
24,46,San Jose State University,"$13,433",13.8,,38,15,,66.8
25,14,Polytechnique Montréal,"$14,618",11.8,,36,19,,66.78
26,62,Univ of Minnesota - Twin Cities,"$15,714",10.2,,36.6,20,,66.77
27,111,Lakehead Univ,"$13,648",13.4,,33.1,20,,66.51
28,123,Villanova Univ,"$9,722",23.3,-8,33.1,20,,66.44
29,77,Oakland University,"$12,686",15.3,,33.1,18,,66.37
30,119,Duke Univ,"$14,159",12.5,,33.5,20,,66.02
31,49,Univ of Louisiana - Lafayette,"$10,799",19.9,-5,36,15,,65.9
32,84,Univ of Toronto,"$12,140",16.5,-3,35.1,17,,65.57
33,82,Univ of North Florida,"$14,876",11.4,,37.1,17,,65.48
