Place,CarNum,Team,Penalty,CostScore,PresentationScore,DesignScore,AccelerationScore,SkidPadScore,AutocrossScore,EnduranceScore,EfficiencyScore,TotalScore
1,1,Universitat Stuttgart,,67.2,55.1,150,86.4,62.2,123.0,263.9,84.6,892.4
2,2,Graz Technical Univ,,60.1,67.0,110,89.8,58.2,125.0,275.0,100.0,885.1
3,5,Ecole De Technologie Superieure,,70.4,59.5,141,85.4,75.0,101.5,155.1,83.3,771.3
4,9,Univ of Michigan - Ann Arbor,,63.4,59.1,110,100.0,36.9,91.3,237.8,63.5,762.0
5,33,Oregon State Univ,,57.9,75.0,110,69.2,64.3,106.5,162.1,91.0,736.1
6,7,Carleton Univ,,77.0,48.5,90,63.1,70.5,83.1,209.7,74.9,716.7
7,14,Polytechnique Montréal,,66.8,62.2,90,53.3,40.1,91.4,194.7,91.0,689.5
8,6,Univ of Akron,,60.5,57.1,117,33.7,36.9,91.5,211.3,74.3,682.4
9,62,Univ of Minnesota - Twin Cities,,66.8,56.8,110,76.0,43.5,97.5,145.0,67.8,663.4
10,18,Univ of Alabama - Tuscaloosa,-10,56.9,70.3,115,70.2,36.9,84.8,167.3,69.4,660.8
11,69,Univ of Connecticut,,56.0,70.6,90,88.6,36.9,77.3,169.6,60.2,649.3
12,29,Univ of Cincinnati,,57.4,54.0,90,47.0,53.9,80.2,172.5,83.4,638.4
13,56,National Univ of Singapore,,67.2,64.3,133,87.9,54.5,73.2,95.6,47.3,623.1
14,80,Virginia Tech,,57.4,51.9,90,51.1,42.2,65.4,160.4,92.7,611.1
15,10,AGH Univ of Science and Technology,,69.5,45.0,90,90.7,27.5,88.7,147.0,48.0,606.5
16,85,Wroclaw University of Technology,,55.3,73.1,110,84.0,43.7,69.5,115.7,51.9,603.2
17,37,Univ of Illinois - Urbana Champaign,,69.2,49.9,90,85.6,33.7,77.2,135.2,59.1,600.0
18,40,Clemson Univ,,49.6,65.8,70,72.3,50.8,79.6,156.1,52.3,596.5
