Place,CarNum,Team,AvgLapAdjTime,CompletedLaps,FuelUsed_L,CO2_kg,CO2PerLap,FuelType,FuelEfficiency,Score
1,2,Graz Technical Univ,115.249,11,3.752,6.190,0.5627,E85,0.989,100
2,80,Virginia Tech,134.358,11,2.650,6.121,0.5565,93,0.858,92.7
3,14,Polytechnique Montréal,128.015,11,2.866,6.620,0.6018,100,0.832,91.0
4,33,Oregon State Univ,134.026,11,2.738,6.324,0.5749,93,0.832,91.0
5,105,Worcester Polytechnic Inst,146.153,11,2.691,6.216,0.5651,100,0.777,86.9
6,1,Universitat Stuttgart,116.859,11,4.892,8.071,0.7337,E85,0.748,84.6
7,29,Univ of Cincinnati,132.050,11,3.150,7.276,0.6615,93,0.734,83.4
8,5,Ecole De Technologie Superieure,135.409,11,4.310,7.111,0.6465,E85,0.733,83.3
9,43,Minnesota State University - Mankato,146.413,11,3.161,7.301,0.6637,100,0.660,76.2
10,94,Saginaw Valley State Univ,137.009,11,3.438,7.941,0.7219,100,0.648,74.9
11,7,Carleton Univ,125.419,11,3.759,8.683,0.7894,93,0.648,74.9
12,6,Univ of Akron,125.146,11,5.316,8.771,0.7974,E85,0.643,74.3
13,52,Western Michigan Univ,155.789,11,4.443,7.330,0.6664,E85,0.618,71.3
14,88,The Ohio State University,146.575,11,4.807,7.931,0.7210,E85,0.607,70.0
15,18,Univ of Alabama - Tuscaloosa,133.034,11,3.810,8.801,0.8001,93,0.603,69.4
16,62,Univ of Minnesota - Twin Cities,137.428,11,3.762,8.690,0.7900,93,0.591,67.8
17,113,Dalhousie Univ,157.309,11,3.449,7.967,0.7243,93,0.563,63.9
18,9,Univ of Michigan - Ann Arbor,120.830,11,6.316,10.421,0.9474,E85,0.560,63.5
19,109,US Air Force Academy,162.605,9,2.770,6.398,0.7109,93,0.555,62.7
20,100,Clarkson University,165.801,11,3.410,7.877,0.7161,100,0.540,60.3
21,69,Univ of Connecticut,132.592,11,4.270,9.863,0.8966,93,0.539,60.2
22,37,Univ of Illinois - Urbana Champaign,139.451,11,4.112,9.498,0.8635,93,0.533,59.1
23,76,Hope College,147.393,11,4.004,9.249,0.8408,93,0.517,56.5
24,91,Georgia Institute of Technology,148.376,11,3.987,9.209,0.8372,93,0.516,56.3
25,71,Univ of Puerto Rico-Mayaquez,150.601,11,4.017,9.279,0.8435,93,0.505,54.2
26,38,Brown Univ,148.216,11,4.162,9.614,0.8740,100,0.495,52.4
27,40,Clemson Univ,135.201,11,4.566,10.547,0.9588,93,0.495,52.3
28,123,Villanova Univ,135.733,11,4.563,10.540,0.9582,100,0.493,52.0
29,85,Wroclaw University of Technology,143.661,11,4.315,9.967,0.9061,100,0.493,51.9
30,119,Duke Univ,158.566,10,3.598,8.311,0.8311,93,0.487,50.7
31,12,Purdue Univ - W Lafayette,147.819,11,4.267,9.856,0.8960,93,0.484,50.3
32,10,AGH Univ of Science and Technology,137.023,11,4.708,10.875,0.9886,100,0.473,48.0
33,56,National Univ of Singapore,148.262,11,4.381,10.120,0.9200,93,0.470,47.3
34,66,Univ of Waterloo,144.344,11,4.504,10.404,0.9458,93,0.470,47.3
35,39,Univ of Missouri,157.921,11,4.130,9.540,0.8673,93,0.468,46.9
36,107,Univ of South Florida,145.872,11,4.496,10.385,0.9441,93,0.466,46.4
37,35,Kansas State Univ,153.407,11,4.275,9.875,0.8977,100,0.466,46.4
38,47,Ryerson Univ,146.702,11,4.542,10.492,0.9538,93,0.458,44.7
39,115,Univ of British Columbia,141.386,9,3.936,9.092,1.0102,93,0.449,42.6
40,34,Univ of Central Florida,139.683,11,6.827,11.264,1.0240,E85,0.448,42.5
41,122,Florida Atlantic Univ,148.926,10,4.175,9.644,0.9644,100,0.447,42.0
42,139,CEFET-MG,133.701,5,2.328,5.377,1.0754,93,0.446,41.9
43,36,Missouri University of Science and Tech,143.207,11,4.814,11.120,1.0109,100,0.443,41.2
44,63,Washington Univ - St Louis,162.432,11,4.327,9.995,0.9086,93,0.435,39.1
45,21,Univ of Florida,139.625,11,5.102,11.785,1.0714,93,0.429,37.6
