Place,CarNum,Team,Run1_Time,Run1_Cones,Run1_OffCourse,Run1_AdjTime,Run2_Time,Run2_Cones,Run2_OffCourse,Run2_AdjTime,Run3_Time,Run3_Cones,Run3_OffCourse,Run3_AdjTime,Run4_Time,Run4_Cones,Run4_OffCourse,Run4_AdjTime,BestTime,Penalty,Score
1,2,Graz Technical Univ,50.008,,,50.008,48.799,,,48.799,51.130,,,51.130,51.246,1,,53.246,48.799,,125
2,1,Universitat Stuttgart,53.403,,,53.403,50.945,,,50.945,49.629,1,,51.629,49.062,,,49.062,49.062,,122.95
3,33,Oregon State Univ,54.534,,,54.534,52.644,,,52.644,51.279,,,51.279,51.368,,,51.368,51.279,,106.53
4,5,Ecole De Technologie Superieure,51.994,,,51.994,52.323,,,52.323,59.026,,,59.026,55.334,,,55.334,51.994,,101.54
5,90,Coburg University of Applied Sciences,52.410,,,52.410,52.152,,,52.152,52.852,,,52.852,52.436,,,52.436,52.152,,100.45
6,62,Univ of Minnesota - Twin Cities,56.760,,,56.760,54.760,,,54.760,52.754,,,52.754,52.590,,,52.590,52.590,,97.48
7,6,Univ of Akron,56.481,,,56.481,53.487,,,53.487,54.045,,,54.045,53.652,,,53.652,53.487,,91.54
8,14,Polytechnique Montréal,55.877,,,55.877,55.028,,,55.028,54.368,,,54.368,53.501,,,53.501,53.501,,91.45
9,9,Univ of Michigan - Ann Arbor,55.706,1,,57.706,53.516,,,53.516,54.378,,,54.378,55.786,,,55.786,53.516,,91.35
10,10,AGH Univ of Science and Technology,58.893,1,,60.893,53.922,,,53.922,62.847,,,62.847,72.974,1,,74.974,53.922,,88.73
11,23,Rensselaer Polytechnic Inst,60.878,,,60.878,58.153,,,58.153,54.178,,,54.178,54.762,,,54.762,54.178,,87.09
12,16,Kookmin Univ,59.925,,,59.925,57.958,,,57.958,54.902,,,54.902,54.380,,,54.380,54.380,,85.81
13,18,Univ of Alabama - Tuscaloosa,56.989,,,56.989,56.407,,,56.407,56.785,,1,76.785,54.540,,,54.540,54.540,,84.81
14,11,Michigan State Univ,58.254,4,,66.254,55.621,,,55.621,55.644,,,55.644,54.716,,,54.716,54.716,,83.71
15,7,Carleton Univ,56.544,,,56.544,55.245,,,55.245,55.834,,,55.834,54.821,,,54.821,54.821,,83.06
16,29,Univ of Cincinnati,55.281,,,55.281,56.246,,,56.246,58.204,,,58.204,56.435,,,56.435,55.281,,80.23
17,40,Clemson Univ,57.929,,,57.929,57.430,,,57.430,56.080,,,56.080,55.390,,,55.390,55.390,,79.57
18,39,Univ of Missouri,60.560,,,60.560,59.211,,,59.211,55.847,,,55.847,55.466,,,55.466,55.466,,79.11
19,73,Louisiana State Univ,58.678,,,58.678,56.213,,,56.213,55.615,,,55.615,55.037,1,,57.037,55.615,,78.2
20,69,Univ of Connecticut,56.034,,,56.034,55.769,,,55.769,57.213,,,57.213,56.369,,,56.369,55.769,,77.28
21,37,Univ of Illinois - Urbana Champaign,55.782,,,55.782,58.892,,,58.892,63.103,3,1,89.103,60.241,,,60.241,55.782,,77.2
22,126,Univ of Kansas - Lawrence,54.492,1,,56.492,53.811,1,,55.811,,,,DNA,,,,DNA,55.811,,77.03
23,8,Univ of Wisconsin - Madison,58.339,2,,62.339,55.889,,,55.889,,,,DNA,,,,DNA,55.889,,76.56
24,84,Univ of Toronto,56.154,,,56.154,56.087,,,56.087,58.044,,,58.044,59.021,,1,79.021,56.087,,75.38
25,92,Univ of Victoria,64.762,1,1,86.762,56.287,,,56.287,92.178,,1,112.178,58.579,1,,60.579,56.287,,74.21
26,56,National Univ of Singapore,62.250,,,62.250,59.135,,,59.135,59.879,,,59.879,56.451,,,56.451,56.451,,73.24
27,46,San Jose State University,66.730,,,66.730,59.834,1,,61.834,56.628,,,56.628,56.526,,,56.526,56.526,,72.8
28,34,Univ of Central Florida,58.239,,,58.239,56.630,,,56.630,55.588,1,1,77.588,54.543,1,1,76.543,56.630,,72.2
29,91,Georgia Institute of Technology,61.960,,,61.960,57.480,,,57.480,59.071,,,59.071,56.634,,,56.634,56.634,,72.18
30,19,North Carolina State Univ - Raleigh,57.244,,,57.244,57.175,,,57.175,57.658,,,57.658,56.636,,,56.636,56.636,,72.17
31,139,CEFET-MG,56.226,,1,76.226,56.753,,,56.753,,,,DNA,,,,DNA,56.753,,71.49
32,21,Univ of Florida,59.726,1,,61.726,56.865,,,56.865,59.196,,,59.196,57.662,,,57.662,56.865,,70.84
33,85,Wroclaw University of Technology,60.040,,,60.040,57.694,,,57.694,57.106,,,57.106,58.684,1,,60.684,57.106,,69.46
34,35,Kansas State Univ,59.699,,,59.699,66.490,,,66.490,60.392,,,60.392,57.336,,,57.336,57.336,,68.15
35,88,The Ohio State University,59.036,,,59.036,57.419,,,57.419,,,,DNA,,,,DNA,57.419,,67.68
36,80,Virginia Tech,84.304,,,84.304,57.818,,,57.818,58.860,,,58.860,58.312,,,58.312,57.818,,65.44
37,36,Missouri University of Science and Tech,58.867,,,58.867,58.074,,,58.074,60.338,,,60.338,57.833,,,57.833,57.833,,65.36
38,77,Oakland University,60.487,,,60.487,58.012,,,58.012,63.177,,,63.177,62.946,,,62.946,58.012,,64.36
39,76,Hope College,68.082,,,68.082,64.768,,,64.768,58.544,,,58.544,58.127,,,58.127,58.127,,63.73
40,66,Univ of Waterloo,61.506,,,61.506,58.307,,,58.307,62.014,,1,82.014,59.983,,,59.983,58.307,,62.74
41,54,Michigan Tech Univ,58.997,,,58.997,58.319,,,58.319,59.238,,,59.238,59.329,,,59.329,58.319,,62.67
42,123,Villanova Univ,56.083,,1,76.083,56.367,1,,58.367,59.145,,,59.145,,,,,58.367,,62.41
43,115,Univ of British Columbia,58.377,,,58.377,65.095,,,65.095,60.569,,,60.569,59.556,,,59.556,58.377,,62.36
44,12,Purdue Univ - W Lafayette,59.896,,,59.896,58.413,,,58.413,60.317,,,60.317,60.946,,,60.946,58.413,,62.16
45,94,Saginaw Valley State Univ,64.758,,,64.758,62.653,,,62.653,60.271,,,60.271,58.493,,,58.493,58.493,,61.72
46,71,Univ of Puerto Rico-Mayaquez,62.688,,,62.688,72.046,,,72.046,58.578,,,58.578,57.236,,1,77.236,58.578,,61.26
47,65,Lehigh Univ,61.131,,,61.131,59.908,,1,79.908,59.933,,,59.933,58.666,,,58.666,58.666,,60.78
48,119,Duke Univ,64.537,,,64.537,60.945,,,60.945,78.946,1,1,100.946,59.295,,,59.295,59.295,,57.41
49,117,Columbia Univ,61.276,,,61.276,59.456,,,59.456,73.484,1,,75.484,66.531,,,66.531,59.456,,56.56
50,55,Rutgers Univ,59.500,,,59.500,,,,DNA,,,,DNA,,,,DNA,59.500,,56.33
51,64,Univ of Maryland - College Park,59.791,,,59.791,61.677,3,1,87.677,,,,DNA,,,,DNA,59.791,,54.81
52,47,Ryerson Univ,61.266,,,61.266,59.869,,,59.869,59.840,,,59.840,60.158,,,60.158,59.840,,54.55
53,63,Washington Univ - St Louis,71.552,,,71.552,67.380,,,67.380,63.439,1,,65.439,60.339,,,60.339,60.339,,51.97
54,24,Univ of Toledo,60.456,,,60.456,,,,,,,,DNA,,,,DNA,60.456,,51.38
55,107,Univ of South Florida,60.593,,,60.593,62.233,,,62.233,60.979,3,,66.979,58.539,,1,78.539,60.593,,50.68
56,86,Wayne State Univ,62.893,,,62.893,,,,,60.596,,,60.596,,,,DNA,60.596,,50.67
57,122,Florida Atlantic Univ,63.619,,,63.619,60.725,,,60.725,60.709,,,60.709,60.658,2,1,84.658,60.709,,50.1
58,38,Brown Univ,63.783,,,63.783,61.794,,,61.794,,,,,60.940,,,60.940,60.940,,48.93
59,79,Georgia Southern Univ,62.752,,,62.752,66.940,3,,72.940,62.079,,,62.079,61.115,,,61.115,61.115,,48.05
60,105,Worcester Polytechnic Inst,64.648,2,1,88.648,63.175,,,63.175,60.296,1,,62.296,59.218,1,,61.218,61.218,,47.54
61,43,Minnesota State University - Mankato,63.613,,,63.613,61.305,,,61.305,61.642,,,61.642,65.219,,1,85.219,61.305,,47.11
62,113,Dalhousie Univ,61.451,,,61.451,71.528,,,71.528,82.353,,,82.353,,,,DNA,61.451,,46.39
63,72,Florida International Univ,61.545,,,61.545,,,,DNA,,,,DNA,,,,DNA,61.545,,45.92
64,124,Univ of Nebraska - Lincoln,61.547,,,61.547,,3,1,,,,,DNA,,,,DNA,61.547,,45.92
65,41,Grand Valley State Univ,62.717,3,,68.717,59.650,1,,61.650,,,,DNA,,,,DNA,61.650,,45.41
66,109,US Air Force Academy,64.551,,,64.551,61.847,,,61.847,,,,DNA,,,,DNA,61.847,,44.45
67,89,Tennessee Tech Univ,64.047,,,64.047,62.263,,,62.263,68.832,2,1,92.832,62.613,1,1,84.613,62.263,,42.43
68,102,Lawrence Technological Univ,,,,,,,,,69.111,,,69.111,62.330,,,62.330,62.330,,42.11
69,52,Western Michigan Univ,60.413,,1,80.413,60.492,1,,62.492,65.546,,,65.546,68.774,,,68.774,62.492,,41.34
70,132,Univ of Pittsburgh - Pittsburgh,62.653,,,62.653,65.035,,,65.035,,,,DNA,,,,DNA,62.653,,40.57
71,42,Univ of Kentucky,67.121,,,67.121,64.707,,,64.707,63.012,,,63.012,72.686,1,,74.686,63.012,,38.88
72,125,South Dakota State Univ,67.883,,,67.883,64.554,,,64.554,68.482,,,68.482,63.582,,,63.582,63.582,,36.23
73,68,Penn State Univ - University Park,68.457,,,68.457,62.890,,1,82.890,89.760,,,89.760,63.729,,,63.729,63.729,,35.55
74,100,Clarkson University,76.031,,1,96.031,62.340,1,,64.340,65.123,1,,67.123,64.535,,,64.535,64.340,,32.77
75,75,Old Dominion Univ,66.866,,,66.866,64.766,,,64.766,,,,DNA,,,,DNA,64.766,,30.87
76,99,York College of Pennsylvania,68.513,,,68.513,64.975,,,64.975,,,,,66.808,,,66.808,64.975,,29.94
77,78,Temple Univ,73.630,,,73.630,70.539,,,70.539,63.082,1,,65.082,,,,DNA,65.082,,29.47
78,108,Colorado Mesa University,71.073,,,71.073,65.237,,,65.237,,,,DNA,,,,DNA,65.237,,28.79
79,70,Penn State Univ - Harrisburg,68.170,,,68.170,63.698,1,,65.698,67.303,1,1,89.303,65.843,,,65.843,65.698,,26.79
80,114,Binghamton Univ,75.139,,,75.139,69.787,,,69.787,64.239,,1,84.239,65.731,,,65.731,65.731,,26.64
81,98,Universidad Metropolitana,67.338,,,67.338,64.692,1,,66.692,,,,DNA,,,,DNA,66.692,,22.56
82,111,Lakehead Univ,67.217,,,67.217,68.596,,,68.596,66.793,,,66.793,82.168,3,,88.168,66.793,,22.14
83,20,Florida Inst of Tech,111.610,,,111.610,69.149,,,69.149,,,,DNA,,,,DNA,69.149,,12.63
84,83,Univ of British Columbia - Okanagan,78.745,,,78.745,70.682,,,70.682,65.348,2,,69.348,,,,DNA,69.348,,11.86
85,51,Universidad Simon Bolivar,74.066,,,74.066,69.592,,,69.592,,,,,,,,DNA,69.592,,10.92
86,81,Northwestern Univ,73.615,,2,113.615,69.135,1,,71.135,73.604,1,,75.604,71.724,,,71.724,71.135,,6.5
86,67,Univ of Guelph,,,,,,,,,74.065,,,74.065,72.073,1,,74.073,74.065,,6.5
86,49,Univ of Louisiana - Lafayette,72.585,1,,74.585,77.817,,,77.817,,,,DNA,,,,DNA,74.585,,6.5
86,17,Bradley Univ,83.363,,,83.363,76.153,,,76.153,,,,DNA,,,,DNA,76.153,,6.5
86,26,Purdue Univ - Northwest,103.286,1,,105.286,81.739,,,81.739,,,,DNA,,,,DNA,81.739,,6.5
,15,Embry-Riddle Aero Univ - Daytona Beach,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,22,Auburn Univ,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,25,Florida A&M Univ/Florida State Univ,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,30,Univ of New Hampshire,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,32,Pellissippi State Community College,,1,,,,,,DNA,,,,DNA,,,,DNA,DNA,,
,44,IPN - UPIITA,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,48,Vaughn College of Aeronautics,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,50,Univ of Michigan - Dearborn,,,,,,,,DNA,,,,DNA,,,,DNA,DNA,,
,53,Ferris State University,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,58,Kennesaw State University,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,59,Warsaw University of Technology,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,61,Queen's Univ,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,74,Rochester Institute of Technology,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,82,Univ of North Florida,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,87,California State Poly Univ - Pomona,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,93,Universite Du Quebec a Trois-Rivieres,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,95,Univ of Louisville,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
,96,Central Michigan Univ,,,,DNA,,,,DNA,,,,DNA,,,,DNA,DNA,,
