Team,CarNum,Lap1,Lap2,Lap3,Lap4,Lap5,Lap6,Lap7,Lap8,Lap9,Lap10,Lap11,Lap12
Virginia Tech,80,151.122,131.147,127.865,125.636,129.091,,131.746,141.755,131.413,129.325,128.867,127.972
Univ of British Columbia - Okanagan,83,174.449,156.128,244.336,176.019,162.030,,164.896,160.039,,,,
Univ of Toronto,84,137.662,133.649,135.031,149.291,132.220,,,,,,,
Wroclaw University of Technology,85,134.699,140.419,134.987,152.583,128.142,,135.518,132.434,131.514,129.785,137.896,132.291
Wayne State Univ,86,162.120,162.845,150.513,148.205,,,,,,,,
The Ohio State University,88,143.083,139.802,144.847,149.221,150.141,,138.359,137.262,141.527,143.747,151.764,150.572
Tennessee Tech Univ,89,168.368,154.791,156.097,163.029,190.959,,160.991,154.965,146.290,147.194,144.787,153.037
Coburg University of Applied Sciences,90,121.613,,,,,,,,,,,
Georgia Institute of Technology,91,142.210,134.487,141.388,137.874,134.035,,137.450,131.345,133.785,129.603,130.614,151.349
Univ of Victoria,92,148.318,140.372,140.070,150.932,163.049,,149.858,153.201,140.569,,,
Universite Du Quebec a Trois-Rivieres,93,163.674,152.785,153.260,145.188,150.139,,186.346,174.476,176.376,180.354,180.431,187.849
Saginaw Valley State Univ,94,144.463,142.222,138.824,138.403,138.247,,133.085,130.652,129.682,128.621,152.774,128.124
Universidad Metropolitana,98,256.366,218.398,195.915,212.961,202.911,202.647,,163.554,191.992,172.423,164.344,170.717
York College of Pennsylvania,99,187.485,154.281,156.181,149.413,159.137,,,,,,,
Clarkson University,100,166.906,157.512,151.019,147.620,158.159,,190.358,146.482,143.918,145.400,149.198,163.238
Mississippi State Univ,101,179.248,157.826,190.240,157.740,157.649,178.077,,,,,,
Lawrence Technological Univ,102,169.504,157.355,166.553,161.612,160.012,,174.476,165.329,155.033,152.340,165.193,154.744
Texas Tech Univ,103,153.933,150.012,153.095,143.170,144.484,,,,,,,
Worcester Polytechnic Inst,105,154.668,149.078,142.521,141.404,142.591,,144.856,137.133,140.882,140.754,145.821,141.973
Univ of South Florida,107,148.410,150.456,138.680,136.062,135.806,,146.732,140.526,135.825,133.878,135.493,140.721
Colorado Mesa University,108,182.046,169.718,176.645,169.149,167.070,,175.142,156.374,162.625,151.709,166.205,176.269
US Air Force Academy,109,157.312,154.869,145.474,145.649,141.815,,234.853,146.450,147.138,149.882,,
US Naval Academy,110,156.410,163.902,157.747,158.674,150.450,,175.361,153.099,165.960,,,
Lakehead Univ,111,187.826,186.982,175.583,191.216,169.266,172.542,,170.335,158.052,155.139,148.588,152.488
Dalhousie Univ,113,182.159,161.332,155.828,149.647,147.025,,157.808,145.995,146.664,142.514,148.222,145.210
Binghamton Univ,114,191.426,,,,,,,,,,,
Univ of British Columbia,115,145.341,139.057,142.186,144.212,154.749,,138.625,132.705,127.783,127.815,,
Columbia Univ,117,166.415,150.303,172.370,152.440,,,,,,,,
Cooper Union,118,162.686,,,,,,,,,,,
Duke Univ,119,138.322,137.177,139.946,137.197,132.998,,138.295,140.112,137.974,,136.971,152.664
Florida Atlantic Univ,122,168.493,146.289,140.209,147.162,145.558,,131.355,125.144,124.693,125.074,129.281,
Villanova Univ,123,134.546,131.822,131.393,130.187,135.856,136.365,,138.677,126.199,134.845,124.151,133.018
Univ of Nebraska - Lincoln,124,161.659,158.028,155.934,152.723,150.065,,152.502,148.711,152.478,148.406,148.791,161.355
Univ of Kansas - Lawrence,126,144.816,142.220,,,,,,,,,,
Polytechnic Univ of Puerto Rico,131,153.641,163.154,,,,,,,,,,
Univ of Pittsburgh - Pittsburgh,132,182.872,161.683,147.726,151.839,149.021,,,,,,,
CEFET-MG,139,127.837,130.945,132.252,136.516,138.956,,,,,,,
